mot,poids_tfidf,langue,serie
c,0.5074142091046924,fr,bionicwoman
jaime,0.30172953935319685,fr,bionicwoman
n,0.25316844827941126,fr,bionicwoman
savoir,0.21869444681157657,fr,bionicwoman
j,0.18422044534374182,fr,bionicwoman
faire,0.15297838151351661,fr,bionicwoman
ok,0.15274829182360505,fr,bionicwoman
bien,0.14866913133003726,fr,bionicwoman
non,0.14543719369242777,fr,bionicwoman
berkut,0.1436116811316122,fr,bionicwoman
vouloir,0.14112794350894842,fr,bionicwoman
devoir,0.1400506309630786,fr,bionicwoman
taire,0.13466406823372942,fr,bionicwoman
aller,0.1163497549539422,fr,bionicwoman
chose,0.1098858796787232,fr,bionicwoman
oui,0.10557662949524385,fr,bionicwoman
jona,0.10521030686421441,fr,bionicwoman
heure,0.09803544167415501,fr,bionicwoman
becca,0.09784928641746721,fr,bionicwoman
jae,0.09664755744035379,fr,bionicwoman
tre,0.09264887894480583,fr,bionicwoman
bionique,0.09253366507773818,fr,bionicwoman
vraiment,0.091571566398936,fr,bionicwoman
ici,0.08295306603197732,fr,bionicwoman
corvus,0.0828528929605455,fr,bionicwoman
ouai,0.07615509500002858,fr,bionicwoman
bon,0.07217994057327896,fr,bionicwoman
venir,0.06679337784392979,fr,bionicwoman
croire,0.06463875275219011,fr,bionicwoman
vie,0.06356144020632028,fr,bionicwoman
besoin,0.062484127660450445,fr,bionicwoman
mme,0.062484127660450445,fr,bionicwoman
sarah,0.06035868170292013,fr,bionicwoman
antonio,0.0589696057919196,fr,bionicwoman
voir,0.0581748774769711,fr,bionicwoman
anthro,0.057321480523418004,fr,bionicwoman
prendre,0.05709756493110127,fr,bionicwoman
pouvoir,0.05709756493110127,fr,bionicwoman
passer,0.05602025238523144,fr,bionicwoman
arriver,0.05602025238523144,fr,bionicwoman
demonvip,0.055235261973697,fr,bionicwoman
sommer,0.05507547954534228,fr,bionicwoman
victor,0.0523519859539061,fr,bionicwoman
nathan,0.04938034803587599,fr,bionicwoman
jamais,0.04740175201827275,fr,bionicwoman
mourir,0.044169814380663246,fr,bionicwoman
temps,0.044169814380663246,fr,bionicwoman
petit,0.044169814380663246,fr,bionicwoman
cia,0.044036547423826955,fr,bionicwoman
aimer,0.04309250183479341,fr,bionicwoman
monde,0.042015189288923574,fr,bionicwoman
penser,0.04093787674305374,fr,bionicwoman
rudhan,0.038664683381587905,fr,bionicwoman
appeler,0.03770593910544424,fr,bionicwoman
trop,0.03770593910544424,fr,bionicwoman
homme,0.03770593910544424,fr,bionicwoman
quelqu,0.03770593910544424,fr,bionicwoman
m,0.0366286265595744,fr,bionicwoman
oh,0.03647720401757733,fr,bionicwoman
dire,0.035551314013704566,fr,bionicwoman
aider,0.035551314013704566,fr,bionicwoman
sapotille,0.034719819165926175,fr,bionicwoman
jamie,0.03459777883368951,fr,bionicwoman
confiance,0.034474001467834726,fr,bionicwoman
fois,0.034474001467834726,fr,bionicwoman
will,0.03432990305675079,fr,bionicwoman
corvu,0.033437530305327166,fr,bionicwoman
avoir,0.033396688921964894,fr,bionicwoman
accord,0.033396688921964894,fr,bionicwoman
anthrocyte,0.0331411571842182,fr,bionicwoman
super,0.033110910869577646,fr,bionicwoman
jour,0.032319376376095055,fr,bionicwoman
gars,0.0317500760612141,fr,bionicwoman
dsole,0.03149503738915947,fr,bionicwoman
ruth,0.03141073570639259,fr,bionicwoman
t,0.031242063830225222,fr,bionicwoman
dieu,0.031242063830225222,fr,bionicwoman
veux,0.031242063830225222,fr,bionicwoman
travailler,0.030164751284355387,fr,bionicwoman
laisse,0.030164751284355387,fr,bionicwoman
oeil,0.030164751284355387,fr,bionicwoman
mettre,0.02908743873848555,fr,bionicwoman
trouver,0.02908743873848555,fr,bionicwoman
trs,0.02908743873848555,fr,bionicwoman
partir,0.02908743873848555,fr,bionicwoman
dsol,0.02908743873848555,fr,bionicwoman
femme,0.02801012619261572,fr,bionicwoman
tuer,0.02801012619261572,fr,bionicwoman
an,0.02801012619261572,fr,bionicwoman
ecoute,0.02694398085497716,fr,bionicwoman
perdre,0.026932813646745882,fr,bionicwoman
mieux,0.025855501100876047,fr,bionicwoman
regarder,0.025855501100876047,fr,bionicwoman
connaître,0.025855501100876047,fr,bionicwoman
essayer,0.025855501100876047,fr,bionicwoman
bionic,0.025433567747461527,fr,bionicwoman
imara,0.025433567747461527,fr,bionicwoman
jacinto,0.025433567747461527,fr,bionicwoman
attend,0.02497882275691958,fr,bionicwoman
falloir,0.02477818855500621,fr,bionicwoman
sortir,0.02477818855500621,fr,bionicwoman
liste,0.024676358382080044,fr,bionicwoman
tai,0.023892786984879597,fr,bionicwoman
minute,0.023892786984879597,fr,bionicwoman
bioniquer,0.023883950218090835,fr,bionicwoman
sai,0.023700876009136375,fr,bionicwoman
air,0.023700876009136375,fr,bionicwoman
arme,0.023700876009136375,fr,bionicwoman
million,0.023554705728349133,fr,bionicwoman
travi,0.023097458279347904,fr,bionicwoman
entendre,0.02262356346326654,fr,bionicwoman
beaucoup,0.02262356346326654,fr,bionicwoman
allez,0.02262356346326654,fr,bionicwoman
travail,0.02262356346326654,fr,bionicwoman
donne,0.02262356346326654,fr,bionicwoman
salut,0.02262356346326654,fr,bionicwoman
tom,0.022453317379147634,fr,bionicwoman
agent,0.022190030515795316,fr,bionicwoman
intrasite,0.0220941047894788,fr,bionicwoman
coup,0.021720715440799634,fr,bionicwoman
soir,0.021720715440799634,fr,bionicwoman
grand,0.021546250917396707,fr,bionicwoman
ami,0.021546250917396707,fr,bionicwoman
porte,0.021546250917396707,fr,bionicwoman
raison,0.021546250917396707,fr,bionicwoman
point,0.021546250917396707,fr,bionicwoman
pre,0.021546250917396707,fr,bionicwoman
raceman,0.021421576635511426,fr,bionicwoman
scurit,0.020801773971140265,fr,bionicwoman
doi,0.02063467966875965,fr,bionicwoman
forom,0.02050567551803436,fr,bionicwoman
tte,0.02046893837152687,fr,bionicwoman
vien,0.02046893837152687,fr,bionicwoman
appel,0.02046893837152687,fr,bionicwoman
voiture,0.020353391150328876,fr,bionicwoman
imarer,0.020346854197969222,fr,bionicwoman
mec,0.0201897477671564,fr,bionicwoman
clarisser,0.02015026944933317,fr,bionicwoman
neuroscience,0.02015026944933317,fr,bionicwoman
sujet,0.019706943762132886,fr,bionicwoman
moment,0.019391625825657035,fr,bionicwoman
bonjour,0.019391625825657035,fr,bionicwoman
vite,0.019391625825657035,fr,bionicwoman
apprendre,0.019391625825657035,fr,bionicwoman
ide,0.019391625825657035,fr,bionicwoman
samuel,0.019277539522882494,fr,bionicwoman
parkinson,0.01893857156467107,fr,bionicwoman
steven,0.018458262246135105,fr,bionicwoman
paraguay,0.018434898450267887,fr,bionicwoman
ca,0.018338538557227415,fr,bionicwoman
prsident,0.01832676627446755,fr,bionicwoman
arrte,0.0183143132797872,fr,bionicwoman
parler,0.0183143132797872,fr,bionicwoman
papa,0.0183143132797872,fr,bionicwoman
sauver,0.0183143132797872,fr,bionicwoman
main,0.0183143132797872,fr,bionicwoman
picasso,0.01824276818613871,fr,bionicwoman
dner,0.01809190324473678,fr,bionicwoman
nick,0.017898454286120347,fr,bionicwoman
joner,0.017535051144035734,fr,bionicwoman
transcript,0.01750900207431236,fr,bionicwoman
terre,0.017376572352639705,fr,bionicwoman
tlphrique,0.017359909582963087,fr,bionicwoman
tlphone,0.017237400004778376,fr,bionicwoman
aide,0.017237000733917363,fr,bionicwoman
faon,0.017237000733917363,fr,bionicwoman
l,0.017237000733917363,fr,bionicwoman
attendre,0.017237000733917363,fr,bionicwoman
mauvais,0.017237000733917363,fr,bionicwoman
mort,0.017237000733917363,fr,bionicwoman
fille,0.017237000733917363,fr,bionicwoman
vincent,0.016979600290786632,fr,bionicwoman
technologie,0.016927881745133,fr,bionicwoman
paradise,0.01676422947314246,fr,bionicwoman
carly,0.01676422947314246,fr,bionicwoman
boulot,0.01642245313511074,fr,bionicwoman
all,0.016290536580599726,fr,bionicwoman
dernire,0.016159688188047527,fr,bionicwoman
occuper,0.016159688188047527,fr,bionicwoman
problme,0.016159688188047527,fr,bionicwoman
genre,0.016159688188047527,fr,bionicwoman
mal,0.016159688188047527,fr,bionicwoman
droit,0.016159688188047527,fr,bionicwoman
apr,0.016159688188047527,fr,bionicwoman
moulage,0.016120215559466536,fr,bionicwoman
jean,0.015624896281518108,fr,bionicwoman
pler,0.015556142941229338,fr,bionicwoman
payer,0.015327622926103355,fr,bionicwoman
ferme,0.015327622926103355,fr,bionicwoman
corps,0.015204500808559744,fr,bionicwoman
chang,0.015204500808559744,fr,bionicwoman
rgle,0.015204500808559744,fr,bionicwoman
rentrer,0.015082375642177693,fr,bionicwoman
hein,0.015082375642177693,fr,bionicwoman
s,0.015082375642177693,fr,bionicwoman
sens,0.015082375642177693,fr,bionicwoman
nom,0.015082375642177693,fr,bionicwoman
programme,0.015060336719150373,fr,bionicwoman
amricain,0.014833982676637221,fr,bionicwoman
com,0.014713723664776607,fr,bionicwoman
www,0.014594573046670728,fr,bionicwoman
mission,0.014581484498501843,fr,bionicwoman
mallette,0.014390536213494507,fr,bionicwoman
vrit,0.014348061376816977,fr,bionicwoman
spaceman,0.014330370130854501,fr,bionicwoman
gilchrist,0.014330370130854501,fr,bionicwoman
neurone,0.014281051090340951,fr,bionicwoman
Monsieur,0.014232792717095972,fr,bionicwoman
tard,0.014118465036519761,fr,bionicwoman
simplement,0.014118465036519761,fr,bionicwoman
finir,0.01400506309630786,fr,bionicwoman
chance,0.01400506309630786,fr,bionicwoman
pass,0.01400506309630786,fr,bionicwoman
sentir,0.01400506309630786,fr,bionicwoman
chercher,0.01400506309630786,fr,bionicwoman
tr,0.01400506309630786,fr,bionicwoman
histoire,0.01400506309630786,fr,bionicwoman
partie,0.01400506309630786,fr,bionicwoman
vieux,0.01400506309630786,fr,bionicwoman
spa,0.013951119433201837,fr,bionicwoman
implant,0.013923953925800361,fr,bionicwoman
jaim,0.013609184088772259,fr,bionicwoman
dollar,0.013597817453584118,fr,bionicwoman
cheval,0.013270134695820533,fr,bionicwoman
donner,0.013032429264479782,fr,bionicwoman
continuer,0.013032429264479782,fr,bionicwoman
aldridge,0.013019932187222315,fr,bionicwoman
arriv,0.012927750550438023,fr,bionicwoman
maison,0.012927750550438023,fr,bionicwoman
propos,0.012927750550438023,fr,bionicwoman
fait,0.012927750550438023,fr,bionicwoman
meilleur,0.012927750550438023,fr,bionicwoman
devenir,0.012927750550438023,fr,bionicwoman
nouveau,0.012927750550438023,fr,bionicwoman
argent,0.012927750550438023,fr,bionicwoman
peur,0.012927750550438023,fr,bionicwoman
famille,0.012927750550438023,fr,bionicwoman
arrter,0.012927750550438023,fr,bionicwoman
prend,0.012927750550438023,fr,bionicwoman
serbe,0.012872024281774565,fr,bionicwoman
jambe,0.012743361839281086,fr,bionicwoman
oreille,0.012438183480756536,fr,bionicwoman
ambassade,0.012356349583460541,fr,bionicwoman
vacance,0.012261436387313838,fr,bionicwoman
inquite,0.012239011767112819,fr,bionicwoman
prte,0.012140667318845137,fr,bionicwoman
groupe,0.012140667318845137,fr,bionicwoman
bras,0.012140667318845137,fr,bionicwoman
supposer,0.012043132299081208,fr,bionicwoman
faux,0.012043132299081208,fr,bionicwoman
