mot,poids_tfidf,langue,serie
c,0.5305625966766576,fr,bones
booth,0.30490163509300616,fr,bones
n,0.24772456653561886,fr,bones
taire,0.22456071096345712,fr,bones
j,0.2011670552368096,fr,bones
savoir,0.18388608361948258,fr,bones
hodgin,0.17531858153436747,fr,bones
vouloir,0.17212031570981312,fr,bones
non,0.16559399132241834,fr,bones
bien,0.16320406971576673,fr,bones
bone,0.15928468934361056,fr,bones
oui,0.12694160533791823,fr,bones
tre,0.11623291813888315,fr,bones
faire,0.10864951304085399,fr,bones
devoir,0.09725142537836169,fr,bones
voir,0.09642414482221306,fr,bones
avoir,0.08295785576934918,fr,bones
chose,0.08245229542948057,fr,bones
aller,0.07303048909556556,fr,bones
pouvoir,0.07192744835403406,fr,bones
bon,0.0711920878596797,fr,bones
mme,0.06903196640751383,fr,bones
brennan,0.06730903494440219,fr,bones
ici,0.06604456439919931,fr,bones
ok,0.06565139019595209,fr,bones
dr,0.0644945886008405,fr,bones
os,0.06338954113260181,fr,bones
venir,0.06287332226729622,fr,bones
victime,0.061084829107099316,fr,bones
epp,0.060728284296875296,fr,bones
croire,0.05823135914668444,fr,bones
dire,0.05565759741644424,fr,bones
trouv,0.055060117014781335,fr,bones
an,0.05253231531543829,fr,bones
trouver,0.051705034759289656,fr,bones
vraiment,0.051659074728392505,fr,bones
jamais,0.050326233832375264,fr,bones
prendre,0.049177233059946604,fr,bones
aimer,0.0473847918549579,fr,bones
penser,0.04733883182406075,fr,bones
trs,0.04720095173136931,fr,bones
mort,0.045960030897146356,fr,bones
petit,0.04568427071176348,fr,bones
fbi,0.04517075550187657,fr,bones
femme,0.044259509753951945,fr,bones
gormogon,0.04382964538359187,fr,bones
besoin,0.04338626916690616,fr,bones
homme,0.04338626916690616,fr,bones
corps,0.04220861500488221,fr,bones
ouai,0.04209456120648666,fr,bones
agent,0.04150380313720532,fr,bones
apr,0.04049078722038594,fr,bones
pre,0.040031186911414475,fr,bones
accord,0.0391579463243687,fr,bones
quelqu,0.03842258583001436,fr,bones
zack,0.037852637723287993,fr,bones
temps,0.037779145397454306,fr,bones
temperance,0.03746727750532853,fr,bones
sr,0.03690590481040853,fr,bones
jeffersonian,0.03628906123157606,fr,bones
sweet,0.036143807131365516,fr,bones
fille,0.036078624254259894,fr,bones
mourir,0.03580286406887701,fr,bones
passer,0.035527103883494136,fr,bones
regarder,0.034883663450934084,fr,bones
arme,0.034745783358242646,fr,bones
heure,0.034561943234654065,fr,bones
rus,0.034389833459078326,fr,bones
fois,0.033780622709402575,fr,bones
