mot,poids_tfidf,langue,serie
s,0.591180002835897,en,breakingbad
know,0.2957510858873861,en,breakingbad
right,0.24452622460623752,en,breakingbad
get,0.20876547239109605,en,breakingbad
go,0.20071124891921735,en,breakingbad
t,0.19877823528596647,en,breakingbad
think,0.14723120506594276,en,breakingbad
good,0.14594252931044216,en,breakingbad
m,0.14368734673831612,en,breakingbad
come,0.14175433310506522,en,breakingbad
want,0.13370010963318651,en,breakingbad
look,0.11984684526155515,en,breakingbad
tell,0.11501431117842792,en,breakingbad
man,0.10406056725667288,en,breakingbad
mean,0.10180538468454685,en,breakingbad
skyler,0.10024492471110565,en,breakingbad
walt,0.09965060770066626,en,breakingbad
pinkman,0.09099151382930584,en,breakingbad
tuco,0.09099151382930584,en,breakingbad
talk,0.08666344455741487,en,breakingbad
need,0.08634127561853973,en,breakingbad
time,0.08537476880191429,en,breakingbad
say,0.07989789684103676,en,breakingbad
thing,0.07699837639116043,en,breakingbad
let,0.0747431938190344,en,breakingbad
guy,0.07079695081348271,en,breakingbad
way,0.06926632185815687,en,breakingbad
work,0.0634672809584042,en,breakingbad
thank,0.06121209838627817,en,breakingbad
shit,0.057188102499549885,en,breakingbad
money,0.05251353703664916,en,breakingbad
little,0.050258354464523126,en,breakingbad
sorry,0.04993618552564798,en,breakingbad
maybe,0.04929184764789768,en,breakingbad
leave,0.04510365144252075,en,breakingbad
hell,0.04510365144252075,en,breakingbad
try,0.04510365144252075,en,breakingbad
meth,0.04475029055329873,en,breakingbad
day,0.04413714462589531,en,breakingbad
find,0.03994894842051838,en,breakingbad
tyno,0.03961783531947095,en,breakingbad
sure,0.038015934787267495,en,breakingbad
hear,0.038015934787267495,en,breakingbad
big,0.03767177199249539,en,breakingbad
cook,0.03640857565973763,en,breakingbad
listen,0.03640509009289175,en,breakingbad
happen,0.03576075221514145,en,breakingbad
schrader,0.03504654662876277,en,breakingbad
wait,0.03479424539851601,en,breakingbad
ask,0.034472076459640864,en,breakingbad
house,0.03350556964301542,en,breakingbad
home,0.03350556964301542,en,breakingbad
well,0.03221689388751482,en,breakingbad
okay,0.031943372984486795,en,breakingbad
fine,0.03182615220055645,en,breakingbad
d,0.031572556009764524,en,breakingbad
kind,0.031572556009764524,en,breakingbad
dad,0.03142707117467625,en,breakingbad
bad,0.03125038707088938,en,breakingbad
help,0.03125038707088938,en,breakingbad
phone,0.030270867994254297,en,breakingbad
gomie,0.029779040889591005,en,breakingbad
actually,0.029639542376513638,en,breakingbad
take,0.029639542376513638,en,breakingbad
see,0.029639542376513638,en,breakingbad
understand,0.029639542376513638,en,breakingbad
feel,0.028673035559888194,en,breakingbad
michvanilly,0.02860995291566347,en,breakingbad
dea,0.028289662698049424,en,breakingbad
long,0.028028697682137897,en,breakingbad
week,0.028028697682137897,en,breakingbad
family,0.027706528743262748,en,breakingbad
call,0.026740021926637304,en,breakingbad
sell,0.026630045718832943,en,breakingbad
head,0.026417852987762155,en,breakingbad
kid,0.025739632609277925,en,breakingbad
great,0.025451346171136712,en,breakingbad
turn,0.025129177232261563,en,breakingbad
guess,0.025129177232261563,en,breakingbad
dude,0.02490806564850124,en,breakingbad
start,0.024807008293386414,en,breakingbad
run,0.024807008293386414,en,breakingbad
year,0.024807008293386414,en,breakingbad
nice,0.024484839354511265,en,breakingbad
like,0.024484839354511265,en,breakingbad
ass,0.02428322377561059,en,breakingbad
business,0.024031992477971196,en,breakingbad
deal,0.024031992477971196,en,breakingbad
pay,0.024031992477971196,en,breakingbad
albuquerque,0.02372681387578339,en,breakingbad
baby,0.023570303381007185,en,breakingbad
bring,0.023518332537885822,en,breakingbad
son,0.02338247916775576,en,breakingbad
old,0.023196163599010673,en,breakingbad
walter,0.02312587536670502,en,breakingbad
win,0.022873994660135524,en,breakingbad
check,0.022873994660135524,en,breakingbad
damn,0.022588207406798552,en,breakingbad
remember,0.022551825721260375,en,breakingbad
www,0.022461355021076126,en,breakingbad
badger,0.02236995151355115,en,breakingbad
people,0.02222965678238523,en,breakingbad
yo,0.022197382885223632,en,breakingbad
pound,0.02216452571216655,en,breakingbad
bitch,0.022147791185392833,en,breakingbad
kill,0.02190748784351008,en,breakingbad
stop,0.021585318904634932,en,breakingbad
place,0.021585318904634932,en,breakingbad
methylamine,0.021507085086926836,en,breakingbad
night,0.021263149965759783,en,breakingbad
real,0.020940981026884634,en,breakingbad
minute,0.020784425926894008,en,breakingbad
lot,0.02061881208800949,en,breakingbad
suppose,0.02061881208800949,en,breakingbad
new,0.02029664314913434,en,breakingbad
buy,0.02029664314913434,en,breakingbad
change,0.01997447421025919,en,breakingbad
drug,0.019921673474196062,en,breakingbad
break,0.01981015596157085,en,breakingbad
make,0.019652305271384042,en,breakingbad
sit,0.019330136332508893,en,breakingbad
car,0.019139726812027174,en,breakingbad
give,0.019007967393633748,en,breakingbad
high,0.01898718883470023,en,breakingbad
stuff,0.018835885996247696,en,breakingbad
love,0.0186857984547586,en,breakingbad
exactly,0.01836362951588345,en,breakingbad
wrong,0.01836362951588345,en,breakingbad
hand,0.01836362951588345,en,breakingbad
word,0.01836362951588345,en,breakingbad
law,0.018107307946755323,en,breakingbad
today,0.0180414605770083,en,breakingbad
month,0.0180414605770083,en,breakingbad
believe,0.017719291638133152,en,breakingbad
krazy,0.0175110578203484,en,breakingbad
care,0.017397122699258007,en,breakingbad
meet,0.017397122699258007,en,breakingbad
live,0.017397122699258007,en,breakingbad
life,0.017397122699258007,en,breakingbad
cool,0.01715975507285195,en,breakingbad
brother,0.017074953760382858,en,breakingbad
seriously,0.01696499195282384,en,breakingbad
stay,0.01675278482150771,en,breakingbad
beneke,0.016543911605328334,en,breakingbad
jesse,0.016439669642644827,en,breakingbad
problem,0.01643061588263256,en,breakingbad
emilio,0.016403781363782715,en,breakingbad
pretty,0.016237832755385942,en,breakingbad
honey,0.016224792367156734,en,breakingbad
mind,0.01610844694375741,en,breakingbad
lab,0.016019772908175127,en,breakingbad
chemistry,0.015921638283766325,en,breakingbad
sound,0.015786278004882262,en,breakingbad
absolutely,0.015713535587338123,en,breakingbad
ain,0.015606101938780117,en,breakingbad
boy,0.015464109066007115,en,breakingbad
hour,0.015464109066007115,en,breakingbad
hold,0.014938806134955067,en,breakingbad
marie,0.014865517930839279,en,breakingbad
gretchen,0.014865517930839279,en,breakingbad
school,0.014849788043814188,en,breakingbad
job,0.014819771188256819,en,breakingbad
hit,0.014819771188256819,en,breakingbad
easy,0.014819771188256819,en,breakingbad
cancer,0.014580177820698538,en,breakingbad
morning,0.014497602249381672,en,breakingbad
dead,0.014497602249381672,en,breakingbad
drive,0.014497602249381672,en,breakingbad
bullshit,0.014475039498360058,en,breakingbad
mom,0.014418782253897758,en,breakingbad
brey,0.014310806688875353,en,breakingbad
salamanca,0.014310806688875353,en,breakingbad
point,0.014175433310506523,en,breakingbad
partner,0.014073824950270151,en,breakingbad
probably,0.013853264371631374,en,breakingbad
second,0.013853264371631374,en,breakingbad
lose,0.013853264371631374,en,breakingbad
end,0.013853264371631374,en,breakingbad
matter,0.013853264371631374,en,breakingbad
police,0.013739085154617976,en,breakingbad
face,0.013639779514524192,en,breakingbad
white,0.013395608025752527,en,breakingbad
couple,0.013315022859416471,en,breakingbad
shut,0.013315022859416471,en,breakingbad
teenth,0.013235129284262669,en,breakingbad
shoot,0.013208926493881078,en,breakingbad
blue,0.01301828807899989,en,breakingbad
plan,0.012990266204308754,en,breakingbad
dealer,0.012948073078353925,en,breakingbad
wife,0.012886757555005929,en,breakingbad
hard,0.012886757555005929,en,breakingbad
wasn,0.012886757555005929,en,breakingbad
idea,0.012886757555005929,en,breakingbad
tio,0.012879726019987816,en,breakingbad
elliott,0.012879726019987816,en,breakingbad
product,0.01262765473477428,en,breakingbad
clean,0.012564588616130782,en,breakingbad
soon,0.012340752894093315,en,breakingbad
keep,0.012340752894093315,en,breakingbad
blowfish,0.01232975223198362,en,breakingbad
miss,0.012242419677255633,en,breakingbad
speak,0.012242419677255633,en,breakingbad
door,0.012242419677255633,en,breakingbad
sir,0.012209825724913888,en,breakingbad
cell,0.012209825724913888,en,breakingbad
hank,0.01217838710322624,en,breakingbad
flynn,0.012077701772422367,en,breakingbad
use,0.011920250738380486,en,breakingbad
com,0.011830577767718453,en,breakingbad
gun,0.011830577767718453,en,breakingbad
story,0.01169123958387788,en,breakingbad
course,0.01169123958387788,en,breakingbad
walk,0.011598081799505337,en,breakingbad
kick,0.011549835145188812,en,breakingbad
set,0.011457786365767381,en,breakingbad
news,0.011366482928770159,en,breakingbad
gale,0.011302272879318318,en,breakingbad
pick,0.011275912860630188,en,breakingbad
ready,0.011275912860630188,en,breakingbad
hope,0.011275912860630188,en,breakingbad
totally,0.011244263217199438,en,breakingbad
asshole,0.011100089388537489,en,breakingbad
cop,0.0110797614227866,en,breakingbad
open,0.01095374392175504,en,breakingbad
close,0.01095374392175504,en,breakingbad
flask,0.010950837173438487,en,breakingbad
mayhew,0.010873525981950433,en,breakingbad
titre,0.010764573921022438,en,breakingbad
figure,0.010716969618554723,en,breakingbad
dollar,0.010708667688778461,en,breakingbad
treatment,0.010639589220509742,en,breakingbad
cause,0.010631574982879892,en,breakingbad
late,0.010631574982879892,en,breakingbad
excuse,0.010631574982879892,en,breakingbad
catch,0.010631574982879892,en,breakingbad
world,0.010631574982879892,en,breakingbad
crystal,0.010430318634902187,en,breakingbad
trust,0.010392212963447004,en,breakingbad
cut,0.010392212963447004,en,breakingbad
wake,0.010392212963447004,en,breakingbad
doesn,0.010392212963447004,en,breakingbad
happy,0.010309406044004744,en,breakingbad
watch,0.010309406044004744,en,breakingbad
away,0.010309406044004744,en,breakingbad
margoli,0.010017564682212746,en,breakingbad
have,0.009987237105129596,en,breakingbad
eye,0.009987237105129596,en,breakingbad
offer,0.009987237105129596,en,breakingbad
carman,0.009844596855969385,en,breakingbad
wanna,0.009820959742086327,en,breakingbad
entire,0.009820959742086327,en,breakingbad
pseudo,0.009790624636223077,en,breakingbad
holly,0.009763822377971933,en,breakingbad
eat,0.009665068166254447,en,breakingbad
lie,0.009665068166254447,en,breakingbad
gonzo,0.009662161417937895,en,breakingbad
synch,0.009641031710327317,en,breakingbad
buddy,0.009576471644251437,en,breakingbad
smoke,0.00954058697216922,en,breakingbad
definitely,0.009493594417350116,en,breakingbad
methamphetamine,0.009465136499820276,en,breakingbad
wish,0.009417942998123848,en,breakingbad
later,0.009417942998123848,en,breakingbad
husband,0.009417942998123848,en,breakingbad
clear,0.0093428992273793,en,breakingbad
mother,0.0093428992273793,en,breakingbad
play,0.0093428992273793,en,breakingbad
agent,0.009304297646302301,en,breakingbad
launder,0.009175196927418035,en,breakingbad
half,0.009166229092613906,en,breakingbad
