mot,poids_tfidf,langue,serie
s,0.5099904900582868,en,californication
fuck,0.4241936303820929,en,californication
know,0.27567573453546773,en,californication
t,0.19218426992388854,en,californication
shit,0.17907253162115905,en,californication
think,0.17679413819825182,en,californication
fucking,0.17405995801865506,en,californication
m,0.17390848849969492,en,californication
go,0.16063449988633324,en,californication
want,0.15967261665348095,en,californication
right,0.1473605112729716,en,californication
get,0.13543315918560314,en,californication
good,0.1317780029007644,en,californication
come,0.1258143268570802,en,californication
look,0.08849325742241114,en,californication
little,0.08810850412927022,en,californication
becca,0.087604671001593,en,californication
time,0.08560760772385426,en,californication
love,0.0834914646115792,en,californication
runkle,0.08298243422841667,en,californication
thing,0.08137532149930415,en,californication
mean,0.07848967180074727,en,californication
tell,0.06560043648052652,en,californication
man,0.06348429336825147,en,californication
guy,0.06341244456618599,en,californication
let,0.06309954007511055,en,californication
maybe,0.05328833110001714,en,californication
talk,0.05290357780687622,en,californication
way,0.052326447867164845,en,californication
thank,0.05174931792745347,en,californication
say,0.050787434694601175,en,californication
asshole,0.05018489144888235,en,californication
lew,0.04854744589110472,en,californication
need,0.046170395176910156,en,californication
sorry,0.0450161352974874,en,californication
girl,0.0450161352974874,en,californication
work,0.044631382004346486,en,californication
kind,0.0417457323057896,en,californication
old,0.04116860236607822,en,californication
big,0.04052966640468768,en,californication
like,0.03943721254694409,en,californication
try,0.039244835900373636,en,californication
nice,0.03789819937438042,en,californication
marcy,0.037622408399308346,en,californication
sure,0.03674393949495767,en,californication
woman,0.03655156284838721,en,californication
life,0.03616680955524629,en,californication
hank,0.035905879284000866,en,californication
write,0.03476083609714498,en,californication
happen,0.033858289796400785,en,californication
night,0.03366591314983032,en,californication
feel,0.03347353650325986,en,californication
bill,0.03282782763283,en,californication
ass,0.0315827025111203,en,californication
motherfucker,0.031213823446533284,en,californication
californication,0.030936059534901382,en,californication
karen,0.03067285573426369,en,californication
day,0.03039551015813252,en,californication
baby,0.03029933226149455,en,californication
great,0.029818380218421144,en,californication
moody,0.029606613468932362,en,californication
bad,0.029433626925280225,en,californication
lady,0.02889435547511227,en,californication
writer,0.028783193978176993,en,californication
dad,0.02854001619469809,en,californication
book,0.02834453663172071,en,californication
ashby,0.02820640722299832,en,californication
d,0.027702237106146093,en,californication
hear,0.0267403538732938,en,californication
cock,0.02644509614857128,en,californication
pussy,0.02625491302314818,en,californication
mia,0.026093120562668513,en,californication
people,0.025970847287011965,en,californication
well,0.025393717347300587,en,californication
read,0.024239457467877833,en,californication
stop,0.024239457467877833,en,californication
home,0.023854704174736913,en,californication
actually,0.023854704174736913,en,californication
daisy,0.023471046849173543,en,californication
take,0.02327757423502554,en,californication
call,0.02327757423502554,en,californication
ask,0.023085197588455078,en,californication
marce,0.022721380800637896,en,californication
year,0.022123314355602785,en,californication
guess,0.022123314355602785,en,californication
word,0.022123314355602785,en,californication
okay,0.02194574279797939,en,californication
leave,0.021738561062461866,en,californication
