mot,poids_tfidf,langue,serie
c,0.5177015526749341,fr,cupid
trevor,0.29572734029112263,fr,cupid
j,0.2750923936762885,fr,cupid
n,0.20505041890262096,fr,cupid
savoir,0.18271819506174147,fr,cupid
vouloir,0.1614010723045383,fr,cupid
taire,0.1563255668861566,fr,cupid
faire,0.1421141517146878,fr,cupid
tre,0.1370386462963061,fr,cupid
bien,0.13399334304527707,fr,cupid
devoir,0.12485743329219,fr,cupid
croire,0.12384233220851366,fr,cupid
chose,0.12079702895748463,fr,cupid
voir,0.11470642245542659,fr,cupid
non,0.10963091703704488,fr,cupid
mccrae,0.0884775143970296,fr,cupid
oui,0.08526849102881268,fr,cupid
ici,0.08323828886146,fr,cupid
venir,0.08222318777778366,fr,cupid
clint,0.08028168532323127,fr,cupid
po,0.07997440861741477,fr,cupid
cupidon,0.07903458589479925,fr,cupid
bon,0.0781627834430783,fr,cupid
prendre,0.07714768235940195,fr,cupid
vraiment,0.07613258127572561,fr,cupid
marshall,0.06707124638686442,fr,cupid
heure,0.06699667152263854,fr,cupid
amour,0.06604832230652344,fr,cupid
jamais,0.06293626718793317,fr,cupid
pauler,0.06279636827395794,fr,cupid
pouvoir,0.06192116610425683,fr,cupid
aller,0.06192116610425683,fr,cupid
mme,0.06192116610425683,fr,cupid
peache,0.06134035718469542,fr,cupid
avoir,0.06090606502058049,fr,cupid
ok,0.06014882735000591,fr,cupid
homme,0.0588758628532278,fr,cupid
femme,0.05786076176955146,fr,cupid
dieu,0.05684566068587512,fr,cupid
joe,0.053596993237856966,fr,cupid
vie,0.052785256351169756,fr,cupid
fois,0.052785256351169756,fr,cupid
clair,0.05218934909846965,fr,cupid
aimer,0.050755054183817074,fr,cupid
besoin,0.04973995310014073,fr,cupid
fille,0.04872485201646439,fr,cupid
t,0.04770975093278805,fr,cupid
soir,0.04707274624567851,fr,cupid
petit,0.04567954876543537,fr,cupid
passer,0.04567954876543537,fr,cupid
ouai,0.04471836361896536,fr,cupid
hallie,0.04274431955525462,fr,cupid
trouver,0.04263424551440634,fr,cupid
sr,0.040604043347053656,fr,cupid
arriver,0.040604043347053656,fr,cupid
entendre,0.039588942263377315,fr,cupid
temps,0.038573841179700974,fr,cupid
appeler,0.038573841179700974,fr,cupid
apr,0.038573841179700974,fr,cupid
type,0.03774189846087054,fr,cupid
walter,0.037719680071780705,fr,cupid
dire,0.03755874009602463,fr,cupid
pre,0.03755874009602463,fr,cupid
an,0.03755874009602463,fr,cupid
grand,0.03755874009602463,fr,cupid
tr,0.03755874009602463,fr,cupid
jour,0.03654363901234829,fr,cupid
attendre,0.03654363901234829,fr,cupid
garon,0.03654363901234829,fr,cupid
histoire,0.03654363901234829,fr,cupid
mettre,0.03552853792867195,fr,cupid
sortir,0.03552853792867195,fr,cupid
connaître,0.03552853792867195,fr,cupid
holly,0.03448704681723933,fr,cupid
horny,0.03355080119845973,fr,cupid
mr,0.03349833576131927,fr,cupid
porte,0.03248323467764293,fr,cupid
quelqu,0.03248323467764293,fr,cupid
trs,0.03248323467764293,fr,cupid
monde,0.03248323467764293,fr,cupid
russo,0.03229264169370665,fr,cupid
beaucoup,0.03146813359396659,fr,cupid
amoureux,0.03140118753585244,fr,cupid
bonnerencontre,0.031227358022481028,fr,cupid
madelyn,0.031227358022481028,fr,cupid
tai,0.030699617116746854,fr,cupid
travail,0.030453032510290245,fr,cupid
cory,0.03037864609717042,fr,cupid
pierce,0.030271302549484996,fr,cupid
fte,0.029592659254662847,fr,cupid
ami,0.0294379314266139,fr,cupid
debbie,0.02915545669862333,fr,cupid
equi,0.028757829598679775,fr,cupid
nuit,0.02842283034293756,fr,cupid
ide,0.02842283034293756,fr,cupid
pass,0.02842283034293756,fr,cupid
moment,0.02842283034293756,fr,cupid
relation,0.027701621801722698,fr,cupid
fils,0.02740772925926122,fr,cupid
hector,0.02701176474287189,fr,cupid
traiteur,0.026837631295191164,fr,cupid
demain,0.02660633483451394,fr,cupid
voil,0.026392628175584878,fr,cupid
appel,0.026392628175584878,fr,cupid
problme,0.026392628175584878,fr,cupid
partir,0.026392628175584878,fr,cupid
falloir,0.026392628175584878,fr,cupid
vrai,0.026392628175584878,fr,cupid
raison,0.026392628175584878,fr,cupid
salut,0.026392628175584878,fr,cupid
nom,0.026392628175584878,fr,cupid
donner,0.025583014263955713,fr,cupid
jack,0.02549798658223913,fr,cupid
meilleur,0.025377527091908537,fr,cupid
trop,0.025377527091908537,fr,cupid
point,0.025377527091908537,fr,cupid
nick,0.025297310996182487,fr,cupid
bar,0.025007651051500886,fr,cupid
penser,0.024362426008232196,fr,cupid
tvsubtitle,0.02422329991943544,fr,cupid
acadien,0.023964857998899813,fr,cupid
super,0.023919124726423335,fr,cupid
minute,0.023536373122839255,fr,cupid
couple,0.023486836946367096,fr,cupid
dsol,0.023347324924555855,fr,cupid
finir,0.023347324924555855,fr,cupid
accord,0.023347324924555855,fr,cupid
rpublicain,0.023285617345757688,fr,cupid
tamara,0.022783984572877815,fr,cupid
plan,0.022695357432757402,fr,cupid
cupid,0.02250472608139952,fr,cupid
aide,0.022332223840879514,fr,cupid
revenir,0.022332223840879514,fr,cupid
regarder,0.022332223840879514,fr,cupid
m,0.022332223840879514,fr,cupid
dave,0.02213572426795986,fr,cupid
rendez,0.0214897319817228,fr,cupid
train,0.0214897319817228,fr,cupid
trouv,0.02131712275720317,fr,cupid
enfant,0.02131712275720317,fr,cupid
clibataire,0.021267132018721997,fr,cupid
stillwell,0.02081823868165402,fr,cupid
baklava,0.02081823868165402,fr,cupid
heureux,0.020632143120688548,fr,cupid
hier,0.020466411411164568,fr,cupid
anne,0.020302021673526828,fr,cupid
chercher,0.020302021673526828,fr,cupid
parler,0.020302021673526828,fr,cupid
