mot,poids_tfidf,langue,serie
s,0.5389542698319119,en,desperatehousewives
know,0.3050341635957182,en,desperatehousewives
t,0.2554946924755218,en,desperatehousewives
go,0.2515080841486894,en,desperatehousewives
m,0.20859341804219977,en,desperatehousewives
think,0.19282286451399525,en,desperatehousewives
want,0.16538561897050186,en,desperatehousewives
bree,0.16439813622428773,en,desperatehousewives
get,0.1436937795450904,en,desperatehousewives
come,0.1411142094512577,en,desperatehousewives
tell,0.12880262491251065,en,desperatehousewives
right,0.12446425702742836,en,desperatehousewives
gaby,0.12057467402201924,en,desperatehousewives
good,0.11309069797734778,en,desperatehousewives
look,0.10458984198630815,en,desperatehousewives
lynette,0.09844064979897006,en,desperatehousewives
need,0.09802366356564307,en,desperatehousewives
time,0.09356804249447748,en,desperatehousewives
edie,0.09289090448259307,en,desperatehousewives
let,0.08606383858514595,en,desperatehousewives
talk,0.08190135047918862,en,desperatehousewives
say,0.08149096432789704,en,desperatehousewives
mean,0.07639045073327327,en,desperatehousewives
thing,0.07469027953506535,en,desperatehousewives
sorry,0.07193482966210768,en,desperatehousewives
thank,0.07158307010385777,en,desperatehousewives
little,0.06906212660306671,en,desperatehousewives
love,0.06648255650923399,en,desperatehousewives
find,0.058978352599902466,en,desperatehousewives
way,0.05862659304165255,en,desperatehousewives
guy,0.05484247248597355,en,desperatehousewives
sure,0.05211904121402912,en,desperatehousewives
work,0.05200178802794581,en,desperatehousewives
day,0.05194316143490416,en,desperatehousewives
try,0.05030161682973789,en,desperatehousewives
feel,0.04948084452715475,en,desperatehousewives
help,0.04795655310807179,en,desperatehousewives
home,0.04778067332894683,en,desperatehousewives
leave,0.047663420142863525,en,desperatehousewives
kid,0.04647931211231474,en,desperatehousewives
people,0.04567011597944734,en,desperatehousewives
wait,0.04490797026990585,en,desperatehousewives
man,0.04297329269953132,en,desperatehousewives
mom,0.04289695279358271,en,desperatehousewives
friend,0.04256290654823975,en,desperatehousewives
life,0.04221114698998984,en,desperatehousewives
house,0.04004196304744869,en,desperatehousewives
d,0.039514323710073816,en,desperatehousewives
happen,0.03927981733790721,en,desperatehousewives
ask,0.03886943118661564,en,desperatehousewives
hear,0.03886943118661564,en,desperatehousewives
fine,0.03876795468836061,en,desperatehousewives
great,0.0379314056979492,en,desperatehousewives
maybe,0.036641620651032845,en,desperatehousewives
see,0.03658299405799119,en,desperatehousewives
take,0.03646574087190789,en,desperatehousewives
year,0.03640711427886623,en,desperatehousewives
woman,0.03640711427886623,en,desperatehousewives
start,0.03623123449974128,en,desperatehousewives
stop,0.03587947494149136,en,desperatehousewives
night,0.035293209011074834,en,desperatehousewives
katherine,0.033150277109596366,en,desperatehousewives
gabrielle,0.03273409863761038,en,desperatehousewives
husband,0.032562718038546795,en,desperatehousewives
like,0.032010119800742295,en,desperatehousewives
nbsp,0.03130996127201678,en,desperatehousewives
okay,0.030939551441836178,en,desperatehousewives
win,0.03030994860253437,en,desperatehousewives
care,0.029958189044284454,en,desperatehousewives
