mot,poids_tfidf,langue,serie
s,0.5727254233614439,en,dirt
know,0.30941186748245425,en,dirt
t,0.2150025253185588,en,dirt
go,0.20688922247634903,en,dirt
m,0.19582562769151754,en,dirt
want,0.18439324641385832,en,dirt
get,0.17996780849992572,en,dirt
right,0.17001057319357737,en,dirt
holt,0.1507104207069867,en,dirt
come,0.1460394511597758,en,dirt
think,0.1375573618247383,en,dirt
shit,0.11974969973175431,en,dirt
spiller,0.11824569585378758,en,dirt
look,0.11727410471921389,en,dirt
good,0.11653653173355845,en,dirt
tell,0.10141628552762207,en,dirt
story,0.08550218932928037,en,dirt
thank,0.08334574737906396,en,dirt
need,0.07855152297230364,en,dirt
let,0.07449487155119876,en,dirt
love,0.07412608505837104,en,dirt
time,0.0685942876659553,en,dirt
sorry,0.0685942876659553,en,dirt
cover,0.0674522623838011,en,dirt
mean,0.06490642273767813,en,dirt
talk,0.06453763624485041,en,dirt
magazine,0.06307513235847677,en,dirt
say,0.06232491728788411,en,dirt
willa,0.061566454131208016,en,dirt
little,0.060849771316573244,en,dirt
work,0.060480984823745525,en,dirt
great,0.059743411838090094,en,dirt
brent,0.058517603917752334,en,dirt
aundre,0.056813401936415854,en,dirt
people,0.05642433340264064,en,dirt
guy,0.052044810896083704,en,dirt
man,0.05052374951739718,en,dirt
thing,0.05015496302456946,en,dirt
okay,0.049147244828710704,en,dirt
way,0.04904860354608631,en,dirt
barrow,0.04423023216400697,en,dirt
bullshit,0.04418550564418102,en,dirt
julia,0.043859298695584595,en,dirt
find,0.04351680615367056,en,dirt
gage,0.04086844507860912,en,dirt
baby,0.03972188784823843,en,dirt
big,0.0382901108735473,en,dirt
maybe,0.03650986278994395,en,dirt
friend,0.03650986278994395,en,dirt
like,0.03614107629711623,en,dirt
tweetie,0.036039448429931606,en,dirt
bad,0.03503471681863308,en,dirt
leave,0.03503471681863308,en,dirt
try,0.03466593032580536,en,dirt
take,0.03429714383297765,en,dirt
hear,0.03429714383297765,en,dirt
feel,0.03429714383297765,en,dirt
lucy,0.03405966060072287,en,dirt
