mot,poids_tfidf,langue,serie
c,0.5899132013997866,fr,doctorwho
n,0.23139760568077464,fr,doctorwho
dalek,0.22182885006487446,fr,doctorwho
docteur,0.20350047501363747,fr,doctorwho
j,0.1923513526816743,fr,doctorwho
non,0.18257304575565605,fr,doctorwho
bien,0.17922431050701965,fr,doctorwho
tardi,0.17519275336811066,fr,doctorwho
savoir,0.1326099158460011,fr,doctorwho
taire,0.1253766477089465,fr,doctorwho
vouloir,0.11754060722713733,fr,doctorwho
aller,0.1105082632050009,fr,doctorwho
faire,0.10936969322046454,fr,doctorwho
chose,0.10622188208674632,fr,doctorwho
oui,0.1042126409375645,fr,doctorwho
devoir,0.09718029691542807,fr,doctorwho
voir,0.0955729039960826,fr,doctorwho
temps,0.0943673593065735,fr,doctorwho
bon,0.08700014175957343,fr,doctorwho
venir,0.08539274884022797,fr,doctorwho
tre,0.08432115356066433,fr,doctorwho
pouvoir,0.0818430894766734,fr,doctorwho
ici,0.0801687218523552,fr,doctorwho
mme,0.07969989891754611,fr,doctorwho
jamais,0.077757632473337,fr,doctorwho
monde,0.07501166956945517,fr,doctorwho
ood,0.0721115456867239,fr,doctorwho
dire,0.06791235084234601,fr,doctorwho
laucas,0.06260844252134434,fr,doctorwho
regarder,0.062487399739555055,fr,doctorwho
sontarien,0.061466507990112274,fr,doctorwho
avoir,0.06047815859037323,fr,doctorwho
donner,0.05792959735919898,fr,doctorwho
mourir,0.055120182192554996,fr,doctorwho
vaisseau,0.05402900549584063,fr,doctorwho
vie,0.05210632046878225,fr,doctorwho
passer,0.05163749753397315,fr,doctorwho
vraiment,0.04989615520468223,fr,doctorwho
cybermen,0.049016023054254794,fr,doctorwho
Monsieur,0.04839332522674173,fr,doctorwho
plante,0.047029420235038484,fr,doctorwho
arriver,0.04641347054610038,fr,doctorwho
fait,0.04514095115161855,fr,doctorwho
grand,0.04433725469194582,fr,doctorwho
humain,0.044050819607473875,fr,doctorwho
oh,0.04329939875205559,fr,doctorwho
besoin,0.042261038837791254,fr,doctorwho
terre,0.04172551418180066,fr,doctorwho
rose,0.041207450205942076,fr,doctorwho
exterminer,0.04102046088190702,fr,doctorwho
croire,0.0409215447383367,fr,doctorwho
prendre,0.04085457003336397,fr,doctorwho
jour,0.04078759532839124,fr,doctorwho
homme,0.04038574709855488,fr,doctorwho
petit,0.04031877239358215,fr,doctorwho
trouver,0.03951507593390941,fr,doctorwho
dsol,0.038912303589154866,fr,doctorwho
dieu,0.036635163620082116,fr,doctorwho
attendre,0.03536264422560029,fr,doctorwho
martha,0.03513100984816168,fr,doctorwho
heure,0.03475987188084574,fr,doctorwho
partir,0.03455894776592756,fr,doctorwho
an,0.03435802365100937,fr,doctorwho
mort,0.03342037778139118,fr,doctorwho
trop,0.03147811133718208,fr,doctorwho
trs,0.03134416192723662,fr,doctorwho
fois,0.03127718722226389,fr,doctorwho
voil,0.03100928840237298,fr,doctorwho
porte,0.030942313697400255,fr,doctorwho
falloir,0.030808364287454797,fr,doctorwho
penser,0.030540465467563886,fr,doctorwho
enfant,0.030339541352645702,fr,doctorwho
nom,0.030272566647672975,fr,doctorwho
sortir,0.030272566647672975,fr,doctorwho
aider,0.02987071841783661,fr,doctorwho
univers,0.02921152461975509,fr,doctorwho
bibliothque,0.029028089666522535,fr,doctorwho
quelqu,0.029000047253191146,fr,doctorwho
noble,0.028705356503056178,fr,doctorwho
appeler,0.02833030020346387,fr,doctorwho
ouai,0.02724014857346905,fr,doctorwho
slitheen,0.02712767671071994,fr,doctorwho
arrter,0.02699080610400931,fr,doctorwho
alien,0.02687533379573776,fr,doctorwho
minute,0.025116328924967395,fr,doctorwho
s,0.02484761554488202,fr,doctorwho
perdre,0.024713666134936568,fr,doctorwho
atmo,0.024666127730528214,fr,doctorwho
arme,0.02457971672499111,fr,doctorwho
tuer,0.024445767315045656,fr,doctorwho
mettre,0.024445767315045656,fr,doctorwho
seigneur,0.024378057562532116,fr,doctorwho
entendre,0.0243118179051002,fr,doctorwho
jone,0.023912994059605164,fr,doctorwho
moment,0.023642070855372923,fr,doctorwho
donna,0.023610017380483874,fr,doctorwho
fille,0.023575096150400193,fr,doctorwho
accord,0.02344114674045474,fr,doctorwho
guerre,0.023141674510678185,fr,doctorwho
pass,0.023106273215591097,fr,doctorwho
mieux,0.022972323805645643,fr,doctorwho
revenir,0.022972323805645643,fr,doctorwho
histoire,0.022972323805645643,fr,doctorwho
sr,0.022704424985754732,fr,doctorwho
oeil,0.022302576755918364,fr,doctorwho
londre,0.022051701570324957,fr,doctorwho
dsole,0.022010546315966047,fr,doctorwho
tte,0.021833753821109272,fr,doctorwho
mickey,0.021742490576354957,fr,doctorwho
truc,0.021672961249770247,fr,doctorwho
l,0.02149888029624563,fr,doctorwho
plumedepheni,0.021381478910873487,fr,doctorwho
mot,0.02123098147635472,fr,doctorwho
femme,0.021164006771381992,fr,doctorwho
anne,0.021097032066409265,fr,doctorwho
air,0.020963082656463808,fr,doctorwho
nouveau,0.020963082656463808,fr,doctorwho
nol,0.020826433505523188,fr,doctorwho
aimer,0.02062820913160017,fr,doctorwho
spatial,0.02050845223629476,fr,doctorwho
lumire,0.020500988892156628,fr,doctorwho
devenir,0.020494259721654712,fr,doctorwho
vieux,0.02036031031170926,fr,doctorwho
vite,0.02036031031170926,fr,doctorwho
cyberking,0.019916522142047553,fr,doctorwho
apr,0.019891487376900163,fr,doctorwho
www,0.019885430099381225,fr,doctorwho
arrtez,0.019874614579758913,fr,doctorwho
ouvrir,0.019782484879073782,fr,doctorwho
rester,0.019782484879073782,fr,doctorwho
fin,0.019489639147063795,fr,doctorwho
être,0.019422664442091068,fr,doctorwho
m,0.01935568973711834,fr,doctorwho
eddison,0.019229745516459708,fr,doctorwho
osterhagen,0.019229745516459708,fr,doctorwho
finir,0.01908779091722743,fr,doctorwho
team,0.0190838428689453,fr,doctorwho
impossible,0.018853658351346638,fr,doctorwho
chance,0.01875291739236379,fr,doctorwho
sonique,0.018532117709433513,fr,doctorwho
t,0.01848501857247288,fr,doctorwho
smith,0.018455979792673567,fr,doctorwho
christie,0.01831409279520488,fr,doctorwho
trouv,0.018284094457554696,fr,doctorwho
vashta,0.018199580578077936,fr,doctorwho
nerada,0.018199580578077936,fr,doctorwho
creuset,0.018114864077267815,fr,doctorwho
ami,0.018083170342636512,fr,doctorwho
laisse,0.018016195637663785,fr,doctorwho
mal,0.018016195637663785,fr,doctorwho
adipose,0.017856192265284013,fr,doctorwho
graske,0.017856192265284013,fr,doctorwho
arrte,0.017681322112800144,fr,doctorwho
nergie,0.017608502404037864,fr,doctorwho
maison,0.017480397997881963,fr,doctorwho
main,0.017480397997881963,fr,doctorwho
endroit,0.01741938941570319,fr,doctorwho
travail,0.01727947388296378,fr,doctorwho
connaître,0.01727947388296378,fr,doctorwho
laisser,0.01721249917799105,fr,doctorwho
plat,0.01708180434950739,fr,doctorwho
disparaître,0.016947901001629358,fr,doctorwho
tr,0.01694460035810014,fr,doctorwho
espace,0.016907067790461628,fr,doctorwho
dernier,0.01687762565312741,fr,doctorwho
vivre,0.01687762565312741,fr,doctorwho
intrieur,0.016673441066380298,fr,doctorwho
teindre,0.016660257577121623,fr,doctorwho
dernire,0.0166097268332365,fr,doctorwho
vien,0.0166097268332365,fr,doctorwho
bonjour,0.0166097268332365,fr,doctorwho
scurit,0.01653949090027882,fr,doctorwho
voyager,0.016515623092669907,fr,doctorwho
ombre,0.01642463974183696,fr,doctorwho
tyler,0.01639835184873219,fr,doctorwho
kowaio,0.0163571606587296,fr,doctorwho
part,0.016341828013345588,fr,doctorwho
temporel,0.01622657727479967,fr,doctorwho
gnial,0.016038188589102123,fr,doctorwho
doctor,0.016034666044963994,fr,doctorwho
ciel,0.015973352327040048,fr,doctorwho
parler,0.015939979783509223,fr,doctorwho
com,0.015779047608813147,fr,doctorwho
hein,0.01567208096361831,fr,doctorwho
sorte,0.015596430058245882,fr,doctorwho
agatha,0.015569092954691239,fr,doctorwho
allez,0.015538131553672854,fr,doctorwho
signal,0.015524659482010277,fr,doctorwho
raison,0.015471156848700127,fr,doctorwho
sontar,0.015452474075726547,fr,doctorwho
hath,0.015452474075726547,fr,doctorwho
ash,0.015430168839213871,fr,doctorwho
marche,0.015270232733781943,fr,doctorwho
davro,0.015179155526478902,fr,doctorwho
voiture,0.01511373577671371,fr,doctorwho
kubilai,0.015109085762932625,fr,doctorwho
esprit,0.01504208843194082,fr,doctorwho
pre,0.014935359208918305,fr,doctorwho
crature,0.014820988379584012,fr,doctorwho
professeur,0.014819560074063572,fr,doctorwho
beaucoup,0.01480140979897285,fr,doctorwho
donne,0.01473443509400012,fr,doctorwho
radaptation,0.01466504059058516,fr,doctorwho
toile,0.014624679222183594,fr,doctorwho
papa,0.014533510979081937,fr,doctorwho
nuit,0.014533510979081937,fr,doctorwho
visage,0.014516157846419325,fr,doctorwho
place,0.01446653627410921,fr,doctorwho
vrai,0.014399561569136481,fr,doctorwho
famille,0.014399561569136481,fr,doctorwho
continuer,0.014381123819941007,fr,doctorwho
tai,0.014313606806701847,fr,doctorwho
souvenir,0.014265612159191025,fr,doctorwho
caan,0.014254319273915659,fr,doctorwho
million,0.014225175965986232,fr,doctorwho
problme,0.01413166274924557,fr,doctorwho
harriet,0.014128548837696249,fr,doctorwho
travers,0.014111055766984367,fr,doctorwho
imagino,0.014078920824550855,fr,doctorwho
rentrer,0.013997713339300114,fr,doctorwho
tard,0.013976021740506049,fr,doctorwho
tlportation,0.013965532088777948,fr,doctorwho
ct,0.01390850472726689,fr,doctorwho
matre,0.013904295436829436,fr,doctorwho
utiliser,0.013796789224381932,fr,doctorwho
corps,0.013773470700788569,fr,doctorwho
tournevis,0.0136692674329656,fr,doctorwho
saxon,0.013664607639330134,fr,doctorwho
capitaine,0.013498345796893674,fr,doctorwho
niveau,0.013419133974386698,fr,doctorwho
staal,0.013392144198963007,fr,doctorwho
infotube,0.013392144198963007,fr,doctorwho
question,0.013327966289572836,fr,doctorwho
forme,0.013300851608114452,fr,doctorwho
essayer,0.01326099158460011,fr,doctorwho
peur,0.01326099158460011,fr,doctorwho
futur,0.013179881668239935,fr,doctorwho
sauver,0.013127042174654654,fr,doctorwho
evangelista,0.013066459334422686,fr,doctorwho
changer,0.013030783555157813,fr,doctorwho
important,0.012993092764709198,fr,doctorwho
race,0.012891628945555324,fr,doctorwho
attention,0.012859143354763743,fr,doctorwho
sang,0.012859143354763743,fr,doctorwho
tlporteur,0.012777624504580684,fr,doctorwho
livre,0.012762386989081217,fr,doctorwho
monsieur,0.012727920980873001,fr,doctorwho
statten,0.012705367573375162,fr,doctorwho
ville,0.012659857232312183,fr,doctorwho
haut,0.01259124453487283,fr,doctorwho
personne,0.012558164462483697,fr,doctorwho
