mot,poids_tfidf,langue,serie
s,0.6273083354018626,en,eleventhhour
know,0.23878188250780577,en,eleventhhour
go,0.19578090790364583,en,eleventhhour
t,0.1861689253450689,en,eleventhhour
get,0.16745085404678753,en,eleventhhour
hood,0.16466199308574048,en,eleventhhour
right,0.15682708385046565,en,eleventhhour
m,0.13912080018992923,en,eleventhhour
think,0.13557954345782192,en,eleventhhour
come,0.11534379070292314,en,eleventhhour
want,0.1143320030651782,en,eleventhhour
need,0.11382610924630572,en,eleventhhour
look,0.10472002050660126,en,eleventhhour
find,0.10320233904998385,en,eleventhhour
tell,0.09359035649140693,en,eleventhhour
geppetto,0.08964073450043525,en,eleventhhour
time,0.08448426775170247,en,eleventhhour
people,0.0804371172007227,en,eleventhhour
thank,0.07436639137425308,en,eleventhhour
help,0.07335460373650814,en,eleventhhour
work,0.07284870991763566,en,eleventhhour
nesic,0.07014192353828773,en,eleventhhour
mean,0.06981334700440084,en,eleventhhour
let,0.0688015593666559,en,eleventhhour
good,0.06627209027229355,en,eleventhhour
sofia,0.0659948401425549,en,eleventhhour
way,0.06526030263454861,en,eleventhhour
agent,0.06513761269389985,en,eleventhhour
victim,0.058296524577901805,en,eleventhhour
say,0.05767189535146157,en,eleventhhour
kind,0.05666010771371663,en,eleventhhour
thing,0.05666010771371663,en,eleventhhour
test,0.05432409845473697,en,eleventhhour
okay,0.052317293005673615,en,eleventhhour
happen,0.0521070633438644,en,eleventhhour
year,0.05160116952499193,en,eleventhhour
felix,0.05069890121356493,en,eleventhhour
baby,0.049349143055331016,en,eleventhhour
try,0.049071700430629576,en,eleventhhour
die,0.047554018974012166,en,eleventhhour
water,0.04626482161437283,en,eleventhhour
man,0.04553044369852229,en,eleventhhour
maybe,0.04553044369852229,en,eleventhhour
virus,0.04517589382581847,en,eleventhhour
take,0.04502454987964982,en,eleventhhour
cause,0.04401276224190488,en,eleventhhour
talk,0.04300097460415994,en,eleventhhour
sorry,0.04249508078528747,en,eleventhhour
blood,0.04232645132555777,en,eleventhhour
guy,0.0413065368357853,en,eleventhhour
leave,0.04047150550979759,en,eleventhhour
cell,0.03938193398340582,en,eleventhhour
sure,0.03895382405318018,en,eleventhhour
bad,0.03844793023430771,en,eleventhhour
little,0.03844793023430771,en,eleventhhour
sacha,0.038283627647619264,en,eleventhhour
stem,0.03739640155581919,en,eleventhhour
ask,0.0369302487776903,en,eleventhhour
heart,0.03569700714203668,en,eleventhhour
young,0.03569700714203668,en,eleventhhour
kill,0.03541256732107289,en,eleventhhour
call,0.03541256732107289,en,eleventhhour
stop,0.03541256732107289,en,eleventhhour
long,0.03389488586445548,en,eleventhhour
day,0.03338899204558301,en,eleventhhour
use,0.03288309822671054,en,eleventhhour
mercury,0.03241794012644734,en,eleventhhour
check,0.032377204407838076,en,eleventhhour
life,0.032377204407838076,en,eleventhhour
home,0.032377204407838076,en,eleventhhour
stay,0.031871310588965605,en,eleventhhour
start,0.031871310588965605,en,eleventhhour
old,0.031871310588965605,en,eleventhhour
case,0.031871310588965605,en,eleventhhour
place,0.031365416770093135,en,eleventhhour
kid,0.03109100051321512,en,eleventhhour
lot,0.03035362913234819,en,eleventhhour
exactly,0.03035362913234819,en,eleventhhour
son,0.030087477448288054,en,eleventhhour
nitric,0.029880244833478422,en,eleventhhour
