mot,poids_tfidf,langue,serie
c,0.4842824802597384,fr,fearitself
non,0.27303760014644,fr,fearitself
savoir,0.1853781600994251,fr,fearitself
vouloir,0.18394112009865435,fr,fearitself
n,0.17531888009402993,fr,fearitself
aller,0.17244480009248844,fr,fearitself
bien,0.16957072009094698,fr,fearitself
j,0.16813368009017624,fr,fearitself
zuzu,0.1473579440127374,fr,fearitself
lemon,0.14311683079820334,fr,fearitself
taire,0.14226696007630296,fr,fearitself
ici,0.13795584007399075,fr,fearitself
faire,0.1322076800709078,fr,fearitself
harry,0.12758514810884436,fr,fearitself
chose,0.11927432006397118,fr,fearitself
ok,0.10795855233194805,fr,fearitself
bobby,0.0957346744575119,fr,fearitself
voir,0.0934076000500979,fr,fearitself
helen,0.09277669690591259,fr,fearitself
t,0.0890964800477857,fr,fearitself
mellor,0.0882079590777919,fr,fearitself
oui,0.08765944004701497,fr,fearitself
pler,0.084598289494162,fr,fearitself
bon,0.08334832004470275,fr,fearitself
heure,0.08191128004393201,fr,fearitself
allei,0.08104686920700559,fr,fearitself
kandu,0.08104686920700559,fr,fearitself
brodigan,0.08104686920700559,fr,fearitself
vraiment,0.08047424004316128,fr,fearitself
tre,0.08047424004316128,fr,fearitself
jame,0.07877436129624424,fr,fearitself
grady,0.07578715666190668,fr,fearitself
ziza,0.0736789720063687,fr,fearitself
steinwitz,0.0736789720063687,fr,fearitself
mme,0.07185200003853685,fr,fearitself
prendre,0.07041496003776612,fr,fearitself
s,0.07041496003776612,fr,fearitself
ruthie,0.06857319717807957,fr,fearitself
maison,0.0661038400354539,fr,fearitself
navarro,0.06571591704225753,fr,fearitself
devoir,0.06466680003468317,fr,fearitself
enfant,0.06322976003391242,fr,fearitself
croire,0.06179272003314169,fr,fearitself
sososerie,0.0612438937376721,fr,fearitself
bannerman,0.061067048592317465,fr,fearitself
venir,0.05891864003160022,fr,fearitself
ouai,0.05888938304729338,fr,fearitself
mahoney,0.057891473964825094,fr,fearitself
eddie,0.05563708476739179,fr,fearitself
carlos,0.054643395246514855,fr,fearitself
passer,0.05460752002928801,fr,fearitself
tracy,0.054493664758632404,fr,fearitself
