mot,poids_tfidf,langue,serie
s,0.5435404381543234,en,flashforward
know,0.29068604398452097,en,flashforward
go,0.2524683569267951,en,flashforward
t,0.2231295264582379,en,flashforward
m,0.16329375379210143,en,flashforward
blackout,0.15746445386358549,en,flashforward
get,0.15480093444594012,en,flashforward
right,0.1509405620158668,en,flashforward
demetri,0.14747150254952818,en,flashforward
come,0.1451500033707568,en,flashforward
want,0.14051755645466885,en,flashforward
think,0.1397454819686542,en,flashforward
see,0.12816436467843423,en,flashforward
tell,0.11812739636024358,en,flashforward
need,0.10229986939694298,en,flashforward
benford,0.09713591145746539,en,flashforward
good,0.09149082659273768,en,flashforward
thing,0.09033271486371568,en,flashforward
happen,0.08724441691965702,en,flashforward
look,0.08454215621860571,en,flashforward
find,0.08299800724657637,en,flashforward
time,0.08299800724657637,en,flashforward
say,0.08106782103153971,en,flashforward
let,0.07797952308748106,en,flashforward
gibbon,0.07588588977717246,en,flashforward
flash,0.07525457485834215,en,flashforward
people,0.0748912251434224,en,flashforward
talk,0.07218896444237108,en,flashforward
wedeck,0.07136515943813783,en,flashforward
man,0.06601236855425377,en,flashforward
forward,0.06491719206815554,en,flashforward
work,0.06408218233921711,en,flashforward
janis,0.06222978433175241,en,flashforward
mosaic,0.06144884747539425,en,flashforward
guy,0.061094659786678746,en,flashforward
mark,0.06083434979971809,en,flashforward
frost,0.05968595369099701,en,flashforward
simcoe,0.05947096619844819,en,flashforward
day,0.05751954920809246,en,flashforward
agent,0.057137732762815335,en,flashforward
future,0.05548863176829052,en,flashforward
mean,0.05520332575004847,en,flashforward
sorry,0.053659176778019145,en,flashforward
help,0.05327313953501182,en,flashforward
try,0.052501065048997146,en,flashforward
way,0.052501065048997146,en,flashforward
thank,0.05172899056298248,en,flashforward
kill,0.04671050640388717,en,flashforward
sure,0.04632446916087984,en,flashforward
lloyd,0.04406053185428634,en,flashforward
hellinger,0.04361204187886201,en,flashforward
d,0.04285013397381385,en,flashforward
maybe,0.041692022244791856,en,flashforward
vision,0.04047164961356768,en,flashforward
olivia,0.04012989347935069,en,flashforward
dyson,0.039728078591956276,en,flashforward
little,0.039375798786747865,en,flashforward
cause,0.03898976154374053,en,flashforward
okay,0.03704127030173124,en,flashforward
ask,0.035901463599681875,en,flashforward
tracy,0.035545586870289116,en,flashforward
die,0.03551542635667454,en,flashforward
run,0.03512938911366721,en,flashforward
life,0.03435731462765255,en,flashforward
believe,0.03435731462765255,en,flashforward
somalia,0.03401406507929563,en,flashforward
geyer,0.03370021417912065,en,flashforward
start,0.03281316565562322,en,flashforward
take,0.03165505392660122,en,flashforward
love,0.03165505392660122,en,flashforward
world,0.03165505392660122,en,flashforward
leave,0.03126901668359389,en,flashforward
hear,0.030496942197579226,en,flashforward
remember,0.030496942197579226,en,flashforward
bad,0.030496942197579226,en,flashforward
phone,0.03029302287630304,en,flashforward
nlap,0.029735483099224094,en,flashforward
kind,0.029724867711564563,en,flashforward
suppose,0.029724867711564563,en,flashforward
office,0.029027520100282787,en,flashforward
feel,0.0289527932255499,en,flashforward
change,0.0289527932255499,en,flashforward
friend,0.028180718739535236,en,flashforward
wait,0.027794681496527904,en,flashforward
home,0.027794681496527904,en,flashforward
gun,0.02754180262951646,en,flashforward
dead,0.027408644253520572,en,flashforward
stop,0.027408644253520572,en,flashforward
hell,0.027408644253520572,en,flashforward
big,0.027239657229729375,en,flashforward
today,0.02702260701051324,en,flashforward
year,0.02702260701051324,en,flashforward
live,0.02702260701051324,en,flashforward
well,0.02702260701051324,en,flashforward
hand,0.026250532524498573,en,flashforward
call,0.026250532524498573,en,flashforward
give,0.02586449528149124,en,flashforward
make,0.02586449528149124,en,flashforward
raynaud,0.02556177270469939,en,flashforward
alda,0.02556177270469939,en,flashforward
question,0.02547845803848391,en,flashforward
number,0.02529396742760585,en,flashforward
baby,0.02510488224889322,en,flashforward
win,0.024706383552469246,en,flashforward
stay,0.024706383552469246,en,flashforward
second,0.024706383552469246,en,flashforward
charlie,0.02407127957241114,en,flashforward
vreede,0.02378838647937928,en,flashforward
bring,0.02354827182344725,en,flashforward
away,0.02354827182344725,en,flashforward
listen,0.02354827182344725,en,flashforward
place,0.022776197337432587,en,flashforward
head,0.022776197337432587,en,flashforward
crow,0.0225632230849075,en,flashforward
