mot,poids_tfidf,langue,serie
s,0.5697501984981157,en,flashpoint
get,0.27330003878295617,en,flashpoint
go,0.26879862637947216,en,flashpoint
know,0.2587240367145318,en,flashpoint
right,0.21649650131042017,en,flashpoint
t,0.16526614109934054,en,flashpoint
wordy,0.1609360168397184,en,flashpoint
let,0.15990731680947867,en,flashpoint
come,0.14104425530916484,en,flashpoint
want,0.13825766667843664,en,flashpoint
jule,0.13590230128580702,en,flashpoint
m,0.135256725076114,en,flashpoint
guy,0.12165005129543742,en,flashpoint
need,0.12068072300768966,en,flashpoint
tell,0.10460425013810401,en,flashpoint
good,0.10160330853578135,en,flashpoint
think,0.09667319018910842,en,flashpoint
look,0.09345789561519129,en,flashpoint
okay,0.08318500546792668,en,flashpoint
talk,0.08209718812068409,en,flashpoint
time,0.07480918708647193,en,flashpoint
spike,0.07313352080207723,en,flashpoint
parker,0.07311017132351644,en,flashpoint
copy,0.07065395799116568,en,flashpoint
say,0.07030777468298793,en,flashpoint
way,0.06837859793863767,en,flashpoint
boss,0.06814380512289826,en,flashpoint
sru,0.06164133981993649,en,flashpoint
man,0.06001883204645312,en,flashpoint
team,0.05599892514400269,en,flashpoint
stay,0.05444565478499676,en,flashpoint
help,0.053588242898618854,en,flashpoint
kid,0.05335312433162752,en,flashpoint
work,0.050372948324701725,en,flashpoint
thank,0.04951553643832382,en,flashpoint
gun,0.04880265911441888,en,flashpoint
sorry,0.04651459483600117,en,flashpoint
thing,0.04630024186440669,en,flashpoint
try,0.04458541809165089,en,flashpoint
mean,0.04437106512005641,en,flashpoint
sarge,0.04280387442072661,en,flashpoint
hear,0.04158447648932823,en,flashpoint
happen,0.04094141757454481,en,flashpoint
leave,0.03944094677338348,en,flashpoint
subject,0.03901430676953257,en,flashpoint
find,0.03644000517106082,en,flashpoint
kill,0.035368240313088446,en,flashpoint
little,0.03515388734149397,en,flashpoint
hand,0.034939534369899494,en,flashpoint
year,0.034939534369899494,en,flashpoint
police,0.03473659568990345,en,flashpoint
take,0.03365341654033264,en,flashpoint
maybe,0.03365341654033264,en,flashpoint
hold,0.03349157717725186,en,flashpoint
minute,0.03284335310285344,en,flashpoint
haley,0.03213044964372865,en,flashpoint
phone,0.03164939125666876,en,flashpoint
see,0.03129553385279341,en,flashpoint
home,0.030223768994821036,en,flashpoint
shoot,0.030223768994821036,en,flashpoint
listen,0.029795063051632084,en,flashpoint
hostage,0.0296159546312034,en,flashpoint
flashpoint,0.02951696164811307,en,flashpoint
cop,0.02925701359274574,en,flashpoint
sure,0.028937651165254184,en,flashpoint
day,0.028937651165254184,en,flashpoint
stop,0.028937651165254184,en,flashpoint
door,0.028294592250470756,en,flashpoint
away,0.027865886307281804,en,flashpoint
rj,0.027462756620303275,en,flashpoint
people,0.027437180364092855,en,flashpoint
d,0.02722282739249838,en,flashpoint
eddie,0.027166172703832224,en,flashpoint
cosgrove,0.0268226694732864,en,flashpoint
clear,0.025079297676553626,en,flashpoint
place,0.025079297676553626,en,flashpoint
today,0.025079297676553626,en,flashpoint
friend,0.024436238761770198,en,flashpoint
lose,0.024007532818581246,en,flashpoint
fire,0.024007532818581246,en,flashpoint
life,0.023793179846986773,en,flashpoint
sergeant,0.023614619727147443,en,flashpoint
lot,0.023578826875392297,en,flashpoint
zoe,0.02349035071628339,en,flashpoint
long,0.02336447390379782,en,flashpoint
floor,0.023119991986877093,en,flashpoint
gedde,0.023115502432476183,en,flashpoint
lewis,0.0229673884791164,en,flashpoint
start,0.02293576796060887,en,flashpoint
room,0.022721414989014393,en,flashpoint
strategic,0.022540270377953475,en,flashpoint
