mot,poids_tfidf,langue,serie
s,0.5291802090454387,en,fridaynightlights
go,0.3039127730450076,en,fridaynightlights
know,0.29947540108691023,en,fridaynightlights
right,0.2172424016081275,en,fridaynightlights
get,0.21365473917392114,en,fridaynightlights
t,0.17060278996344475,en,fridaynightlights
good,0.16059510001539543,en,fridaynightlights
m,0.15983980266082568,en,fridaynightlights
think,0.15559125504137075,en,fridaynightlights
come,0.15181476826852194,en,fridaynightlights
riggin,0.1420001569343123,en,fridaynightlights
let,0.13170497620310206,en,fridaynightlights
panther,0.12932538284557635,en,fridaynightlights
want,0.12594583387450764,en,fridaynightlights
saracen,0.12148553171041092,en,fridaynightlights
coach,0.11785496367573792,en,fridaynightlights
dillon,0.11278745251049317,en,fridaynightlights
look,0.10205955503623895,en,fridaynightlights
tell,0.09790541958610527,en,fridaynightlights
lyla,0.0887041670771467,en,fridaynightlights
need,0.08619831059027397,en,fridaynightlights
talk,0.08213858730946151,en,fridaynightlights
mean,0.08015593175371588,en,fridaynightlights
thank,0.07911739789118247,en,fridaynightlights
tyra,0.07123454160588087,en,fridaynightlights
time,0.07033706614430899,en,fridaynightlights
man,0.06561645767824799,en,fridaynightlights
thing,0.06268968042929016,en,fridaynightlights
football,0.05744554351902119,en,fridaynightlights
game,0.05586508589232985,en,fridaynightlights
little,0.05381493651309547,en,fridaynightlights
sorry,0.05381493651309547,en,fridaynightlights
landry,0.05376295931962192,en,fridaynightlights
play,0.053626112174453025,en,fridaynightlights
say,0.05343728783581059,en,fridaynightlights
matt,0.05334269398301355,en,fridaynightlights
garrity,0.05168300643751109,en,fridaynightlights
love,0.04852785503110714,en,fridaynightlights
work,0.04720608466061006,en,fridaynightlights
guy,0.04710939951738208,en,fridaynightlights
great,0.04701726032196762,en,fridaynightlights
try,0.042202239686585395,en,fridaynightlights
team,0.04195969403621575,en,fridaynightlights
night,0.04050282063880343,en,fridaynightlights
way,0.03927546243762757,en,fridaynightlights
school,0.038005338184249615,en,fridaynightlights
honey,0.03714612261926679,en,fridaynightlights
wanna,0.03703090199398594,en,fridaynightlights
baby,0.03607155220139563,en,fridaynightlights
happen,0.03549897566477876,en,fridaynightlights
listen,0.03549897566477876,en,fridaynightlights
big,0.03473723398756456,en,fridaynightlights
leave,0.03455485397156657,en,fridaynightlights
