mot,poids_tfidf,langue,serie
s,0.5648218229902258,en,fringe
know,0.2863078153063279,en,fringe
t,0.2322096212212251,en,fringe
walter,0.21872474774267797,en,fringe
think,0.18865599038999828,en,fringe
go,0.1840713976709218,en,fringe
m,0.16206535261935454,en,fringe
need,0.1480823448261712,en,fringe
right,0.13341164812512638,en,fringe
get,0.12699321831841925,en,fringe
olivia,0.12510332994750412,en,fringe
tell,0.1201163292398045,en,fringe
come,0.1191994106959892,en,fringe
want,0.11461481797691268,en,fringe
agent,0.11309497479580709,en,fringe
look,0.11232252161737444,en,fringe
broyle,0.10711904479315214,en,fringe
work,0.09765182491632961,en,fringe
time,0.09650567673656048,en,fringe
find,0.0949010692848837,en,fringe
say,0.0875657209343613,en,fringe
good,0.08641957275459217,en,fringe
thank,0.07725038731643916,en,fringe
thing,0.07358271314117795,en,fringe
happen,0.07266579459736265,en,fringe
man,0.07243656496140882,en,fringe
let,0.06647659442660936,en,fringe
people,0.06395506843111728,en,fringe
mean,0.06303814988730198,en,fringe
help,0.06005816461990225,en,fringe
sure,0.05982893498394842,en,fringe
try,0.05730740898845634,en,fringe
see,0.05547357190082574,en,fringe
astrid,0.05459257405733265,en,fringe
way,0.05432742372105662,en,fringe
kill,0.051805897725564536,en,fringe
remember,0.0479089939143495,en,fringe
year,0.04722130500648803,en,fringe
guy,0.04552095700633785,en,fringe
talk,0.0451582382829036,en,fringe
maybe,0.04469977901099595,en,fringe
take,0.04469977901099595,en,fringe
stop,0.04286594192336535,en,fringe
believe,0.039885956655965615,en,fringe
ask,0.039656727020011794,en,fringe
sorry,0.039427497384057965,en,fringe
course,0.03905097326939643,en,fringe
understand,0.038969038112150314,en,fringe
hear,0.038969038112150314,en,fringe
son,0.03858883157390061,en,fringe
lab,0.03826601836765596,en,fringe
die,0.03805211956833501,en,fringe
leave,0.03713520102451971,en,fringe
d,0.036905971388565884,en,fringe
father,0.0351719722135677,en,fringe
call,0.03415521575711998,en,fringe
cortexiphan,0.03413683845056497,en,fringe
okay,0.03372593575495202,en,fringe
farnsworth,0.03360981997846158,en,fringe
case,0.03300906757735086,en,fringe
car,0.03287175374388719,en,fringe
able,0.03277983794139703,en,fringe
long,0.0325506083054432,en,fringe
fringe,0.03215587962128157,en,fringe
wait,0.03209214903353555,en,fringe
day,0.030946000853766427,en,fringe
hour,0.030487541581858776,en,fringe
question,0.030487541581858776,en,fringe
head,0.03025831194590495,en,fringe
night,0.0297998526739973,en,fringe
brain,0.02911587103772161,en,fringe
body,0.02911492681623639,en,fringe
mind,0.02865370449422817,en,fringe
dynamic,0.027967321505007532,en,fringe
life,0.027966015586366695,en,fringe
start,0.027966015586366695,en,fringe
little,0.027507556314459045,en,fringe
idea,0.027507556314459045,en,fringe
give,0.02727832667850522,en,fringe
rusk,0.027104693531017406,en,fringe
ago,0.02681986740659757,en,fringe
place,0.02681986740659757,en,fringe
victim,0.026158750951943588,en,fringe
feel,0.025902948862782268,en,fringe
wrong,0.025902948862782268,en,fringe
hold,0.025648864100017772,en,fringe
universe,0.0253325407440004,en,fringe
turn,0.025215259954920792,en,fringe
stay,0.025215259954920792,en,fringe
bad,0.025215259954920792,en,fringe
minute,0.02518672240452196,en,fringe
fine,0.02495565155677405,en,fringe
live,0.02475680068301314,en,fringe
dcouvrir,0.024719779567650493,en,fringe
retrouvez,0.024719779567650493,en,fringe
kind,0.024527571047059316,en,fringe
friend,0.02429834141110549,en,fringe
world,0.02429834141110549,en,fringe
check,0.024069111775151666,en,fringe
meet,0.024069111775151666,en,fringe
massive,0.023955372923281194,en,fringe
possible,0.02383988213919784,en,fringe
sir,0.02371462234380433,en,fringe
home,0.023610652503244015,en,fringe
love,0.02338142286729019,en,fringe
dead,0.02338142286729019,en,fringe
wasn,0.023152193231336365,en,fringe
semaine,0.023132446634462987,en,fringe
drug,0.022972738847576012,en,fringe
make,0.022922963595382536,en,fringe
miss,0.02269373395942871,en,fringe
run,0.02269373395942871,en,fringe
suppose,0.022464504323474885,en,fringe
listen,0.02223527468752106,en,fringe
claire,0.022044929154338932,en,fringe
away,0.022006045051567235,en,fringe
kid,0.021836236415582206,en,fringe
second,0.021547585779659584,en,fringe
win,0.021547585779659584,en,fringe
actually,0.021547585779659584,en,fringe
hospital,0.021234264973798517,en,fringe
memory,0.02116448379954971,en,fringe
sound,0.021089126507751934,en,fringe
far,0.021089126507751934,en,fringe
cause,0.021089126507751934,en,fringe
experiment,0.020805862146841252,en,fringe
charlie,0.02064626889204138,en,fringe
open,0.020630667235844283,en,fringe
woman,0.020630667235844283,en,fringe
excuse,0.020630667235844283,en,fringe
hell,0.020630667235844283,en,fringe
number,0.0205653054495638,en,fringe
send,0.0205653054495638,en,fringe
bring,0.020401437599890458,en,fringe
chaque,0.02030891875884758,en,fringe
old,0.020172207963936633,en,fringe
like,0.020172207963936633,en,fringe
well,0.019713748692028982,en,fringe
phone,0.01964484797392943,en,fringe
record,0.01956586533734892,en,fringe
pos,0.019524008186290957,en,fringe
human,0.01948825400530455,en,fringe
clear,0.019484519056075157,en,fringe
device,0.01944125219888403,en,fringe
lose,0.019255289420121332,en,fringe
speak,0.019026059784167507,en,fringe
information,0.0188670844324436,en,fringe
mother,0.01833837087630603,en,fringe
blood,0.018254596972084723,en,fringe
exactly,0.018109141240352206,en,fringe
save,0.01787991160439838,en,fringe
answer,0.01787991160439838,en,fringe
suspect,0.01766553932713552,en,fringe
boy,0.01742145233249073,en,fringe
building,0.017416869023452717,en,fringe
test,0.01727799882044396,en,fringe
control,0.01723659565433119,en,fringe
hand,0.017192222696536905,en,fringe
job,0.017192222696536905,en,fringe
hope,0.01696299306058308,en,fringe
girl,0.01696299306058308,en,fringe
week,0.01696299306058308,en,fringe
problem,0.01696299306058308,en,fringe
team,0.01693969452965949,en,fringe
shifter,0.016882102061359053,en,fringe
ready,0.016733763424629254,en,fringe
house,0.0162753041527216,en,fringe
child,0.01594388849460564,en,fringe
doctor,0.01585788932835267,en,fringe
guess,0.01581684488081395,en,fringe
care,0.01581684488081395,en,fringe
sleep,0.015587615244860126,en,fringe
