mot,poids_tfidf,langue,serie
c,0.5375676315738936,fr,futurama
bender,0.4552759076185321,fr,futurama
fry,0.2904090428985225,fr,futurama
j,0.22924371726622242,fr,futurama
n,0.16482445563133435,fr,futurama
robot,0.1436541872926593,fr,futurama
non,0.13839034482253543,fr,futurama
faire,0.12550649249555781,fr,futurama
vouloir,0.11617680632774645,fr,futurama
bien,0.11595467094279856,fr,futurama
bon,0.10662498477498718,fr,futurama
taire,0.09885024630181102,fr,futurama
zoidberg,0.09453019153502902,fr,futurama
tre,0.08529998781998974,fr,futurama
oui,0.08219009243071929,fr,futurama
savoir,0.07597030165217836,fr,futurama
voir,0.07241613549301212,fr,futurama
leela,0.07175183212899792,fr,futurama
aller,0.06841769856395011,fr,futurama
devoir,0.06730702163921065,fr,futurama
nibbler,0.06377940633688706,fr,futurama
sdi,0.06110508400929259,fr,futurama
mme,0.058643741626242946,fr,futurama
venir,0.05708879393160771,fr,futurama
ici,0.05664452316171194,fr,futurama
falloir,0.053978898542337256,fr,futurama
jamais,0.053756763157389365,fr,futurama
vie,0.04886978468853579,fr,futurama
croire,0.0486476493035879,fr,futurama
aimer,0.04731483699390056,fr,futurama
grand,0.046870566224004775,fr,futurama
trop,0.04664843083905689,fr,futurama
brannigan,0.04333759999898236,fr,futurama
t,0.04309426467989065,fr,futurama
regarder,0.04309426467989065,fr,futurama
chose,0.04309426467989065,fr,futurama
humain,0.04278423293577745,fr,futurama
petit,0.04264999390999487,fr,futurama
heure,0.04264999390999487,fr,futurama
media,0.04234342527106697,fr,futurama
ami,0.04176145237020331,fr,futurama
avoir,0.04131718160030753,fr,futurama
prendre,0.04087291083041175,fr,futurama
temps,0.04042864006051597,fr,futurama
french,0.04037533164903338,fr,futurama
pouvoir,0.03998436929062019,fr,futurama
vaisseau,0.03986324148548266,fr,futurama
calculon,0.03880744342987335,fr,futurama
flexo,0.03872321099025285,fr,futurama
herme,0.037758593607444345,fr,futurama
slurm,0.037584293019951295,fr,futurama
voil,0.0375408800561934,fr,futurama
an,0.03731874467124551,fr,futurama
plante,0.037114865513926815,fr,futurama
