mot,poids_tfidf,langue,serie
c,0.581465989616209,fr,greek
j,0.2867030325038337,fr,greek
cappie,0.23731964676760517,fr,greek
vouloir,0.17156125238181213,fr,greek
zbz,0.1623455295052025,fr,greek
savoir,0.1564776791858273,fr,greek
rusty,0.14257190949245574,fr,greek
faire,0.13966697928801217,fr,greek
bien,0.13840041970666994,fr,greek
taire,0.13759442724581578,fr,greek
tre,0.13379474850178907,fr,greek
non,0.12147457802873277,fr,greek
t,0.12066858556787861,fr,greek
casey,0.12060236857897144,fr,greek
n,0.12055344378775659,fr,greek
devoir,0.10765756441409018,fr,greek
evan,0.10731339853023024,fr,greek
bon,0.09948249802542664,fr,greek
frannie,0.09323532254688142,fr,greek
omega,0.0840014026832858,fr,greek
voir,0.08198094744687937,fr,greek
vraiment,0.0816355221065133,fr,greek
aller,0.08025382074504904,fr,greek
bizut,0.07720169143504861,fr,greek
croire,0.07392102283833785,fr,greek
spitter,0.07084168560227018,fr,greek
chose,0.06943049341357901,fr,greek
fille,0.06551567288943028,fr,greek
kappa,0.06423869113277954,fr,greek
fraternit,0.06419705906592743,fr,greek
mme,0.06275227016650176,fr,greek
maison,0.06044943456406133,fr,greek
cartwright,0.06022377293698083,fr,greek
venir,0.05791631540137685,fr,greek
rebecca,0.0570413121923337,fr,greek
ici,0.05308036063625195,fr,greek
mec,0.05118909897621961,fr,greek
prendre,0.051007808594055556,fr,greek
oui,0.05054724147356747,fr,greek
tau,0.049709641381496424,fr,greek
dobler,0.04958917992158913,fr,greek
trop,0.048014122310883,fr,greek
besoin,0.04743841341027289,fr,greek
sororit,0.047139671115746615,fr,greek
soir,0.045965346499602135,fr,greek
jamais,0.04582642848856459,fr,greek
beaver,0.04479560586867115,fr,greek
aimer,0.04467501068734437,fr,greek
fte,0.04399625134490069,fr,greek
temps,0.04386901822649022,fr,greek
penser,0.043753876446368196,fr,greek
kt,0.04368570612139995,fr,greek
heure,0.04352359288612415,fr,greek
passer,0.04271760042527,fr,greek
zeta,0.0425584422020483,fr,greek
chamber,0.04246093028927674,fr,greek
petit,0.04145104084392777,fr,greek
ok,0.04117934990608365,fr,greek
dal,0.03985467241610515,fr,greek
ami,0.03880277990112127,fr,greek
greek,0.03833470117607435,fr,greek
ouai,0.03762978860432708,fr,greek
apr,0.03753622031977903,fr,greek
pouvoir,0.03730593675953499,fr,greek
chi,0.037200855777608934,fr,greek
m,0.03719079497941297,fr,greek
