mot,poids_tfidf,langue,serie
s,0.5566407847651146,en,intreatment
know,0.32366080718172074,en,intreatment
think,0.2646020104689642,en,intreatment
t,0.24448946749395067,en,intreatment
want,0.2028692918577955,en,intreatment
tell,0.17252609118450918,en,intreatment
m,0.169968426759941,en,intreatment
say,0.16671321749230875,en,intreatment
go,0.1620629185385484,en,intreatment
come,0.13823013640052656,en,intreatment
feel,0.13171971786526207,en,intreatment
talk,0.12207034753620934,en,intreatment
fuck,0.10629882002533714,en,intreatment
time,0.10370166666885593,en,intreatment
mean,0.09637744581668337,en,intreatment
get,0.09509861360439927,en,intreatment
right,0.08998328475526288,en,intreatment
maybe,0.08556550074919055,en,intreatment
thing,0.08440292601075045,en,intreatment
look,0.08358912369384239,en,intreatment
try,0.07742747758010991,en,intreatment
happen,0.07161460388790947,en,intreatment
good,0.07114957399253344,en,intreatment
father,0.0666268061635991,en,intreatment
week,0.06533670030033299,en,intreatment
need,0.06312780829729682,en,intreatment
patient,0.06217200098743653,en,intreatment
leave,0.06161646113732471,en,intreatment
way,0.06033762892504061,en,intreatment
laura,0.05925094039398804,en,intreatment
let,0.05905879671275652,en,intreatment
love,0.051734575860583956,en,intreatment
ask,0.051502060912895935,en,intreatment
life,0.048479366592951705,en,intreatment
sophie,0.04787763693323718,en,intreatment
kate,0.04757450274029616,en,intreatment
d,0.04603795964222752,en,intreatment
therapy,0.04579348531393408,en,intreatment
year,0.04522415732531946,en,intreatment
mother,0.04464286995609941,en,intreatment
take,0.0445266124822554,en,intreatment
little,0.04382906763919135,en,intreatment
dad,0.04370907496548168,en,intreatment
fucking,0.04288927412495657,en,intreatment
therapist,0.04282980880350461,en,intreatment
sure,0.04196894805768721,en,intreatment
people,0.04092263079309113,en,intreatment
session,0.040282105904145445,en,intreatment
home,0.04022508595002707,en,intreatment
work,0.03952754110696302,en,intreatment
remember,0.03929502615927501,en,intreatment
see,0.039062511211586985,en,intreatment
day,0.038364966368522935,en,intreatment
man,0.038016193946990906,en,intreatment
