mot,poids_tfidf,langue,serie
s,0.48578607980277966,en,invasion
know,0.3157072144735985,en,invasion
go,0.2539092065340856,en,invasion
mariel,0.24705715380911167,en,invasion
t,0.20070918230789625,en,invasion
larkin,0.18775096794565035,en,invasion
underlay,0.18074757103217987,en,invasion
right,0.17894553603354604,en,invasion
want,0.16766068240980891,en,invasion
think,0.16470512550835395,en,invasion
m,0.1609435076337749,en,invasion
szura,0.14487400731586936,en,invasion
come,0.1405232963146315,en,invasion
russ,0.12339528592907661,en,invasion
hurricane,0.12274484514787615,en,invasion
get,0.11983439800444676,en,invasion
tell,0.11983439800444676,en,invasion
russell,0.10434153448067571,en,invasion
talk,0.08812933306156623,en,invasion
look,0.08786064607052486,en,invasion
lewis,0.08745381389213526,en,invasion
find,0.07818791439303589,en,invasion
happen,0.07576973147366364,en,invasion
people,0.07523235749158091,en,invasion
good,0.07227680059012595,en,invasion
guy,0.06716959250938404,en,invasion
let,0.06421619085888515,en,invasion
need,0.06367881687680242,en,invasion
water,0.05897248116612288,en,invasion
say,0.05857376404701657,en,invasion
dad,0.057880398181565054,en,invasion
thing,0.056961642100768414,en,invasion
sure,0.05588689413660297,en,invasion
see,0.055080833163478886,en,invasion
tom,0.05439585157227465,en,invasion
kid,0.05311632545182175,en,invasion
rise,0.052231816410748984,en,invasion
way,0.051856589270982564,en,invasion
sorry,0.0502444673247344,en,invasion
maybe,0.04997578033369304,en,invasion
thank,0.04997578033369304,en,invasion
okay,0.049843673828201505,en,invasion
leave,0.04916971936056896,en,invasion
mean,0.04836365838744488,en,invasion
time,0.047288910423279436,en,invasion
night,0.04648284945015536,en,invasion
sheriff,0.045789780897487524,en,invasion
sir,0.043208617077388684,en,invasion
home,0.04298991856661767,en,invasion
man,0.04272123157557631,en,invasion
honey,0.04003033530330276,en,invasion
help,0.038959613700997264,en,invasion
lot,0.03788486573683182,en,invasion
try,0.03761617874579046,en,invasion
work,0.0373474917547491,en,invasion
take,0.03681011777266638,en,invasion
feel,0.03654143078162502,en,invasion
stay,0.03654143078162502,en,invasion
d,0.03654143078162502,en,invasion
little,0.03627274379058366,en,invasion
mom,0.035516226899498966,en,invasion
baby,0.035492696998129514,en,invasion
jess,0.03473951715034926,en,invasion
kill,0.03412324786225278,en,invasion
hybrid,0.03394738793165793,en,invasion
wait,0.03358587388017006,en,invasion
stop,0.033048499898087336,en,invasion
wife,0.03277981290704597,en,invasion
hear,0.032511125916004614,en,invasion
house,0.03197375193392189,en,invasion
hospital,0.031321396950739246,en,invasion
morning,0.03116769096079781,en,invasion
family,0.03036162998767373,en,invasion
call,0.029824256005591007,en,invasion
ask,0.027137386095177404,en,invasion
place,0.027137386095177404,en,invasion
live,0.026868699104136043,en,invasion
deputy,0.026714354990652545,en,invasion
ronanasplit,0.026686994265907173,en,invasion
derek,0.026535840362735083,en,invasion
lose,0.025525264148929243,en,invasion
light,0.025117908644830118,en,invasion
long,0.02498789016684652,en,invasion
glade,0.024390660514854688,en,invasion
day,0.02418182919372244,en,invasion
child,0.024105216666674107,en,invasion
town,0.023943628571546596,en,invasion
love,0.02391314220268108,en,invasion
daddy,0.023768410838599256,en,invasion
anymore,0.023752804914132827,en,invasion
minute,0.023563526404501656,en,invasion
different,0.023375768220598357,en,invasion
care,0.022569707247474275,en,invasion
story,0.022209300749070526,en,invasion
wrong,0.022032333265391557,en,invasion
believe,0.022032333265391557,en,invasion
pretty,0.0219384556179843,en,invasion
great,0.021763646274350196,en,invasion
win,0.020957585301226114,en,invasion
son,0.020584229962553168,en,invasion
mother,0.020420211319143393,en,invasion
miss,0.020420211319143393,en,invasion
military,0.020211932449735164,en,invasion
understand,0.020151524328102032,en,invasion
close,0.020151524328102032,en,invasion
car,0.020090630870378177,en,invasion
storm,0.01986968075122588,en,invasion
gator,0.019734669757518333,en,invasion
homestead,0.019708969280338624,en,invasion
kind,0.01961415034601931,en,invasion
kira,0.019522253168352544,en,invasion
vargas,0.019355885120045987,en,invasion
shoot,0.01934546335497795,en,invasion
change,0.01934546335497795,en,invasion
today,0.01934546335497795,en,invasion
away,0.01907677636393659,en,invasion
fine,0.018959159176035814,en,invasion
life,0.01880808937289523,en,invasion
listen,0.01880808937289523,en,invasion
like,0.01853940238185387,en,invasion
big,0.018417468913863363,en,invasion
grove,0.01839482112257957,en,invasion
wanna,0.01829238999134367,en,invasion
problem,0.01800202839977115,en,invasion
invasion,0.01788608078327507,en,invasion
alien,0.017870855163277393,en,invasion
girl,0.01746465441768843,en,invasion
tonight,0.01720030700678584,en,invasion
die,0.017195967426647068,en,invasion
