mot,poids_tfidf,langue,serie
s,0.605679031442836,en,jekyll
t,0.30764649216144047,en,jekyll
know,0.27399765708128293,en,jekyll
jackman,0.22525925401265798,en,jekyll
m,0.18867382527088342,en,jekyll
think,0.16223545485075963,en,jekyll
get,0.15742847841073712,en,jekyll
come,0.14901626964069772,en,jekyll
want,0.1394023167606527,en,jekyll
go,0.12498138744058519,en,jekyll
daddy,0.11155766485082419,en,jekyll
tell,0.10455173757048954,en,jekyll
claire,0.1004967702459562,en,jekyll
good,0.0937360405804389,en,jekyll
tom,0.08896566393571147,en,jekyll
look,0.08892906414041639,en,jekyll
let,0.08772732003041077,en,jekyll
right,0.08171859948038263,en,jekyll
time,0.07811336715036575,en,jekyll
sorry,0.0757098789303545,en,jekyll
need,0.07330639071034324,en,jekyll
man,0.06970115838032635,en,jekyll
child,0.06299262970173514,en,jekyll
kill,0.062490693720292596,en,jekyll
husband,0.0569356460765683,en,jekyll
happen,0.05407848495025321,en,jekyll
katherine,0.05250863747140501,en,jekyll
say,0.05167499673024196,en,jekyll
work,0.05047325262023633,en,jekyll
family,0.05047325262023633,en,jekyll
mean,0.049271508510230703,en,jekyll
win,0.049271508510230703,en,jekyll
stop,0.048069764400225076,en,jekyll
die,0.048069764400225076,en,jekyll
fuck,0.04777401349749686,en,jekyll
thing,0.04686802029021945,en,jekyll
boy,0.04686802029021945,en,jekyll
ok,0.04632791881366947,en,jekyll
lion,0.04499271053434575,en,jekyll
change,0.044464532070208194,en,jekyll
way,0.04326278796020257,en,jekyll
appleyard,0.043198093144241015,en,jekyll
feel,0.04206104385019694,en,jekyll
find,0.04206104385019694,en,jekyll
eddie,0.041760739723159156,en,jekyll
leave,0.04085929974019131,en,jekyll
talk,0.04085929974019131,en,jekyll
reimer,0.03978723600586855,en,jekyll
phone,0.03970651725044376,en,jekyll
d,0.039657555630185685,en,jekyll
billy,0.03846689343480884,en,jekyll
love,0.03845581152018006,en,jekyll
year,0.03845581152018006,en,jekyll
hear,0.03845581152018006,en,jekyll
away,0.03725406741017443,en,jekyll
take,0.03725406741017443,en,jekyll
friend,0.03725406741017443,en,jekyll
try,0.03725406741017443,en,jekyll
syme,0.03702693698077802,en,jekyll
descendant,0.036520669965693794,en,jekyll
course,0.03634190175100104,en,jekyll
thank,0.036052323300168804,en,jekyll
turn,0.034850579190163176,en,jekyll
people,0.034850579190163176,en,jekyll
wrong,0.034850579190163176,en,jekyll
sake,0.03431698803689142,en,jekyll
long,0.033648835080157556,en,jekyll
run,0.033648835080157556,en,jekyll
minute,0.03270771157590094,en,jekyll
