mot,poids_tfidf,langue,serie
s,0.490310358152016,en,jericho
go,0.31793923318434214,en,jericho
know,0.2850131134686672,en,jericho
t,0.22077829746194688,en,jericho
come,0.21246011984956584,en,jericho
right,0.20564383541719805,en,jericho
get,0.18970066166013438,en,jericho
think,0.1633597658875944,en,jericho
need,0.15677454194445942,en,jericho
want,0.14094689843201214,en,jericho
m,0.14002265647508091,en,jericho
bern,0.130349646620774,en,jericho
let,0.11760978901949866,en,jericho
look,0.11737872853026585,en,jericho
tell,0.10836736945018638,en,jericho
stanley,0.09947417028631708,en,jericho
town,0.09786452146898195,en,jericho
people,0.09161548398080789,en,jericho
jake,0.08988415202588454,en,jericho
thing,0.08664768346230255,en,jericho
good,0.0850302600376729,en,jericho
help,0.0784450360945379,en,jericho
talk,0.07393935655449817,en,jericho
time,0.07070450970523888,en,jericho
constantino,0.07000551171667736,en,jericho
guy,0.0695255474163014,en,jericho
try,0.06700754187751397,en,jericho
find,0.0648124672298023,en,jericho
man,0.06354163453902187,en,jericho
leave,0.06284845307132345,en,jericho
say,0.06261739258209063,en,jericho
ravenwood,0.06110650598998109,en,jericho
way,0.05892042475436573,en,jericho
stay,0.05487686619279161,en,jericho
gray,0.05480548810272508,en,jericho
hear,0.052681791545079945,en,jericho
thank,0.05245073105584714,en,jericho
work,0.05164201934353232,en,jericho
sorry,0.05002459591890267,en,jericho
happen,0.04863823298350583,en,jericho
day,0.04806058176042381,en,jericho
mean,0.0475984607819582,en,jericho
maybe,0.04528785588963013,en,jericho
home,0.04517232564501373,en,jericho
wait,0.04505679540039732,en,jericho
dad,0.0437878411689903,en,jericho
dale,0.04353239038314236,en,jericho
hell,0.04332384173115127,en,jericho
new,0.04309278124191847,en,jericho
stop,0.04263066026345285,en,jericho
see,0.0408977065942068,en,jericho
take,0.0407821763495904,en,jericho
sure,0.040666646104973996,en,jericho
gracie,0.04024526706565249,en,jericho
start,0.040204525126508385,en,jericho
food,0.03951134365880996,en,jericho
long,0.039049222680344345,en,jericho
listen,0.03847157145726233,en,jericho
okay,0.03805996018319793,en,jericho
kid,0.037512760950020894,en,jericho
darcy,0.03712993538929856,en,jericho
lot,0.03662308754339988,en,jericho
little,0.03604543632031786,en,jericho
bad,0.03581437583108505,en,jericho
hawkin,0.03529451747040543,en,jericho
emily,0.03459062933966642,en,jericho
away,0.03419695240645541,en,jericho
shep,0.03397955012886302,en,jericho
ask,0.0339658919172226,en,jericho
run,0.03373483142798979,en,jericho
kill,0.033503770938756984,en,jericho
d,0.03338824069414058,en,jericho
mom,0.03234628688021659,en,jericho
well,0.031770817269510934,en,jericho
sheriff,0.031047606629003046,en,jericho
bomb,0.029838440153031314,en,jericho
hold,0.029463925454479487,en,jericho
farm,0.028377316215970436,en,jericho
refugee,0.028286384478697014,en,jericho
mortar,0.028145148270379963,en,jericho
year,0.028073849441786026,en,jericho
mayor,0.02785554856559767,en,jericho
hour,0.027611728463320412,en,jericho
minute,0.027251219590309093,en,jericho
gas,0.02714320047300238,en,jericho
family,0.026803016751005587,en,jericho
house,0.02645642601715638,en,jericho
heather,0.02526892287285615,en,jericho
truck,0.024828220137177663,en,jericho
skylar,0.02463300408581556,en,jericho
die,0.024607942103293923,en,jericho
win,0.024607942103293923,en,jericho
place,0.024376881614061117,en,jericho
lose,0.02426135136944471,en,jericho
safe,0.024183097267592497,en,jericho
fine,0.02410684809911958,en,jericho
turn,0.023914760635595503,en,jericho
bring,0.0237992303909791,en,jericho
kenchy,0.023730681937856733,en,jericho
turbine,0.023183653632521214,en,jericho
son,0.02317518247210047,en,jericho
power,0.023009160507029756,en,jericho
deal,0.0228258078619683,en,jericho
guess,0.022181806966349454,en,jericho
week,0.022066276721733048,en,jericho
baby,0.021952617422523288,en,jericho
crop,0.021835521242020747,en,jericho
salt,0.021705656619027125,en,jericho
goetz,0.021451828691908224,en,jericho
gail,0.02137952316601442,en,jericho
gun,0.021091097767527676,en,jericho
send,0.02084601840455268,en,jericho
hand,0.020564383541719803,en,jericho
head,0.020564383541719803,en,jericho
government,0.020524905595267137,en,jericho
com,0.020485031739725157,en,jericho
tank,0.020297648568877658,en,jericho
remember,0.020102262563254193,en,jericho
denver,0.019910534272772257,en,jericho
give,0.019871202074021384,en,jericho
use,0.019871202074021384,en,jericho
road,0.01983953125351035,en,jericho
life,0.01975567182940498,en,jericho
care,0.01975567182940498,en,jericho
fire,0.01975567182940498,en,jericho
ready,0.01940908109555577,en,jericho
windmill,0.019377382140614748,en,jericho
generator,0.019337337028207183,en,jericho
love,0.019293550850939367,en,jericho
supply,0.01925874700227312,en,jericho
believe,0.019178020606322965,en,jericho
idea,0.019062490361706562,en,jericho
shoot,0.019062490361706562,en,jericho
fight,0.018946960117090156,en,jericho
attack,0.018900381845060155,en,jericho
dead,0.018831429872473753,en,jericho
plan,0.018516854337004895,en,jericho
today,0.01836930889400814,en,jericho
friend,0.018253778649391737,en,jericho
understand,0.018138248404775334,en,jericho
walk,0.018138248404775334,en,jericho
trust,0.01781810511674056,en,jericho
make,0.017791657670926123,en,jericho
jimmy,0.01772605015985621,en,jericho
meet,0.01767612742630972,en,jericho
wrong,0.01767612742630972,en,jericho
check,0.01767612742630972,en,jericho
radiation,0.017325152023375867,en,jericho
big,0.017235814099853614,en,jericho
couple,0.017235814099853614,en,jericho
problem,0.017214006447844106,en,jericho
brother,0.017098476203227703,en,jericho
stuff,0.017002897693098835,en,jericho
night,0.016751885469378492,en,jericho
kind,0.016751885469378492,en,jericho
www,0.01667458869474823,en,jericho
water,0.016669901999990945,en,jericho
mile,0.0166281379441156,en,jericho
bonnie,0.016444356292806273,en,jericho
close,0.01640529473552928,en,jericho
