mot,poids_tfidf,langue,serie
kitt,0.7893652242364068,fr,knightrider
c,0.2944199224554453,fr,knightrider
michael,0.16143973235218873,fr,knightrider
n,0.15433877290945255,fr,knightrider
j,0.12118979858940848,fr,knightrider
mike,0.11841210429041447,fr,knightrider
bien,0.11513030865993805,fr,knightrider
faire,0.09445675478292131,fr,knightrider
savoir,0.09196167069431585,fr,knightrider
non,0.08340709667623995,fr,knightrider
chose,0.08233777492398046,fr,knightrider
vouloir,0.08162489375580748,fr,knightrider
sarah,0.0798813077722355,fr,knightrider
tre,0.07556540382633706,fr,knightrider
devoir,0.07449608207407757,fr,knightrider
taire,0.0716445574013856,fr,knightrider
aller,0.0716445574013856,fr,knightrider
billy,0.06052664009816666,fr,knightrider
voir,0.05738693403792578,fr,knightrider
bon,0.05382252819706082,fr,knightrider
heure,0.04669371651533091,fr,knightrider
voiture,0.0463907493976345,fr,knightrider
oui,0.04633727593124442,fr,knightrider
ouai,0.04528110201782769,fr,knightrider
croire,0.04419863242672544,fr,knightrider
carrie,0.04378186913061239,fr,knightrider
ok,0.04337253772440239,fr,knightrider
knight,0.04265334275701322,fr,knightrider
ici,0.041703548338119976,fr,knightrider
venir,0.04134710775403348,fr,knightrider
mme,0.04063422658586049,fr,knightrider
passer,0.040277786001773994,fr,knightrider
prendre,0.040277786001773994,fr,knightrider
pouvoir,0.0399213454176875,fr,knightrider
temps,0.039208464249514505,fr,knightrider
mik,0.03915857979899159,fr,knightrider
vraiment,0.03813914249725502,fr,knightrider
cooperton,0.03655037549790855,fr,knightrider
besoin,0.036000498992736045,fr,knightrider
trouver,0.03528761782456306,fr,knightrider
graiman,0.034722856723013125,fr,knightrider
zo,0.03341884042177607,fr,knightrider
avoir,0.033148974320044086,fr,knightrider
galt,0.03302014256712955,fr,knightrider
arme,0.03243609315187109,fr,knightrider
rivai,0.03197689654375852,fr,knightrider
homme,0.030653890231438614,fr,knightrider
maddie,0.030092394848075202,fr,knightrider
burber,0.02924030039832684,fr,knightrider
sortir,0.028158806142833146,fr,knightrider
torre,0.027682520881471852,fr,knightrider
t,0.027445924974660155,fr,knightrider
porte,0.027445924974660155,fr,knightrider
emp,0.027282646611721334,fr,knightrider
s,0.02637660322240067,fr,knightrider
jamais,0.02637660322240067,fr,knightrider
partir,0.026020162638314172,fr,knightrider
fichier,0.025753604917672056,fr,knightrider
karr,0.025585262848535986,fr,knightrider
arriver,0.02530728147014118,fr,knightrider
penser,0.024950840886054686,fr,knightrider
mettre,0.024950840886054686,fr,knightrider
gars,0.024632081567763683,fr,knightrider
systme,0.024531083616482995,fr,knightrider
dsol,0.024237959717881695,fr,knightrider
ssc,0.023561923769085228,fr,knightrider
raison,0.023525078549708704,fr,knightrider
sr,0.022812197381535712,fr,knightrider
minute,0.022637585781170734,fr,knightrider
virus,0.022497576184302988,fr,knightrider
danny,0.02245859723765694,fr,knightrider
pre,0.022455756797449218,fr,knightrider
mec,0.022266659489157337,fr,knightrider
regarder,0.02209931621336272,fr,knightrider
olarer,0.02193022529874513,fr,knightrider
apr,0.021742875629276227,fr,knightrider
appeler,0.021742875629276227,fr,knightrider
trs,0.021386435045189733,fr,knightrider
transformation,0.021085604669102684,fr,knightrider
donne,0.020317113292930244,fr,knightrider
olara,0.0201027065238497,fr,knightrider
banque,0.020040937363314797,fr,knightrider
driscoll,0.020000808046530576,fr,knightrider
zoe,0.019967860176762574,fr,knightrider
dr,0.019867135959832475,fr,knightrider
dire,0.019604232124757252,fr,knightrider
steven,0.01943173594760176,fr,knightrider
bombe,0.019315093511876262,fr,knightrider
avion,0.01916490907537734,fr,knightrider
agent,0.018934149755344874,fr,knightrider
