mot,poids_tfidf,langue,serie
rahl,0.3911809626225688,en,legendoftheseeker
seeker,0.3825387803871314,en,legendoftheseeker
s,0.3098094326219146,en,legendoftheseeker
confessor,0.2555242867572235,en,legendoftheseeker
t,0.20266920294176358,en,legendoftheseeker
know,0.1782151932118112,en,legendoftheseeker
haran,0.15448486052761956,en,legendoftheseeker
mord,0.1481609188685942,en,legendoftheseeker
kahlan,0.13189935460252897,en,legendoftheseeker
zedd,0.1300925141285217,en,legendoftheseeker
darken,0.1276660579306259,en,legendoftheseeker
kill,0.12402932992529801,en,legendoftheseeker
go,0.11945519860890405,en,legendoftheseeker
find,0.10819579844547274,en,legendoftheseeker
tell,0.10590873278727575,en,legendoftheseeker
m,0.09922346394023841,en,legendoftheseeker
cara,0.09820465994663531,en,legendoftheseeker
wizard,0.0967541607966254,en,legendoftheseeker
come,0.09201041071054022,en,legendoftheseeker
want,0.09077891381766492,en,legendoftheseeker
richard,0.08792448049006048,en,legendoftheseeker
keeper,0.087062435038807,en,legendoftheseeker
think,0.0867325668839318,en,legendoftheseeker
sith,0.08596237665495095,en,legendoftheseeker
need,0.08462142935328844,en,legendoftheseeker
man,0.08391771684307398,en,legendoftheseeker
orden,0.0822112415673297,en,legendoftheseeker
way,0.07863987301646555,en,legendoftheseeker
agiel,0.07679072014530795,en,legendoftheseeker
midland,0.0748878767771247,en,legendoftheseeker
theme,0.0726043615803514,en,legendoftheseeker
right,0.06984346663878484,en,legendoftheseeker
magic,0.06891269813150819,en,legendoftheseeker
time,0.06738047285303424,en,legendoftheseeker
baneling,0.06233599635324999,en,legendoftheseeker
people,0.06210262902642581,en,legendoftheseeker
let,0.059111850858014375,en,legendoftheseeker
help,0.05840813834779992,en,legendoftheseeker
prophecy,0.056209385279714474,en,legendoftheseeker
underworld,0.05441662030973134,en,legendoftheseeker
life,0.05348215077629872,en,legendoftheseeker
fane,0.05239837374621014,en,legendoftheseeker
mother,0.05137101324565535,en,legendoftheseeker
playing,0.050387066164924346,en,legendoftheseeker
creator,0.05029291124946898,en,legendoftheseeker
leave,0.048028378822136675,en,legendoftheseeker
power,0.04719415523199584,en,legendoftheseeker
try,0.04626909754660054,en,legendoftheseeker
get,0.04626909754660054,en,legendoftheseeker
sister,0.045951483344983064,en,legendoftheseeker
margrave,0.04426759161317753,en,legendoftheseeker
look,0.04415796001595716,en,legendoftheseeker
stone,0.04411225809598017,en,legendoftheseeker
sword,0.0435312175194035,en,legendoftheseeker
aydindril,0.04336417137617391,en,legendoftheseeker
father,0.04326130896266285,en,legendoftheseeker
die,0.04257460686797464,en,legendoftheseeker
long,0.042046822485313794,en,legendoftheseeker
win,0.041167181847545725,en,legendoftheseeker
love,0.040815325592438494,en,legendoftheseeker
world,0.04028754120977765,en,legendoftheseeker
take,0.039935684954670425,en,legendoftheseeker
maybe,0.03975975682711681,en,legendoftheseeker
denna,0.03975049042815942,en,legendoftheseeker
good,0.03905604431690236,en,legendoftheseeker
jennsen,0.03884707019115579,en,legendoftheseeker
zeddicus,0.03884707019115579,en,legendoftheseeker
fight,0.03817640367913428,en,legendoftheseeker
say,0.03782454742402706,en,legendoftheseeker
day,0.03764861929647344,en,legendoftheseeker
stop,0.03729676304136621,en,legendoftheseeker
bring,0.03694490678625898,en,legendoftheseeker
happen,0.03641712240359814,en,legendoftheseeker
friend,0.036241194276044525,en,legendoftheseeker
child,0.034404195221217584,en,legendoftheseeker
box,0.03405843481793739,en,legendoftheseeker
palace,0.033840349879335985,en,legendoftheseeker
believe,0.032722631724972244,en,legendoftheseeker
grunt,0.03269299693504815,en,legendoftheseeker
save,0.032546703597418625,en,legendoftheseeker
thing,0.032546703597418625,en,legendoftheseeker
see,0.0321948473423114,en,legendoftheseeker
prelate,0.03204052220775444,en,legendoftheseeker
spell,0.03201980891411597,en,legendoftheseeker
year,0.03201891921475779,en,legendoftheseeker
