mot,poids_tfidf,langue,serie
c,0.5291885610027177,fr,lietome
lightman,0.29731426697294017,fr,lietome
n,0.2618956501514178,fr,lietome
taire,0.24904502943741302,fr,lietome
j,0.2040678569383962,fr,lietome
savoir,0.20303980728127585,fr,lietome
vouloir,0.18273582655314827,fr,lietome
non,0.17759557826754635,fr,lietome
bien,0.14007176578265232,fr,lietome
faire,0.13261840576852954,fr,lietome
voir,0.12002479746880483,fr,lietome
tre,0.11822571056884416,fr,lietome
devoir,0.09894977949783695,fr,lietome
ici,0.09303849396939476,fr,lietome
chose,0.09278148155511466,fr,lietome
aller,0.09123940706943408,fr,lietome
oui,0.08558513395527197,fr,lietome
avoir,0.0835290346410312,fr,lietome
bon,0.07607567462690841,fr,lietome
venir,0.07427658772694774,fr,lietome
mme,0.07247750082698708,fr,lietome
dire,0.07170646358414678,fr,lietome
pouvoir,0.06939335185562592,fr,lietome
vraiment,0.06887932702706573,fr,lietome
foster,0.06843953754015944,fr,lietome
femme,0.06656621529854487,fr,lietome
croire,0.06579517805570458,fr,lietome
fille,0.06553816564142448,fr,lietome
homme,0.06322505391290362,fr,lietome
an,0.05834181804158179,fr,lietome
prendre,0.05808480562730169,fr,lietome
ouai,0.056347678838570586,fr,lietome
penser,0.05602870631306093,fr,lietome
jamais,0.05525766907022064,fr,lietome
cal,0.052071808450036845,fr,lietome
vrit,0.051081540629358387,fr,lietome
mentir,0.05081823371889777,fr,lietome
besoin,0.04754729664181776,fr,lietome
quelqu,0.04574820974185709,fr,lietome
passer,0.04420613525617651,fr,lietome
regarder,0.043692110427616324,fr,lietome
appeler,0.04163601111337555,fr,lietome
accord,0.041378998699095455,fr,lietome
fois,0.04086497387053527,fr,lietome
temps,0.04035094904197507,fr,lietome
peur,0.03957991179913478,fr,lietome
ok,0.03916033873372393,fr,lietome
torre,0.03838568076198076,fr,lietome
apr,0.038037837313454205,fr,lietome
sortir,0.038037837313454205,fr,lietome
aimer,0.03521070075637315,fr,lietome
jour,0.03495368834209306,fr,lietome
jenkin,0.034784404909835254,fr,lietome
arriver,0.03469667592781296,fr,lietome
dr,0.03454913303418298,fr,lietome
parler,0.034439663513532864,fr,lietome
copycat,0.03397877336833601,fr,lietome
aider,0.03366862627069258,fr,lietome
s,0.03341161385641248,fr,lietome
police,0.03317750920496055,fr,lietome
trillo,0.0327652457480383,fr,lietome
clara,0.03270456485032347,fr,lietome
blunt,0.03268903908347735,fr,lietome
trouver,0.03264057661357219,fr,lietome
fbi,0.03244387215556226,fr,lietome
sr,0.032126551785012,fr,lietome
ami,0.031869539370731906,fr,lietome
mettre,0.03161252695645181,fr,lietome
problme,0.03135551454217171,fr,lietome
vie,0.03135551454217171,fr,lietome
affaire,0.03084148971361152,fr,lietome
famille,0.029813440056491135,fr,lietome
pass,0.02955642764221104,fr,lietome
enfant,0.02955642764221104,fr,lietome
mensonge,0.02940377938109249,fr,lietome
attendre,0.029299415227930944,fr,lietome
t,0.029299415227930944,fr,lietome
fait,0.029042402813650846,fr,lietome
question,0.028528377985090655,fr,lietome
l,0.028528377985090655,fr,lietome
essayer,0.028528377985090655,fr,lietome
beaucoup,0.02827136557081056,fr,lietome
petit,0.02827136557081056,fr,lietome
pre,0.02827136557081056,fr,lietome
mari,0.028241191263569734,fr,lietome
vido,0.028081801565439674,fr,lietome
partir,0.028014353156530464,fr,lietome
heure,0.028014353156530464,fr,lietome
argent,0.028014353156530464,fr,lietome
prio,0.027911135266847444,fr,lietome
dsol,0.027500328327970273,fr,lietome
