mot,poids_tfidf,langue,serie
c,0.5807981275881179,fr,madmen
j,0.30578287727948184,fr,madmen
n,0.23407063903204917,fr,madmen
vouloir,0.22531369904803922,fr,madmen
savoir,0.21466336663505417,fr,madmen
bien,0.19691281261341242,fr,madmen
non,0.16188505267737271,fr,madmen
voir,0.1341941884036116,fr,madmen
taire,0.13111742570652704,fr,madmen
bon,0.12922403327755191,fr,madmen
draper,0.12294779394842008,fr,madmen
faire,0.12283383382976087,fr,madmen
ici,0.10082314684292512,fr,madmen
devoir,0.10058647278930323,fr,madmen
aller,0.10011312468205945,fr,madmen
tre,0.09585299171686543,fr,madmen
don,0.08561632536744147,fr,madmen
mme,0.0823625706604177,fr,madmen
peggy,0.07905588971824956,fr,madmen
chose,0.07478900094451722,fr,madmen
oui,0.07455232689089533,fr,madmen
croire,0.07431565283727344,fr,madmen
avoir,0.07336895662278588,fr,madmen
venir,0.0683988014967262,fr,madmen
prendre,0.06674208312137296,fr,madmen
aimer,0.06579538690688541,fr,madmen
cooper,0.06252909412400726,fr,madmen
femme,0.060588557727203826,fr,madmen
vraiment,0.05940518745909438,fr,madmen
dire,0.058221817190984924,fr,madmen
sr,0.05325166206492524,fr,madmen
sterling,0.051310785608887216,fr,madmen
pouvoir,0.04970155126059689,fr,madmen
campbell,0.04959238747499297,fr,madmen
jamais,0.04757148477799988,fr,madmen
fille,0.04662478856351232,fr,madmen
passer,0.04638811450989043,fr,madmen
bureau,0.04435471826607455,fr,madmen
heure,0.04402137397367153,fr,madmen
trs,0.04331135181280586,fr,madmen
falloir,0.0423646555983183,fr,madmen
homme,0.04094461127658696,fr,madmen
regarder,0.04094461127658696,fr,madmen
appeler,0.04070793722296507,fr,madmen
duck,0.04039334988828601,fr,madmen
petit,0.03952456695485562,fr,madmen
pre,0.03952456695485562,fr,madmen
enfant,0.03857787074036806,fr,madmen
dsol,0.03786784857950239,fr,madmen
arriver,0.03692115236501483,fr,madmen
jour,0.03692115236501483,fr,madmen
temps,0.03573778209690538,fr,madmen
veux,0.03550110804328349,fr,madmen
mettre,0.0352644339896616,fr,madmen
besoin,0.03502775993603971,fr,madmen
penser,0.03502775993603971,fr,madmen
bonjour,0.03479108588241782,fr,madmen
partir,0.034317737775174044,fr,madmen
papa,0.03384438966793026,fr,madmen
client,0.0336112393015388,fr,madmen
monde,0.03313436750706459,fr,madmen
an,0.03313436750706459,fr,madmen
apr,0.032897693453442706,fr,madmen
travailler,0.03218767129257703,fr,madmen
t,0.03195099723895514,fr,madmen
air,0.03171432318533325,fr,madmen
mieux,0.031004301024467582,fr,madmen
rosesteller,0.030336491959319947,fr,madmen
fait,0.030294278863601913,fr,madmen
kinsey,0.030102232262055093,fr,madmen
attendre,0.030057604809980022,fr,madmen
joan,0.0296987587160747,fr,madmen
betty,0.029498602367598246,fr,madmen
mari,0.028153673476499365,fr,madmen
tai,0.027915083023308696,fr,madmen
m,0.027690864273761124,fr,madmen
ide,0.027454190220139233,fr,madmen
francine,0.026965843435552705,fr,madmen
grand,0.026744168059273564,fr,madmen
soir,0.02672213075735533,fr,madmen
cosgrove,0.026696506330337037,fr,madmen
entendre,0.026507494005651673,fr,madmen
truc,0.02648354030416466,fr,madmen
boulot,0.026216952174157312,fr,madmen
nuit,0.025797471844786004,fr,madmen
pass,0.025797471844786004,fr,madmen
nixon,0.025764050693986355,fr,madmen
mal,0.025560797791164113,fr,madmen
trop,0.025324123737542226,fr,madmen
l,0.025324123737542226,fr,madmen
vrai,0.025087449683920335,fr,madmen
appel,0.025087449683920335,fr,madmen
freddie,0.024976424507528003,fr,madmen
fois,0.024614101576676553,fr,madmen
dieu,0.024377427523054666,fr,madmen
dsole,0.023620454865876588,fr,madmen
nouveau,0.023194057254945215,fr,madmen
adorer,0.02303469204743587,fr,madmen
mr,0.022957383201323324,fr,madmen
sai,0.022957383201323324,fr,madmen
travail,0.022720709147701433,fr,madmen
beaucoup,0.022720709147701433,fr,madmen
connaître,0.022247361040457655,fr,madmen
tr,0.022010686986835764,fr,madmen
accord,0.022010686986835764,fr,madmen
être,0.022010686986835764,fr,madmen
kennedy,0.021948904772380616,fr,madmen
