mot,poids_tfidf,langue,serie
s,0.476314003020722,en,mastersofscifi
jerry,0.3316362150898225,en,mastersofscifi
sigret,0.22025157837716444,en,mastersofscifi
t,0.20542452262979005,en,mastersofscifi
bedzyk,0.197067201705884,en,mastersofscifi
know,0.18736522393706126,en,mastersofscifi
want,0.16930592524433247,en,mastersofscifi
think,0.16930592524433247,en,mastersofscifi
go,0.16704851290774136,en,mastersofscifi
m,0.11061320449296388,en,mastersofscifi
sir,0.1040512932218464,en,mastersofscifi
right,0.10384096748319058,en,mastersofscifi
come,0.10384096748319058,en,mastersofscifi
joe,0.09718635703379445,en,mastersofscifi
good,0.09706873047341728,en,mastersofscifi
let,0.09481131813682618,en,mastersofscifi
tell,0.09255390580023508,en,mastersofscifi
thing,0.08803908112705289,en,mastersofscifi
work,0.08578166879046178,en,mastersofscifi
get,0.08352425645387068,en,mastersofscifi
say,0.08126684411727958,en,mastersofscifi
cargrew,0.08114531834948163,en,mastersofscifi
riggum,0.08114531834948163,en,mastersofscifi
samswope,0.08114531834948163,en,mastersofscifi
skynner,0.08114531834948163,en,mastersofscifi
time,0.07449460710750629,en,mastersofscifi
look,0.07223719477091518,en,mastersofscifi
people,0.07223719477091518,en,mastersofscifi
little,0.0699797824343241,en,mastersofscifi
candy,0.06897657380986481,en,mastersofscifi
home,0.06772237009773299,en,mastersofscifi
dachshund,0.06770200274161212,en,mastersofscifi
need,0.06546495776114189,en,mastersofscifi
world,0.06546495776114189,en,mastersofscifi
like,0.06095013308795969,en,mastersofscifi
hear,0.05869272075136859,en,mastersofscifi
plasto,0.057960941678201164,en,mastersofscifi
pegasus,0.05737805825478753,en,mastersofscifi
walk,0.05417789607818639,en,mastersofscifi
curran,0.05013734669585437,en,mastersofscifi
way,0.04966307140500419,en,mastersofscifi
earth,0.0460957896405452,en,mastersofscifi
send,0.04551088520140244,en,mastersofscifi
d,0.045148246731821995,en,mastersofscifi
ask,0.045148246731821995,en,mastersofscifi
day,0.045148246731821995,en,mastersofscifi
major,0.0450955758574236,en,mastersofscifi
brownie,0.04371464179359013,en,mastersofscifi
year,0.04289083439523089,en,mastersofscifi
talk,0.04289083439523089,en,mastersofscifi
elephant,0.04145452688622781,en,mastersofscifi
old,0.04063342205863979,en,mastersofscifi
life,0.04063342205863979,en,mastersofscifi
stop,0.038376009722048694,en,mastersofscifi
mean,0.038376009722048694,en,mastersofscifi
man,0.038376009722048694,en,mastersofscifi
hour,0.038376009722048694,en,mastersofscifi
believe,0.038376009722048694,en,mastersofscifi
listen,0.038376009722048694,en,mastersofscifi
maybe,0.038376009722048694,en,mastersofscifi
company,0.03699601536776761,en,mastersofscifi
course,0.03640870816112195,en,mastersofscifi
give,0.03611859738545759,en,mastersofscifi
dog,0.03496245886158822,en,mastersofscifi
havelmann,0.0347765650069207,en,mastersofscifi
lovemate,0.0347765650069207,en,mastersofscifi
bron,0.0347765650069207,en,mastersofscifi
glowboy,0.0347765650069207,en,mastersofscifi
korsakoff,0.0347765650069207,en,mastersofscifi
baby,0.03440734503511813,en,mastersofscifi
kill,0.033861185048866496,en,mastersofscifi
feel,0.033861185048866496,en,mastersofscifi
friend,0.033861185048866496,en,mastersofscifi
boom,0.03368094219467584,en,mastersofscifi
horse,0.03256902700813927,en,mastersofscifi
discard,0.03199987409857678,en,mastersofscifi
blood,0.0318576196409817,en,mastersofscifi
happen,0.031603772712275394,en,mastersofscifi
watch,0.031603772712275394,en,mastersofscifi
captain,0.03130087049300011,en,mastersofscifi
honor,0.03079920897029993,en,mastersofscifi
harmony,0.030600249255513086,en,mastersofscifi
smiler,0.03008240801751262,en,mastersofscifi
minefield,0.02991364704565771,en,mastersofscifi
remember,0.029346360375684295,en,mastersofscifi
leave,0.029346360375684295,en,mastersofscifi
