mot,poids_tfidf,langue,serie
c,0.39261469453130515,fr,merlin
arthur,0.294546510390747,fr,merlin
n,0.2851843017441569,fr,merlin
merlin,0.26627788012102743,fr,merlin
uther,0.25162353755067873,fr,merlin
j,0.20348932338512768,fr,merlin
gaiu,0.19372247381807858,fr,merlin
sire,0.16479782220521202,fr,merlin
camelot,0.16479782220521202,fr,merlin
savoir,0.15620798059858332,fr,merlin
bien,0.15560948258862706,fr,merlin
devoir,0.13974928532478623,fr,merlin
faire,0.13406355423020178,fr,merlin
magie,0.12665700582240155,fr,merlin
vouloir,0.11281687487675461,fr,merlin
tre,0.11132062985186397,fr,merlin
taire,0.10593414776225765,fr,merlin
pouvoir,0.08857770547352617,fr,merlin
roi,0.08548909419089946,fr,merlin
druide,0.08231752718359282,fr,merlin
non,0.08199422736400733,fr,merlin
chevalier,0.07877693727833074,fr,merlin
vie,0.07780474129431353,fr,merlin
jamais,0.0775054922893354,fr,merlin
mourir,0.07570999825946662,fr,merlin
avoir,0.07570999825946662,fr,merlin
voir,0.0754107492544885,fr,merlin
chose,0.07511150024951037,fr,merlin
aller,0.0703235161698603,fr,merlin
pendragon,0.06904304384012526,fr,merlin
gwen,0.06829069515231206,fr,merlin
oui,0.06673252811012276,fr,merlin
sorcier,0.06662035100571839,fr,merlin
bon,0.06344078905536334,fr,merlin
pre,0.06284229104540708,fr,merlin
croire,0.060747548010560176,fr,merlin
falloir,0.05865280497571327,fr,merlin
serviteur,0.05664190945576075,fr,merlin
tuer,0.055660314925931986,fr,merlin
ici,0.054762567910997595,fr,merlin
venir,0.05356557189108508,fr,merlin
mort,0.05326632288610695,fr,merlin
trouver,0.052069326866194435,fr,merlin
mme,0.05147082885623818,fr,merlin
homme,0.05087233084628192,fr,merlin
sr,0.05087233084628192,fr,merlin
morgaus,0.050631565482758524,fr,merlin
bayard,0.049453419153571196,fr,merlin
prendre,0.04608434676663186,fr,merlin
valier,0.045214554654693664,fr,merlin
catriner,0.04449440603030295,fr,merlin
grand,0.04279260771187244,fr,merlin
morgana,0.042388644988775315,fr,merlin
trop,0.041894860696938055,fr,merlin
monde,0.040997113682003664,fr,merlin
besoin,0.040997113682003664,fr,merlin
aider,0.03950086865711302,fr,merlin
jour,0.038603121642178634,fr,merlin
dire,0.038603121642178634,fr,merlin
dsol,0.0383038726372005,fr,merlin
temps,0.03740612562226612,fr,merlin
kanen,0.03682295671473347,fr,merlin
vraiment,0.03531138258741921,fr,merlin
arriver,0.03441363557248483,fr,merlin
ignorer,0.03439061792750065,fr,merlin
jeune,0.03439061792750065,fr,merlin
fils,0.03381513756252857,fr,merlin
ealdor,0.03375437698850568,fr,merlin
valiant,0.03375437698850568,fr,merlin
m,0.03261814154261605,fr,merlin
mal,0.03261814154261605,fr,merlin
garon,0.03231889253763793,fr,merlin
être,0.03231889253763793,fr,merlin
fait,0.0320196435326598,fr,merlin
destin,0.03150274022447467,fr,merlin
peuple,0.03148098648806073,fr,merlin
trs,0.03142114552270354,fr,merlin
s,0.029625651492834765,fr,merlin
sauver,0.029326402487856635,fr,merlin
sophier,0.02892311794686158,fr,merlin
revenir,0.028727904477900378,fr,merlin
attendre,0.02842865547292225,fr,merlin
raison,0.02842865547292225,fr,merlin
dame,0.028318157920658817,fr,merlin
penser,0.02812940646794412,fr,merlin
ancestral,0.02789303765021248,fr,merlin
tauren,0.027617217536050103,fr,merlin
servir,0.02745215992458385,fr,merlin
peur,0.027231659453009732,fr,merlin
garde,0.026932410448031605,fr,merlin
troll,0.026580581026481018,fr,merlin
eau,0.02645800062124087,fr,merlin
entendre,0.026333912438075348,fr,merlin
bouclier,0.026223838910826396,fr,merlin
emrys,0.026082927672936213,fr,merlin
nimueh,0.026082927672936213,fr,merlin
fois,0.02573541442811909,fr,merlin
pe,0.025623559384235904,fr,merlin
passer,0.02543616542314096,fr,merlin
griffon,0.025210458921530773,fr,merlin
ami,0.02513691641816283,fr,merlin
potion,0.024570301243827582,fr,merlin
anhora,0.024548637809822315,fr,merlin
morteau,0.024548637809822315,fr,merlin
chance,0.024538418408206572,fr,merlin
partir,0.024538418408206572,fr,merlin
mieux,0.023640671393272188,fr,merlin
combattre,0.023540509178728325,fr,merlin
regarder,0.023341422388294057,fr,merlin
aimer,0.02304217338331593,fr,merlin
prie,0.022993343875988316,fr,merlin
sortir,0.02244367537335967,fr,merlin
apprendre,0.022144426368381542,fr,merlin
nom,0.021845177363403412,fr,merlin
pass,0.021845177363403412,fr,merlin
aide,0.021845177363403412,fr,merlin
servante,0.021842458849871804,fr,merlin
connaître,0.021545928358425285,fr,merlin
afanc,0.021480058083594527,fr,merlin
rester,0.02141871818291707,fr,merlin
dragon,0.021079149959147912,fr,merlin
perdre,0.020947430348469027,fr,merlin
t,0.020947430348469027,fr,merlin
quelqu,0.020648181343490897,fr,merlin
fille,0.020648181343490897,fr,merlin
enchantement,0.020285845563790896,fr,merlin
forge,0.019991541931877244,fr,merlin
edwin,0.019962152495745174,fr,merlin
sigan,0.019781367661428476,fr,merlin
demain,0.019608685660417034,fr,merlin
licorne,0.019470837638910155,fr,merlin
mettre,0.019451185323578382,fr,merlin
antidote,0.019361888697585625,fr,merlin
sorcellerie,0.01935841916180355,fr,merlin
doi,0.019005341486250358,fr,merlin
nuit,0.018852687313622125,fr,merlin
maladie,0.018815826060052884,fr,merlin
maldiction,0.018716224751028215,fr,merlin
prt,0.018703669399167018,fr,merlin
honneur,0.018664240447706947,fr,merlin
combat,0.018580775479009156,fr,merlin
apr,0.018553438308643994,fr,merlin
tournoi,0.018415387935194198,fr,merlin
vite,0.018254189303665864,fr,merlin
vivre,0.018254189303665864,fr,merlin
enfant,0.018254189303665864,fr,merlin
donner,0.018100325225000338,fr,merlin
user,0.01808236953964327,fr,merlin
chercher,0.017954940298687737,fr,merlin
confiance,0.017954940298687737,fr,merlin
pupille,0.01770237873659188,fr,merlin
laisser,0.017655691293709606,fr,merlin
crature,0.017632946172534872,fr,merlin
mythe,0.01756595829928993,fr,merlin
femme,0.01735644228873148,fr,merlin
mère,0.017347139179496002,fr,merlin
amour,0.017307434302553815,fr,merlin
choix,0.017195308963750325,fr,merlin
l,0.01705719328375335,fr,merlin
balinor,0.01687718849425284,fr,merlin
air,0.016757944278775222,fr,merlin
mr,0.016757944278775222,fr,merlin
croyance,0.016613145805469513,fr,merlin
trouv,0.01645869527379709,fr,merlin
coeur,0.016332723693730334,fr,merlin
utiliser,0.016159446268818965,fr,merlin
sorcire,0.015992086774317113,fr,merlin
faute,0.015988620615416966,fr,merlin
changer,0.015988620615416966,fr,merlin
protger,0.015942051754018565,fr,merlin
heure,0.015860197263840834,fr,merlin
fort,0.015860197263840834,fr,merlin
impossible,0.015813977382810637,fr,merlin
prince,0.015767016690008226,fr,merlin
gurir,0.015654901870448143,fr,merlin
tr,0.015560948258862705,fr,merlin
sauv,0.015515245128263364,fr,merlin
armure,0.01541820083509615,fr,merlin
ygraine,0.015342898631138947,fr,merlin
demander,0.015261699253884577,fr,merlin
comprendre,0.015261699253884577,fr,merlin
finir,0.015261699253884577,fr,merlin
seigneur,0.015198607472584521,fr,merlin
ct,0.01508360435416695,fr,merlin
comprend,0.014962450248906448,fr,merlin
tte,0.014962450248906448,fr,merlin
dfi,0.014903343947045974,fr,merlin
forgeron,0.014901314225427129,fr,merlin
repose,0.014864620383207326,fr,merlin
paule,0.014779132699897456,fr,merlin
place,0.014663201243928317,fr,merlin
prend,0.014663201243928317,fr,merlin
idiot,0.014525882361071954,fr,merlin
remde,0.014507083628062986,fr,merlin
oeil,0.014363952238950189,fr,merlin
petit,0.014363952238950189,fr,merlin
loi,0.014332013792056921,fr,merlin
ville,0.014293402634463458,fr,merlin
