mot,poids_tfidf,langue,serie
s,0.464309767659868,en,mynameisearl
go,0.27829836228777227,en,mynameisearl
get,0.24638605008328596,en,mynameisearl
t,0.24006108730401843,en,mynameisearl
randy,0.2336575728193115,en,mynameisearl
know,0.2202237040417702,en,mynameisearl
darnell,0.20540894653932648,en,mynameisearl
think,0.15122411008612419,en,mynameisearl
want,0.1400116760683317,en,mynameisearl
joy,0.1352010232461362,en,mynameisearl
m,0.13023673359128185,en,mynameisearl
good,0.12534926235275692,en,mynameisearl
look,0.12189928265497463,en,mynameisearl
thing,0.12132428603867756,en,mynameisearl
come,0.11729930972459822,en,mynameisearl
time,0.10809936386384542,en,mynameisearl
right,0.10148690277642934,en,mynameisearl
guy,0.0956364894943415,en,mynameisearl
tell,0.09257445522382507,en,mynameisearl
little,0.09142446199123097,en,mynameisearl
let,0.08193701782232964,en,mynameisearl
people,0.07848703812454734,en,mynameisearl
find,0.07618705165935914,en,mynameisearl
need,0.07589955335121061,en,mynameisearl
try,0.07302457026972536,en,mynameisearl
man,0.07129958042083422,en,mynameisearl
billie,0.06974798995925174,en,mynameisearl
ernie,0.06925255595081443,en,mynameisearl
day,0.06871209564749749,en,mynameisearl
list,0.06792624568939472,en,mynameisearl
way,0.05979964809489321,en,mynameisearl
say,0.059512149786744684,en,mynameisearl
camden,0.05879117917330615,en,mynameisearl
work,0.05864965486229911,en,mynameisearl
feel,0.05634966839711091,en,mynameisearl
kid,0.053890282157737064,en,mynameisearl
life,0.05376218362377418,en,mynameisearl
year,0.052612190391180085,en,mynameisearl
take,0.05232469208303156,en,mynameisearl
talk,0.05232469208303156,en,mynameisearl
bad,0.05232469208303156,en,mynameisearl
help,0.052037193774883035,en,mynameisearl
mean,0.051462197158585986,en,mynameisearl
see,0.04772471915265516,en,mynameisearl
happen,0.046862224228209584,en,mynameisearl
brother,0.04599972930376401,en,mynameisearl
crab,0.04561467134787714,en,mynameisearl
love,0.045137234379318436,en,mynameisearl
start,0.04456223776302138,en,mynameisearl
turn,0.04398724114672433,en,mynameisearl
big,0.042891516500492555,en,mynameisearl
wasn,0.04226225129783318,en,mynameisearl
sorry,0.04197475298968466,en,mynameisearl
baby,0.04177537337757327,en,mynameisearl
leave,0.041112258065239084,en,mynameisearl
wait,0.040537261448942034,en,mynameisearl
car,0.040049608598099674,en,mynameisearl
well,0.03938726821634793,en,mynameisearl
