mot,poids_tfidf,langue,serie
s,0.49657934168233986,en,ncis
gibb,0.3029757483598025,en,ncis
mcgee,0.2660853554545955,en,ncis
know,0.24227902720571695,en,ncis
l,0.22308573897481043,en,ncis
t,0.20205780354514413,en,ncis
dinozzo,0.18930935791181636,en,ncis
get,0.18137117169979347,en,ncis
go,0.16399039385394196,en,ncis
think,0.14285296373593234,en,ncis
right,0.11259939077081904,en,ncis
find,0.11244912467993272,en,ncis
want,0.10749034368068401,en,ncis
tell,0.10713972280194925,en,ncis
gibbs,0.10676103071215119,en,ncis
look,0.10218094180270056,en,ncis
m,0.09827402343965612,en,ncis
tony,0.0942250803090413,en,ncis
agent,0.09360517860878126,en,ncis
good,0.0882562840472345,en,ncis
come,0.08800584056242396,en,ncis
time,0.08555149441128065,en,ncis
boss,0.08329582693204178,en,ncis
ducky,0.08141220982591041,en,ncis
need,0.07463215847354109,en,ncis
ncis,0.07238249617467367,en,ncis
probie,0.06854096704808484,en,ncis
work,0.06807053917150492,en,ncis
guy,0.067153053908346,en,ncis
ziva,0.06584673318671873,en,ncis
kill,0.06391317732364996,en,ncis
say,0.06195971814212774,en,ncis
let,0.0568005823550306,en,ncis
man,0.0543462362038873,en,ncis
talk,0.05339455096160725,en,ncis
way,0.05329437356768303,en,ncis
mean,0.05279348659806195,en,ncis
leave,0.05204215614363033,en,ncis
try,0.049487632598562814,en,ncis
thing,0.047634350810964815,en,ncis
dead,0.044428674205389894,en,ncis
year,0.04302619069045087,en,ncis
thank,0.04297610199348876,en,ncis
d,0.04277574720564033,en,ncis
day,0.04202441675120871,en,ncis
take,0.04142335238766341,en,ncis
marine,0.041326780670902265,en,ncis
little,0.04092246541804233,en,ncis
maybe,0.04032140105449703,en,ncis
director,0.03906895926670131,en,ncis
team,0.03737966032959079,en,ncis
see,0.03731607923677054,en,ncis
people,0.036765103570187356,en,ncis
sure,0.036514660085376814,en,ncis
run,0.03536262005524833,en,ncis
call,0.03536262005524833,en,ncis
officer,0.035283197481193414,en,ncis
ask,0.03431075741904406,en,ncis
lieutenant,0.03417655455277091,en,ncis
car,0.034169453861542694,en,ncis
phone,0.03413370922875438,en,ncis
body,0.033425053900244396,en,ncis
help,0.03300845129802925,en,ncis
sorry,0.03230720954055973,en,ncis
murder,0.031644984407338365,en,ncis
long,0.031555879086128114,en,ncis
happen,0.031455701692203894,en,ncis
hear,0.030804548631696488,en,ncis
night,0.030704371237772272,en,ncis
petty,0.030544585247449286,en,ncis
case,0.03050401644992384,en,ncis
check,0.029301887722833247,en,ncis
miss,0.029251799025871137,en,ncis
bad,0.02920171032890903,en,ncis
believe,0.028801000753212166,en,ncis
jethro,0.028428549909825813,en,ncis
ago,0.027999581601818434,en,ncis
palmer,0.027785243121820014,en,ncis
wait,0.027498694632197354,en,ncis
kate,0.027358460813952056,en,ncis
lot,0.02734842854131103,en,ncis
ab,0.027322941750173566,en,ncis
wasn,0.02679745287472784,en,ncis
hour,0.02549514675371303,en,ncis
start,0.025044348481054055,en,ncis
death,0.024791089826314203,en,ncis
home,0.024743816299281407,en,ncis
kind,0.02449337281447087,en,ncis
old,0.024393195420546653,en,ncis
woman,0.024192840632698217,en,ncis
die,0.02359177626915292,en,ncis
sir,0.02349791271559543,en,ncis
question,0.023491598875228704,en,ncis
well,0.023341332784342382,en,ncis
life,0.022940623208645514,en,ncis
hand,0.022890534511683408,en,ncis
guess,0.022890534511683408,en,ncis
month,0.022690179723834976,en,ncis
wrong,0.022640091026872866,en,ncis
place,0.022389647542062328,en,ncis
vance,0.022240431785514252,en,ncis
room,0.022239381451176002,en,ncis
head,0.022189292754213896,en,ncis
special,0.02203902666332757,en,ncis
love,0.02173849448155492,en,ncis
meet,0.021638317087630705,en,ncis
send,0.021610155693813603,en,ncis
shoot,0.021588228390668596,en,ncis
record,0.02132567401134189,en,ncis
friend,0.021287696208895947,en,ncis
stop,0.021087341421047515,en,ncis
like,0.0209871640271233,en,ncis
actually,0.020937075330161193,en,ncis
number,0.0208527904241706,en,ncis
blood,0.0204993532983372,en,ncis
girl,0.02043618836054011,en,ncis
grenouille,0.02037379410204183,en,ncis
ncls,0.020319890319338983,en,ncis
fornell,0.020319890319338983,en,ncis
com,0.02028529286799251,en,ncis
hit,0.01998539008788114,en,ncis
second,0.01993530139091903,en,ncis
cell,0.019803917703536757,en,ncis
corporal,0.019697041054501003,en,ncis
commander,0.0195438373365493,en,ncis
money,0.01938432572433584,en,ncis
killer,0.019300380649894065,en,ncis
kid,0.019290862840750832,en,ncis
sergeant,0.019274561821390507,en,ncis
make,0.019183970936487407,en,ncis
big,0.0189846227590512,en,ncis
feel,0.018933527451676868,en,ncis
drive,0.01888343875471476,en,ncis
week,0.018833350057752652,en,ncis
wife,0.018733172663828436,en,ncis
nice,0.018683083966866326,en,ncis
duck,0.01858556856238387,en,ncis
morning,0.01858290657294211,en,ncis
lose,0.01853281787598,en,ncis
problem,0.018482729179017894,en,ncis
bring,0.018432640482055784,en,ncis
job,0.018382551785093678,en,ncis
minute,0.018328239525360602,en,ncis
probably,0.017981842209396814,en,ncis
crime,0.017887760583488756,en,ncis
win,0.017831576118510488,en,ncis
bolo,0.017751491869311638,en,ncis
stay,0.017731398724586272,en,ncis
turn,0.01753104393673784,en,ncis
okay,0.017408906436726775,en,ncis
give,0.017380777845851514,en,ncis
use,0.017330689148889408,en,ncis
cause,0.017330689148889408,en,ncis
match,0.01698169400883164,en,ncis
idea,0.016779713482306217,en,ncis
captain,0.016726375878229744,en,ncis
evidence,0.016713673316176524,en,ncis
hold,0.0165105628782174,en,ncis
victim,0.016475292393116785,en,ncis
break,0.016409580842265,en,ncis
security,0.016396402525423997,en,ncis
live,0.016328915209647243,en,ncis
doctor,0.016239370754286175,en,ncis
pull,0.016157125752384,en,ncis
