mot,poids_tfidf,langue,serie
c,0.4186004045634054,fr,ncis
gibb,0.3279559521704972,fr,ncis
mcgee,0.26768394054542327,fr,ncis
n,0.23161707491404962,fr,ncis
dinozzo,0.22258068209601112,fr,ncis
nci,0.207329334169317,fr,ncis
j,0.20418538882776688,fr,ncis
taire,0.20255679150910075,fr,ncis
ziva,0.1656960529085194,fr,ncis
savoir,0.16469190385011306,fr,ncis
bien,0.15710874758507387,fr,ncis
non,0.14891486732553486,fr,ncis
vouloir,0.14311298937778674,fr,ncis
tre,0.1113553416637971,fr,ncis
faire,0.10423022839463274,fr,ncis
chose,0.0941023888191777,fr,ncis
jethro,0.091826545201302,fr,ncis
agent,0.08634568914418728,fr,ncis
oui,0.08519599723272227,fr,ncis
tony,0.0837131358746931,fr,ncis
devoir,0.08280399492093138,fr,ncis
ici,0.07969948128222407,fr,ncis
ouai,0.07951365860872328,fr,ncis
voir,0.07654407397730842,fr,ncis
bon,0.07308330467514287,fr,ncis
patron,0.07196794504091449,fr,ncis
mme,0.06794304438810289,fr,ncis
aller,0.06667070273289497,fr,ncis
avoir,0.06310814609831279,fr,ncis
prendre,0.06249742210381299,fr,ncis
gibbs,0.06183135094342201,fr,ncis
croire,0.06112329311618844,fr,ncis
venir,0.05903665280164745,fr,ncis
ducky,0.058153340550611145,fr,ncis
jamais,0.05679733148848151,fr,ncis
marine,0.055157665717274526,fr,ncis
vraiment,0.05496515950498211,fr,ncis
trouver,0.05216600786352469,fr,ncis
heure,0.05175885853385816,fr,ncis
mort,0.05155528386902489,fr,ncis
trouv,0.05063919787727519,fr,ncis
besoin,0.04829808923169261,fr,ncis
dire,0.045753405921276774,fr,ncis
pouvoir,0.04514268192677697,fr,ncis
fois,0.043208722610860936,fr,ncis
femme,0.04305604161223599,fr,ncis
temps,0.04239442395152787,fr,ncis
homme,0.04213995562048629,fr,ncis
apr,0.04051135830182015,fr,ncis
penser,0.03878097365073738,fr,ncis
quelqu,0.03832293065486253,fr,ncis
palmer,0.0379199687361133,fr,ncis
an,0.03735595099690451,fr,ncis
petit,0.03649075867136312,fr,ncis
mettre,0.036185396674113225,fr,ncis
duck,0.03614022511023977,fr,ncis
passer,0.035829141010655007,fr,ncis
appel,0.035778247344446686,fr,ncis
voiture,0.03557627902616126,fr,ncis
jour,0.03547288534719679,fr,ncis
abby,0.03533012673958037,fr,ncis
mourir,0.0346076930216554,fr,ncis
directeur,0.03453078834312715,fr,ncis
