mot,poids_tfidf,langue,serie
c,0.47795085760283174,fr,onetreehill
brooke,0.2333656754720994,fr,onetreehill
peyton,0.22753364726512051,fr,onetreehill
j,0.22629530368849346,fr,onetreehill
bien,0.21890688433135755,fr,onetreehill
n,0.21656056196794277,fr,onetreehill
savoir,0.2037805933501942,fr,onetreehill
vouloir,0.19179937277105488,fr,onetreehill
nathan,0.17989953039462486,fr,onetreehill
taire,0.1533097016605699,fr,onetreehill
non,0.15211157960265598,fr,onetreehill
haley,0.14225666666635348,fr,onetreehill
tre,0.1408292635572998,fr,onetreehill
luca,0.1379838665736538,fr,onetreehill
faire,0.1372848191359711,fr,onetreehill
okay,0.12688671470110577,fr,onetreehill
ouai,0.12663350233648918,fr,onetreehill
aller,0.10703223717364438,fr,onetreehill
vraiment,0.10693239366881821,fr,onetreehill
chose,0.1062334891350351,fr,onetreehill
bon,0.0957499211282882,fr,onetreehill
voir,0.08716337971323838,fr,onetreehill
croire,0.0848170573498236,fr,onetreehill
devoir,0.08346917003467043,fr,onetreehill
oui,0.06754413101489778,fr,onetreehill
mme,0.0644489823652868,fr,onetreehill
mouth,0.06285359559683336,fr,onetreehill
keith,0.062425027026965514,fr,onetreehill
raven,0.06133881921921637,fr,onetreehill
venir,0.0601057899053488,fr,onetreehill
jamais,0.05995602464810956,fr,onetreehill
t,0.059806259390870316,fr,onetreehill
ici,0.05900751135226103,fr,onetreehill
scott,0.058022193722444666,fr,onetreehill
mec,0.05701814976313728,fr,onetreehill
aimer,0.05561283218817156,fr,onetreehill
jamie,0.053135683034218666,fr,onetreehill
passer,0.05226807477649518,fr,onetreehill
vie,0.05211830951925594,fr,onetreehill
besoin,0.05037104818479812,fr,onetreehill
salut,0.050171361175145805,fr,onetreehill
skill,0.04949994097013566,fr,onetreehill
temps,0.0478749605641441,fr,onetreehill
luke,0.04775099430329929,fr,onetreehill
sai,0.0468765255158825,fr,onetreehill
soir,0.04599794511452059,fr,onetreehill
prendre,0.043981063875923834,fr,onetreehill
pouvoir,0.04368153336144535,fr,onetreehill
fille,0.04243348955111834,fr,onetreehill
ok,0.04146573092966844,fr,onetreehill
jour,0.04118544574079133,fr,onetreehill
veux,0.04013708894011664,fr,onetreehill
petit,0.03993740193046432,fr,onetreehill
fois,0.039887480178051236,fr,onetreehill
accord,0.03873927987255039,fr,onetreehill
