mot,poids_tfidf,langue,serie
c,0.5774232957273855,fr,psych
shawn,0.35855675785472035,fr,psych
j,0.2380971410407856,fr,psych
n,0.18295518980023312,fr,psych
non,0.17250724114412844,fr,psych
taire,0.1691406799104947,fr,psych
savoir,0.16612238363206447,fr,psych
bien,0.15637096488636676,fr,psych
vouloir,0.1540491985183435,fr,psych
faire,0.1222409992764248,fr,psych
lassiter,0.10949786595928873,fr,psych
voir,0.1077299594762794,fr,psych
oui,0.10041639541700613,fr,psych
tre,0.10006813046180263,fr,psych
aller,0.09182585985532005,fr,psych
spencer,0.0906339359145368,fr,psych
devoir,0.08985235844250028,fr,psych
ici,0.08857538694008749,fr,psych
bon,0.0878788570296805,fr,psych
croire,0.08021702801520374,fr,psych
chose,0.07917223314959326,fr,psych
venir,0.07243911068232581,fr,psych
vraiment,0.07023343263270371,fr,psych
mme,0.06733122467267463,fr,psych
mdium,0.06620675743409211,fr,psych
cest,0.06518221858467199,fr,psych
avoir,0.06408075175744206,fr,psych
affaire,0.06291986857343043,fr,psych
guster,0.05892484048868998,fr,psych
prendre,0.05862460079258739,fr,psych
t,0.055954569469360636,fr,psych
ok,0.053555595898865216,fr,psych
pouvoir,0.05200756664372109,fr,psych
mec,0.050522109147087255,fr,psych
jamais,0.04980188859409899,fr,psych
temps,0.04968580027569783,fr,psych
falloir,0.04864100541008736,fr,psych
dire,0.048408828773285034,fr,psych
besoin,0.04748012222607573,fr,psych
trouver,0.04748012222607573,fr,psych
appeler,0.047015768952471074,fr,psych
trs,0.0450422675396513,fr,psych
passer,0.0450422675396513,fr,psych
hara,0.04394705366955633,fr,psych
petit,0.04330094276363385,fr,psych
sr,0.04318485444523269,fr,psych
truc,0.040959908472283015,fr,psych
lassie,0.04082618873059544,fr,psych
fois,0.04016655816680245,fr,psych
regarder,0.03981829321159896,fr,psych
chef,0.039757903549891865,fr,psych
heure,0.03865741002758733,fr,psych
trop,0.037728703480378024,fr,psych
attendre,0.03598737870436058,fr,psych
inspecteur,0.03585704550871593,fr,psych
quelqu,0.035406937112354764,fr,psych
an,0.035406937112354764,fr,psych
aimer,0.03354952401793615,fr,psych
apr,0.03331734738113382,fr,psych
dsol,0.03331734738113382,fr,psych
pre,0.032969082425930336,fr,psych
arriver,0.03285299410752917,fr,psych
mettre,0.032388640833924516,fr,psych
femme,0.031576022605116376,fr,psych
police,0.031199819629155422,fr,psych
homme,0.030415139421104746,fr,psych
jour,0.02948643287389544,fr,psych
voil,0.028905991281889625,fr,psych
sentir,0.028905991281889625,fr,psych
fait,0.028905991281889625,fr,psych
penser,0.028905991281889625,fr,psych
trouv,0.0286738146450873,fr,psych
gars,0.02866816190689532,fr,psych
nom,0.028557726326686135,fr,psych
accord,0.02844163800828497,fr,psych
grand,0.02809337305308148,fr,psych
mort,0.02774510809787799,fr,psych
sortir,0.027396843142674505,fr,psych
raison,0.027396843142674505,fr,psych
papa,0.027164666505872178,fr,psych
question,0.027048578187471015,fr,psych
ouai,0.026997436818677185,fr,psych
voiture,0.026562415769300605,fr,psych
jai,0.026414614722799684,fr,psych
monde,0.025655518366657058,fr,psych
l,0.025307253411453567,fr,psych
ami,0.024958988456250077,fr,psych
meurtre,0.024898455704066926,fr,psych
finir,0.024842900137848914,fr,psych
entendre,0.024842900137848914,fr,psych
problme,0.024494635182645424,fr,psych
attend,0.024458916773449,fr,psych
vlad,0.02428754018087465,fr,psych
connaître,0.024262458545843097,fr,psych
vie,0.024262458545843097,fr,psych
m,0.024146370227441934,fr,psych
tr,0.02391419359063961,fr,psych
santa,0.023843280546243965,fr,psych
aider,0.023798105272238447,fr,psych
vrai,0.023798105272238447,fr,psych
vieux,0.023333751998633794,fr,psych
super,0.023191630747321813,fr,psych
burton,0.02310693451338935,fr,psych
s,0.02252113376982565,fr,psych
barbara,0.022472636836571646,fr,psych
partir,0.022405045451424487,fr,psych
mourir,0.021940692177819836,fr,psych
tuer,0.021824603859418673,fr,psych
veux,0.021824603859418673,fr,psych
fille,0.02170851554101751,fr,psych
minute,0.02141618071550798,fr,psych
coup,0.02141618071550798,fr,psych
beaucoup,0.02136025058581402,fr,psych
porte,0.02136025058581402,fr,psych
mieux,0.02136025058581402,fr,psych
mal,0.02066372067540704,fr,psych
main,0.020431544038604713,fr,psych
dutch,0.020410587905906444,fr,psych
arrte,0.020315455720203553,fr,psych
crime,0.020261751159534113,fr,psych
moment,0.020083279083401226,fr,psych
essayer,0.019967190765000063,fr,psych
travailler,0.01950283749139541,fr,psych
pass,0.01950283749139541,fr,psych
soir,0.01930967113693342,fr,psych
revenir,0.01915457253619192,fr,psych
