mot,poids_tfidf,langue,serie
s,0.4444941152451383,en,pushingdaisies
know,0.256006104350048,en,pushingdaisies
t,0.24897296961515658,en,pushingdaisies
pie,0.2247178345436239,en,pushingdaisies
olive,0.173040529127739,en,pushingdaisies
chuck,0.1616887988475498,en,pushingdaisies
go,0.15613559111458972,en,pushingdaisies
emerson,0.15322763577867116,en,pushingdaisies
ned,0.14593580515878574,en,pushingdaisies
m,0.13222293301595886,en,pushingdaisies
think,0.1308163060689806,en,pushingdaisies
maker,0.12639221650254617,en,pushingdaisies
want,0.12518979828106744,en,pushingdaisies
dead,0.12343151459734458,en,pushingdaisies
get,0.12096991744013258,en,pushingdaisies
tell,0.11850832028292058,en,pushingdaisies
come,0.11745335007268687,en,pushingdaisies
find,0.10655199123360515,en,pushingdaisies
lily,0.10364968174916714,en,pushingdaisies
cod,0.1020334680534147,en,pushingdaisies
snook,0.0898144943689497,en,pushingdaisies
herrmann,0.08848497978520983,en,pushingdaisies
good,0.08756252744939828,en,pushingdaisies
look,0.08474927355544172,en,pushingdaisies
thing,0.08193601966148514,en,pushingdaisies
right,0.08088104945125144,en,pushingdaisies
time,0.08088104945125144,en,pushingdaisies
life,0.07982607924101771,en,pushingdaisies
love,0.07806779555729486,en,pushingdaisies
kill,0.07771613882055028,en,pushingdaisies
vivian,0.0762942063901806,en,pushingdaisies
need,0.07419957145310457,en,pushingdaisies
say,0.06857306366519143,en,pushingdaisies
way,0.06611146650797943,en,pushingdaisies
mean,0.06435318282425657,en,pushingdaisies
day,0.06435318282425657,en,pushingdaisies
dwight,0.06405511953181664,en,pushingdaisies
bee,0.06273243151139604,en,pushingdaisies
ne,0.06234568799852481,en,pushingdaisies
leave,0.062243242403789145,en,pushingdaisies
digby,0.06139774107545173,en,pushingdaisies
die,0.059429988509832575,en,pushingdaisies
feel,0.057320048089365146,en,pushingdaisies
man,0.05591342114238686,en,pushingdaisies
girl,0.05591342114238686,en,pushingdaisies
stingwell,0.05417447741951622,en,pushingdaisies
people,0.053803480721919435,en,pushingdaisies
little,0.05345182398517486,en,pushingdaisies
larue,0.05322340407048871,en,pushingdaisies
let,0.05274851051168572,en,pushingdaisies
murder,0.05160770132362066,en,pushingdaisies
father,0.05074068144348326,en,pushingdaisies
dad,0.05074068144348326,en,pushingdaisies
maybe,0.05028691335447372,en,pushingdaisies
year,0.04888028640749543,en,pushingdaisies
d,0.047825316197261714,en,pushingdaisies
talk,0.047825316197261714,en,pushingdaisies
aunt,0.04766960365993462,en,pushingdaisies
touch,0.047500494740368875,en,pushingdaisies
minute,0.045373606916173245,en,pushingdaisies
mother,0.04536371904004972,en,pushingdaisies
thank,0.04501206230330514,en,pushingdaisies
try,0.044308748829816,en,pushingdaisies
secret,0.042845060872575474,en,pushingdaisies
bring,0.04255046514609315,en,pushingdaisies
help,0.04255046514609315,en,pushingdaisies
wait,0.04219880840934857,en,pushingdaisies
take,0.041847151672604,en,pushingdaisies
sister,0.04106273453437605,en,pushingdaisies
work,0.040792181462370285,en,pushingdaisies
ask,0.04044052472562572,en,pushingdaisies
happen,0.04044052472562572,en,pushingdaisies
young,0.040056387355684196,en,pushingdaisies
great,0.039385554515392,en,pushingdaisies
erin,0.03886487030002618,en,pushingdaisies
gustav,0.03822765454391382,en,pushingdaisies
long,0.03762727083166915,en,pushingdaisies
new,0.037275614094924574,en,pushingdaisies
wasn,0.037275614094924574,en,pushingdaisies
see,0.03692395735818,en,pushingdaisies
big,0.03509364909922774,en,pushingdaisies
home,0.03411070346422343,en,pushingdaisies
sorry,0.03411070346422343,en,pushingdaisies
heart,0.03403020518712993,en,pushingdaisies
kind,0.033055733253989715,en,pushingdaisies
death,0.032966761275032126,en,pushingdaisies
killer,0.032907581353953545,en,pushingdaisies
away,0.03270407651724515,en,pushingdaisies
friend,0.032352419780500574,en,pushingdaisies
lot,0.03164910630701143,en,pushingdaisies
pidge,0.031601396166852674,en,pushingdaisies
alive,0.03119435475486911,en,pushingdaisies
body,0.03119435475486911,en,pushingdaisies
cause,0.030945792833522286,en,pushingdaisies
give,0.030945792833522286,en,pushingdaisies
fact,0.030839873450836504,en,pushingdaisies
bad,0.030594136096777715,en,pushingdaisies
stop,0.030594136096777715,en,pushingdaisies
old,0.030242479360033145,en,pushingdaisies
second,0.029890822623288574,en,pushingdaisies
place,0.029539165886544,en,pushingdaisies
run,0.02918750914979943,en,pushingdaisies
make,0.02918750914979943,en,pushingdaisies
shrimpboy,0.028893054623741986,en,pushingdaisies
moment,0.028712985626640885,en,pushingdaisies
believe,0.028484195676310286,en,pushingdaisies
watch,0.028484195676310286,en,pushingdaisies
boy,0.028484195676310286,en,pushingdaisies
sure,0.028484195676310286,en,pushingdaisies
dixon,0.028437675223805123,en,pushingdaisies
ain,0.02826180516280716,en,pushingdaisies
win,0.028132538939565715,en,pushingdaisies
woolsey,0.02811718869092034,en,pushingdaisies
charle,0.027623181266805717,en,pushingdaisies
live,0.02742922546607657,en,pushingdaisies
lose,0.02742922546607657,en,pushingdaisies
lie,0.02742922546607657,en,pushingdaisies
well,0.02742922546607657,en,pushingdaisies
nikki,0.02741029099725946,en,pushingdaisies
hear,0.027077568729332,en,pushingdaisies
truth,0.027077568729332,en,pushingdaisies
night,0.02672591199258743,en,pushingdaisies
hand,0.02672591199258743,en,pushingdaisies
wish,0.02658609780244526,en,pushingdaisies
miss,0.026022598519098286,en,pushingdaisies
coeur,0.02594019415479866,en,pushingdaisies
hour,0.025319285045609145,en,pushingdaisies
ralston,0.02528142279577424,en,pushingdaisies
charlotte,0.024620651263732193,en,pushingdaisies
like,0.02461597157212,en,pushingdaisies
daughter,0.024493560950329573,en,pushingdaisies
magic,0.024380043017428285,en,pushingdaisies
norwegian,0.024339215679026326,en,pushingdaisies
turn,0.02426431483537543,en,pushingdaisies
room,0.023912658098630857,en,pushingdaisies
mermaid,0.02377986516494263,en,pushingdaisies
eye,0.023561001361886286,en,pushingdaisies
papen,0.023475606881790363,en,pushingdaisies
