mot,poids_tfidf,langue,serie
s,0.5065461997333138,en,raines
know,0.35359264031117643,en,raines
t,0.2438259682552896,en,raines
go,0.18894263222734617,en,raines
raine,0.17910432384042183,en,raines
get,0.16914864218448133,en,raines
boyer,0.1659621305372525,en,raines
think,0.16105110080330937,en,raines
m,0.14755519850135607,en,raines
tell,0.1439562912208352,en,raines
right,0.1304603889188819,en,raines
detective,0.12656108408205413,en,raines
come,0.1223628475377099,en,raines
look,0.11876394025718903,en,raines
billing,0.10374262570306117,en,raines
want,0.09986967703445442,en,raines
guy,0.09704403310602491,en,raines
time,0.09087240883315222,en,raines
good,0.09087240883315222,en,raines
work,0.08997268201302198,en,raines
maybe,0.08997268201302198,en,raines
say,0.08817322837276155,en,raines
kill,0.08817322837276155,en,raines
find,0.08277486745198023,en,raines
talk,0.08187514063185002,en,raines
boudreau,0.07854420030792647,en,raines
need,0.0719781456104176,en,raines
thing,0.06657978468963627,en,raines
d,0.06657978468963627,en,raines
people,0.0629808774091154,en,raines
man,0.062081150588985175,en,raines
sandy,0.057080693960520054,en,raines
thank,0.05668278966820385,en,raines
little,0.054883336027943416,en,raines
help,0.054883336027943416,en,raines
mean,0.05398360920781319,en,raines
way,0.053083882387682975,en,raines
try,0.050384701927292316,en,raines
see,0.050384701927292316,en,raines
money,0.048585248287031875,en,raines
let,0.04768552146690166,en,raines
day,0.045886067826641216,en,raines
jimmy,0.04507656878658616,en,raines
love,0.04318688736625056,en,raines
levay,0.042554392445449354,en,raines
happen,0.042287160546120334,en,raines
year,0.042287160546120334,en,raines
kitman,0.041582223692431655,en,raines
like,0.041387433725990116,en,raines
take,0.04048770690585989,en,raines
job,0.04048770690585989,en,raines
sure,0.039587980085729675,en,raines
connie,0.03931238691179983,en,raines
victim,0.03925738257676156,en,raines
wally,0.03876483112239434,en,raines
ask,0.03868825326559946,en,raines
cop,0.038678303949517746,en,raines
call,0.037788526445469234,en,raines
wasn,0.037788526445469234,en,raines
aurelio,0.0369619766154948,en,raines
head,0.03688879962533902,en,raines
