mot,poids_tfidf,langue,serie
s,0.5505999013976874,en,scrubs
know,0.28821257025731384,en,scrubs
go,0.23844820499264804,en,scrubs
t,0.22930781137260736,en,scrubs
m,0.2044981715467827,en,scrubs
get,0.17330476474823125,en,scrubs
turk,0.1640537404303871,en,scrubs
think,0.1622057153524676,en,scrubs
right,0.13580013378346126,en,scrubs
kelso,0.13484058609283064,en,scrubs
want,0.1326807931036061,en,scrubs
look,0.12571668367881322,en,scrubs
come,0.12179937212736722,en,scrubs
elliot,0.12025569536544005,en,scrubs
tell,0.11352949218542567,en,scrubs
good,0.11265897850732656,en,scrubs
time,0.10257552840267853,en,scrubs
thing,0.09822296001218297,en,scrubs
guy,0.09813439789818793,en,scrubs
carla,0.0980512187296613,en,scrubs
let,0.08248117099989072,en,scrubs
need,0.07747571735082084,en,scrubs
talk,0.07421129105794917,en,scrubs
little,0.07319569176683355,en,scrubs
d,0.07123703599111054,en,scrubs
love,0.06768243847220584,en,scrubs
say,0.0672471816331563,en,scrubs
baby,0.06656272805804903,en,scrubs
thank,0.06623158234204066,en,scrubs
way,0.06369258411425159,en,scrubs
work,0.06340241288821855,en,scrubs
patient,0.06257412683105454,en,scrubs
man,0.062241727984086406,en,scrubs
mean,0.06180647114503685,en,scrubs
doctor,0.058498563616836786,en,scrubs
people,0.05723627433501652,en,scrubs
feel,0.05643830346342567,en,scrubs
day,0.05607558943088437,en,scrubs
try,0.04773316668243456,en,scrubs
great,0.047588081069418045,en,scrubs
help,0.04693519581084371,en,scrubs
sorry,0.044976540035120714,en,scrubs
perry,0.04211978529287703,en,scrubs
sure,0.041059228483674715,en,scrubs
big,0.03970713715254549,en,scrubs
like,0.039463286740493014,en,scrubs
hell,0.03931820112747649,en,scrubs
new,0.03888294428842694,en,scrubs
find,0.03873785867541042,en,scrubs
actually,0.0382300590298526,en,scrubs
year,0.03801243061032783,en,scrubs
life,0.03801243061032783,en,scrubs
ask,0.03757717377127827,en,scrubs
friend,0.037359545351753495,en,scrubs
maybe,0.037141916932228715,en,scrubs
stop,0.0366341172866709,en,scrubs
bad,0.036561574480162645,en,scrubs
kid,0.036186567436566834,en,scrubs
happen,0.03612631764111309,en,scrubs
start,0.03547343238253876,en,scrubs
hospital,0.03495842078236479,en,scrubs
take,0.03387749063935705,en,scrubs
night,0.0327168057352249,en,scrubs
hear,0.03235409170268361,en,scrubs
leave,0.03206392047665057,en,scrubs
girl,0.03155612083109276,en,scrubs
care,0.03119340679855146,en,scrubs
old,0.030903235572518426,en,scrubs
fine,0.030858953735495756,en,scrubs
see,0.030613064346485388,en,scrubs
intern,0.030155211156383716,en,scrubs
dude,0.029774808545216105,en,scrubs
wait,0.029162208216320203,en,scrubs
make,0.028944579796795426,en,scrubs
laverne,0.02876861470870392,en,scrubs
win,0.02858186576425413,en,scrubs
sex,0.028568213546733074,en,scrubs
newbie,0.02803084256746952,en,scrubs
well,0.02771135208615502,en,scrubs
nice,0.02763880927964676,en,scrubs
believe,0.027421180860121984,en,scrubs
head,0.027276095247105465,en,scrubs
second,0.027058466827580688,en,scrubs
woman,0.026260495955989834,en,scrubs
listen,0.026187953149481576,en,scrubs
te,0.026147611237059144,en,scrubs
face,0.02574016994050831,en,scrubs
lot,0.02568015350392376,en,scrubs
todd,0.025543306732351688,en,scrubs
watch,0.025172353858365946,en,scrubs
long,0.02488218263233291,en,scrubs
home,0.024664554212808134,en,scrubs
place,0.024664554212808134,en,scrubs
wanna,0.024472675210711267,en,scrubs
have,0.02415675456725032,en,scrubs
hard,0.0240116689542338,en,scrubs
die,0.023794040534709023,en,scrubs
boy,0.023648954921692503,en,scrubs
nurse,0.023576413961404134,en,scrubs
wrong,0.02321369808264295,en,scrubs
break,0.023180778043014584,en,scrubs
play,0.02292352685660991,en,scrubs
janitor,0.02279628886375436,en,scrubs
give,0.022778441243593392,en,scrubs
end,0.022778441243593392,en,scrubs
surgery,0.022714948089551806,en,scrubs
turn,0.022705898437085134,en,scrubs
guess,0.022633355630576873,en,scrubs
hate,0.02252264869794477,en,scrubs
sir,0.022365825048062872,en,scrubs
today,0.022270641598035577,en,scrubs
ok,0.021626780488129986,en,scrubs
change,0.021545213532952984,en,scrubs
ass,0.021496911341910573,en,scrubs
morning,0.02140012791993647,en,scrubs
check,0.02118249950041169,en,scrubs
damn,0.02071331847653574,en,scrubs
problem,0.020674699854853876,en,scrubs
hand,0.020674699854853876,en,scrubs
room,0.020602157048345615,en,scrubs
stuff,0.020402009697164256,en,scrubs
remember,0.02023944301580432,en,scrubs
miss,0.02016690020929606,en,scrubs
away,0.020094357402787803,en,scrubs
dorian,0.019656429678852675,en,scrubs
mom,0.019555574476528035,en,scrubs
cool,0.01954223251707819,en,scrubs
crazy,0.019460199565143898,en,scrubs
eat,0.01944147214421347,en,scrubs
stay,0.01944147214421347,en,scrubs
son,0.01930512745538123,en,scrubs
deal,0.019158876489810163,en,scrubs
tonight,0.01901792230229972,en,scrubs
reid,0.018926702562506382,en,scrubs
pretty,0.018866374558668023,en,scrubs
course,0.018793249075882486,en,scrubs
wasn,0.018788586885639134,en,scrubs
call,0.018716044079130877,en,scrubs
heart,0.018646998110311418,en,scrubs
sleep,0.01864350127262262,en,scrubs
run,0.018570958466114357,en,scrubs
lose,0.018570958466114357,en,scrubs
job,0.018570958466114357,en,scrubs
probably,0.0184984156596061,en,scrubs
barbie,0.01847868816488856,en,scrubs
hold,0.01828137069638374,en,scrubs
word,0.018280787240081323,en,scrubs
hope,0.01820824443357306,en,scrubs
real,0.017990616014048284,en,scrubs
wear,0.01790752105177127,en,scrubs
kill,0.017845530401031765,en,scrubs
minute,0.017842617799670533,en,scrubs
kind,0.01741027356198221,en,scrubs
date,0.017175100373782302,en,scrubs
frigorifix,0.017135892120018443,en,scrubs
bring,0.016757388303407877,en,scrubs
surgeon,0.016730357485578894,en,scrubs
happy,0.0165397598838831,en,scrubs
meet,0.0165397598838831,en,scrubs
week,0.016467217077374842,en,scrubs
funny,0.01645323362674537,en,scrubs
chief,0.016237638673390547,en,scrubs
cause,0.016177045851341804,en,scrubs
wife,0.016177045851341804,en,scrubs
buddy,0.016132579690224205,en,scrubs
scrub,0.01608772682774986,en,scrubs
relationship,0.016086880867998907,en,scrubs
weird,0.01590724181880904,en,scrubs
excuse,0.01588687462530877,en,scrubs
lady,0.01579510428167555,en,scrubs
pick,0.01559670339927573,en,scrubs
reason,0.015451617786259213,en,scrubs
live,0.015451617786259213,en,scrubs
answer,0.015306532173242694,en,scrubs
forget,0.015283225902176808,en,scrubs
www,0.015261605747667618,en,scrubs
dammit,0.015120474928476917,en,scrubs
point,0.015016360947209657,en,scrubs
question,0.014943818140701398,en,scrubs
mind,0.014871275334193138,en,scrubs
totally,0.014807613129371924,en,scrubs
moment,0.014771347522678063,en,scrubs
okay,0.01469474694672977,en,scrubs
month,0.014653646914668361,en,scrubs
walk,0.014653646914668361,en,scrubs
use,0.014653646914668361,en,scrubs
hot,0.014638098121157428,en,scrubs
person,0.014581104108160102,en,scrubs
brother,0.014581104108160102,en,scrubs
close,0.014508561301651842,en,scrubs
bambi,0.014495561901158685,en,scrubs
marry,0.014421292374582452,en,scrubs
awesome,0.014402954632580024,en,scrubs
high,0.014374011042435833,en,scrubs
spend,0.014259469143179318,en,scrubs
ahead,0.014152872411013746,en,scrubs
tvsubtitle,0.014125528103672442,en,scrubs
dad,0.014079159533873049,en,scrubs
laugh,0.014004461696941929,en,scrubs
sound,0.013928218849585769,en,scrubs
hour,0.013928218849585769,en,scrubs
hit,0.01385567604307751,en,scrubs
medicine,0.013776739213772198,en,scrubs
later,0.013747590763680574,en,scrubs
