mot,poids_tfidf,langue,serie
s,0.534701078793654,en,sexandthecity
l,0.31654640662999484,en,sexandthecity
t,0.25649536889808605,en,sexandthecity
m,0.20524105870815434,en,sexandthecity
know,0.19248343564777834,en,sexandthecity
think,0.1732350920830005,en,sexandthecity
go,0.16607291773331573,en,sexandthecity
want,0.1591345613320586,en,sexandthecity
iike,0.1441268034505046,en,sexandthecity
get,0.12063787420250294,en,sexandthecity
good,0.1163853331823776,en,sexandthecity
come,0.11146133831696932,en,sexandthecity
man,0.10720879729684399,en,sexandthecity
right,0.10250862037986336,en,sexandthecity
fuck,0.10083987497967799,en,sexandthecity
samantha,0.09528825299078518,en,sexandthecity
time,0.09512262808175093,en,sexandthecity
tell,0.09109390501005324,en,sexandthecity
love,0.089974815267915,en,sexandthecity
look,0.089974815267915,en,sexandthecity
thing,0.08885572552577675,en,sexandthecity
carrie,0.08667072636267867,en,sexandthecity
sex,0.08313407347228861,en,sexandthecity
iove,0.07851941087960733,en,sexandthecity
big,0.07851426103118565,en,sexandthecity
guy,0.07761179826071225,en,sexandthecity
night,0.07565046656854545,en,sexandthecity
woman,0.07542664862011779,en,sexandthecity
miranda,0.07051605686888059,en,sexandthecity
talk,0.06848829221886067,en,sexandthecity
need,0.06804065632200537,en,sexandthecity
feel,0.06804065632200537,en,sexandthecity
ii,0.06567078000839885,en,sexandthecity
iittle,0.06245693241960654,en,sexandthecity
date,0.06208784225296429,en,sexandthecity
friend,0.06110229992074824,en,sexandthecity
great,0.0581926665911888,en,sexandthecity
thank,0.0572973947974782,en,sexandthecity
maybe,0.05617830505533996,en,sexandthecity
let,0.054611579416346416,en,sexandthecity
say,0.05326867172578052,en,sexandthecity
sorry,0.05147812813835933,en,sexandthecity
work,0.05103049224150403,en,sexandthecity
mean,0.05013522044779343,en,sexandthecity
way,0.049463766602510485,en,sexandthecity
day,0.049016130705655185,en,sexandthecity
relationship,0.04891735078339342,en,sexandthecity
baby,0.04798730664972699,en,sexandthecity
meet,0.04677795122137869,en,sexandthecity
people,0.042525410201253354,en,sexandthecity
d,0.04207777430439806,en,sexandthecity
bad,0.04163013840754276,en,sexandthecity
charlotte,0.040983691171657094,en,sexandthecity
try,0.03983959482012157,en,sexandthecity
wait,0.03961577687169392,en,sexandthecity
see,0.03939195892326627,en,sexandthecity
sure,0.03916814097483862,en,sexandthecity
year,0.03894432302641097,en,sexandthecity
new,0.03894432302641097,en,sexandthecity
leave,0.03827286918112802,en,sexandthecity
believe,0.03804905123270037,en,sexandthecity
iife,0.037770405271720285,en,sexandthecity
life,0.03737759738741742,en,sexandthecity
little,0.03625850764527918,en,sexandthecity
