mot,poids_tfidf,langue,serie
c,0.5798864988954825,fr,southpark
cartman,0.22822261365306276,fr,southpark
j,0.2164129729307348,fr,southpark
vouloir,0.18407636268973313,fr,southpark
bien,0.17304682121218215,fr,southpark
non,0.16870185032708632,fr,southpark
n,0.16393909377996205,fr,southpark
faire,0.16017902282170604,fr,southpark
kyle,0.14836507918212508,fr,southpark
butter,0.14458731527970106,fr,southpark
stan,0.1165914450954579,fr,southpark
voir,0.11597729977909649,fr,southpark
savoir,0.11296924301249169,fr,southpark
aller,0.1089585006570186,fr,southpark
ouai,0.10512113705933084,fr,southpark
devoir,0.09985077322479849,fr,southpark
bon,0.0982631877090904,fr,southpark
tre,0.09759473064984489,fr,southpark
taire,0.09650848792857093,fr,southpark
enfant,0.0889883460120589,fr,southpark
venir,0.08731720336394512,fr,southpark
oui,0.08105041843351844,fr,southpark
ici,0.08021484710946156,fr,southpark
falloir,0.07954639005021603,fr,southpark
pouvoir,0.07327960511978936,fr,southpark
petit,0.06943597702912765,fr,southpark
croire,0.06809906291063662,fr,southpark
mec,0.06690006466439731,fr,southpark
dieu,0.06642792026252285,fr,southpark
t,0.06550879180606027,fr,southpark
monde,0.06425543481997494,fr,southpark
eric,0.06256320912761316,fr,southpark
garrison,0.06086149670299496,fr,southpark
mme,0.05974334967006772,fr,southpark
chose,0.05656817863865153,fr,southpark
merde,0.05536511131555497,fr,southpark
prendre,0.05506415025534913,fr,southpark
vraiment,0.05406146466648086,fr,southpark
regarder,0.053309450474829656,fr,southpark
jamais,0.052724550547989836,fr,southpark
putain,0.05133869131103543,fr,southpark
heure,0.05105340789987605,fr,southpark
super,0.04982125551183269,fr,southpark
trs,0.04896447958973382,fr,southpark
temps,0.04771112260364849,fr,southpark
salut,0.04562219429350626,fr,southpark
gros,0.04562219429350626,fr,southpark
passer,0.04445239443982661,fr,southpark
avoir,0.04403460877779816,fr,southpark
trop,0.04311548032133558,fr,southpark
mettre,0.04177856620284456,fr,southpark
dire,0.041277223408410425,fr,southpark
marsh,0.04124676579260367,fr,southpark
ok,0.0411117843241778,fr,southpark
ami,0.040274537819542156,fr,southpark
cul,0.03975725559379657,fr,southpark
grand,0.03851983803902268,fr,southpark
token,0.037874797915093746,fr,southpark
jour,0.03776782384737148,fr,southpark
trouver,0.037266481052937346,fr,southpark
sr,0.03693225252331459,fr,southpark
attendre,0.03693225252331459,fr,southpark
fois,0.03659802399369183,fr,southpark
aimer,0.03592956693444632,fr,southpark
ik,0.0356190726096372,fr,southpark
cole,0.03529545499290337,fr,southpark
mahomet,0.035286718833119415,fr,southpark
bordel,0.034992822922772136,fr,southpark
arriver,0.0345090956835496,fr,southpark
vie,0.03425842428633254,fr,southpark
jouer,0.03352501740513869,fr,southpark
cool,0.033425081451943825,fr,southpark
besoin,0.0330050673002472,fr,southpark
homme,0.032336610241001686,fr,southpark
mal,0.03191882457897324,fr,southpark
fils,0.031751710314161866,fr,southpark
mourir,0.03158459604935049,fr,southpark
garon,0.0315010389169448,fr,southpark
papa,0.03108325325491635,fr,southpark
connard,0.031079926299093064,fr,southpark
sortir,0.030665467592887907,fr,southpark
accord,0.030498353328076527,fr,southpark
juif,0.03040985497022423,fr,southpark
truc,0.029397565513551265,fr,southpark
ville,0.029380871955800646,fr,southpark
terrance,0.028832659780077183,fr,southpark
voil,0.028660096415151368,fr,southpark
tweek,0.028274970680416293,fr,southpark
vrai,0.027991639355905856,fr,southpark
route,0.027682555657777486,fr,southpark
tuer,0.027657410826283098,fr,southpark
mieux,0.02757385369387741,fr,southpark
gars,0.027342892398172856,fr,southpark
nouveau,0.02732318229666034,fr,southpark
histoire,0.02723962516425465,fr,southpark
hankey,0.02698974474039737,fr,southpark
chef,0.026578650064062435,fr,southpark
pote,0.026406868527697875,fr,southpark
aider,0.02623693957538638,fr,southpark
penser,0.026069825310575005,fr,southpark
coryn,0.02570451880037845,fr,southpark
br,0.02564439442167806,fr,southpark
problme,0.02548492538373518,fr,southpark
finir,0.025317811118923804,fr,southpark
pre,0.025317811118923804,fr,southpark
