mot,poids_tfidf,langue,serie
c,0.5402537420929895,fr,supernatural
dean,0.2689042392767056,fr,supernatural
bien,0.22308642151549302,fr,supernatural
n,0.22015447782336825,fr,supernatural
savoir,0.21817110414928387,fr,supernatural
non,0.20230411475660867,fr,supernatural
j,0.19566412463032612,fr,supernatural
taire,0.17833116339158855,fr,supernatural
vouloir,0.17574415425147846,fr,supernatural
chose,0.15522054840660512,fr,supernatural
ouai,0.13525709485658785,fr,supernatural
faire,0.13305850343966205,fr,supernatural
tre,0.11382840216484374,fr,supernatural
sam,0.11227002980768916,fr,supernatural
ici,0.10330789832839607,fr,supernatural
aller,0.1001172537222603,fr,supernatural
devoir,0.0950294690800438,fr,supernatural
croire,0.09287362812995206,fr,supernatural
ok,0.08622602453173789,fr,supernatural
voir,0.08580246981365117,fr,supernatural
vraiment,0.08563000253764382,fr,supernatural
bon,0.0851126007096218,fr,supernatural
dmon,0.08087755615815388,fr,supernatural
oui,0.07933494696337595,fr,supernatural
mme,0.07200508773306404,fr,supernatural
t,0.06484769577875947,fr,supernatural
heure,0.06441652758874113,fr,supernatural
pouvoir,0.0576903038244549,fr,supernatural
mourir,0.05760407018645123,fr,supernatural
accord,0.05751783654844756,fr,supernatural
jamais,0.05700043472042555,fr,supernatural
mec,0.056473411598314156,fr,supernatural
venir,0.05631056561639619,fr,supernatural
papa,0.05587939742637784,fr,supernatural
winchester,0.05193304075546556,fr,supernatural
tuer,0.05087784642216501,fr,supernatural
lilith,0.04710826105393835,fr,supernatural
prendre,0.04699733271199988,fr,supernatural
supernatural,0.04642380230839524,fr,supernatural
mort,0.046048762693959515,fr,supernatural
passer,0.04587629541795218,fr,supernatural
avoir,0.045358893589930165,fr,supernatural
sr,0.044841491761908145,fr,supernatural
trouver,0.04466902448590081,fr,supernatural
dsol,0.04458279084789714,fr,supernatural
dire,0.04449655720989346,fr,supernatural
sammy,0.0437364347122904,fr,supernatural
temps,0.043720454467860444,fr,supernatural
truc,0.04172730715186023,fr,supernatural
dieu,0.0413059126037577,fr,supernatural
petit,0.04121967896575403,fr,supernatural
vie,0.04027110894771366,fr,supernatural
arriver,0.03897760437765862,fr,supernatural
frre,0.03742539889359257,fr,supernatural
bobby,0.03734138936384031,fr,supernatural
partir,0.036994230703574216,fr,supernatural
fois,0.03664929615155954,fr,supernatural
s,0.036390595237548534,fr,supernatural
pre,0.036390595237548534,fr,supernatural
ange,0.0357820791270977,fr,supernatural
penser,0.03492462339148615,fr,supernatural
besoin,0.03475215611547881,fr,supernatural
sai,0.034062287011449456,fr,supernatural
euh,0.03404685952793208,fr,supernatural
sortir,0.03371735245943478,fr,supernatural
apr,0.03311371699340909,fr,supernatural
veux,0.033027483355405424,fr,supernatural
trs,0.032510081527383404,fr,supernatural
aimer,0.03216514697536873,fr,supernatural
an,0.031216576957328362,fr,supernatural
falloir,0.030785408767310014,fr,supernatural
monde,0.030785408767310014,fr,supernatural
gars,0.030322001288500093,fr,supernatural
fille,0.030268006939287998,fr,supernatural
entendre,0.030095539663280657,fr,supernatural
ecoute,0.02947537602208275,fr,supernatural
sang,0.029405670559251303,fr,supernatural
aider,0.029233203283243962,fr,supernatural
quelqu,0.029146969645240293,fr,supernatural
trouv,0.028974502369232956,fr,supernatural
raison,0.0282846332652036,fr,supernatural
maison,0.027508530523170573,fr,supernatural
hein,0.027336063247163235,fr,supernatural
jour,0.027163595971155894,fr,supernatural
regarder,0.026991128695148556,fr,supernatural
appeler,0.026387493229122868,fr,supernatural
grand,0.02621502595311553,fr,supernatural
attendre,0.026042558677108193,fr,supernatural
mal,0.026042558677108193,fr,supernatural
genre,0.025783857763097183,fr,supernatural
pass,0.025352689573078836,fr,supernatural
esprit,0.02532675830166626,fr,supernatural
famille,0.025007755021064157,fr,supernatural
mettre,0.0243178859170348,fr,supernatural
tr,0.023972951365020125,fr,supernatural
m,0.023972951365020125,fr,supernatural
nuit,0.023800484089012783,fr,supernatural
fantme,0.023411703200301063,fr,supernatural
homme,0.0231968486229871,fr,supernatural
oeil,0.02311061498498343,fr,supernatural
trop,0.02311061498498343,fr,supernatural
tai,0.023036950823422837,fr,supernatural
plat,0.022863087043623418,fr,supernatural
beaucoup,0.02285191407097242,fr,supernatural
enfer,0.022627640667992856,fr,supernatural
colt,0.022601973160497498,fr,supernatural
type,0.022176244705082754,fr,supernatural
oh,0.022081161837757213,fr,supernatural
moment,0.021903344052932056,fr,supernatural
laisse,0.021817110414928384,fr,supernatural
aouregan,0.021794454307755052,fr,supernatural
laucas,0.02178698203665551,fr,supernatural
coup,0.0217329724749272,fr,supernatural
femme,0.021385942224910037,fr,supernatural
connaître,0.021385942224910037,fr,supernatural
mieux,0.021299708586906368,fr,supernatural
vrai,0.02104100767289536,fr,supernatural
aide,0.02086854039688802,fr,supernatural
sauver,0.02086854039688802,fr,supernatural
attend,0.020689789796130696,fr,supernatural
voiture,0.020455387163865545,fr,supernatural
essayer,0.020437372206869673,fr,supernatural
ville,0.02041915115670671,fr,supernatural
problme,0.020264904930862335,fr,supernatural
peur,0.020264904930862335,fr,supernatural
l,0.020264904930862335,fr,supernatural
nom,0.020178671292858667,fr,supernatural
finir,0.020006204016851326,fr,supernatural
pense,0.01940256855082564,fr,supernatural
devenir,0.01940256855082564,fr,supernatural
part,0.01931633491282197,fr,supernatural
vien,0.0192301012748183,fr,supernatural
affaire,0.019057633998810962,fr,supernatural
rester,0.01903808388803623,fr,supernatural
voil,0.018798933084799952,fr,supernatural
perdre,0.018626465808792615,fr,supernatural
arrter,0.018453998532785273,fr,supernatural
ruby,0.018286132232394572,fr,supernatural
boulot,0.018228255109849767,fr,supernatural
revenir,0.018195297618774267,fr,supernatural
merde,0.01814061926797549,fr,supernatural
ami,0.0181090639807706,fr,supernatural
fils,0.017936596704763257,fr,supernatural
salut,0.017936596704763257,fr,supernatural
cas,0.01785036306675959,fr,supernatural
arrte,0.01785036306675959,fr,supernatural
heu,0.017136127819118153,fr,supernatural
supposer,0.017088989165484157,fr,supernatural
tte,0.016988026686722894,fr,supernatural
histoire,0.016988026686722894,fr,supernatural
arme,0.016901793048719225,fr,supernatural
vrit,0.01687400726166445,fr,supernatural
porte,0.016815559410715553,fr,supernatural
chasser,0.01669563616715752,fr,supernatural
chance,0.016556858496704546,fr,supernatural
putain,0.01646525733517777,fr,supernatural
castiel,0.01635886367057737,fr,supernatural
enfant,0.016298157582693536,fr,supernatural
question,0.016298157582693536,fr,supernatural
comprend,0.016211923944689868,fr,supernatural
fait,0.0161256903066862,fr,supernatural
chercher,0.01603945666868253,fr,supernatural
mr,0.015953223030678858,fr,supernatural
endroit,0.015908535851646713,fr,supernatural
arriv,0.01569452211666785,fr,supernatural
dernire,0.015608288478664181,fr,supernatural
air,0.015522054840660512,fr,supernatural
monstre,0.015517029231800832,fr,supernatural
ecouter,0.015336781019620292,fr,supernatural
ash,0.015319283700423965,fr,supernatural
vieux,0.015004653012638494,fr,supernatural
sentir,0.014918419374634825,fr,supernatural
minute,0.014865353172850208,fr,supernatural
plutt,0.014865353172850208,fr,supernatural
corps,0.014691489393050788,fr,supernatural
sceau,0.014589803656375707,fr,supernatural
bela,0.014529636205170036,fr,supernatural
ellen,0.014440804620206594,fr,supernatural
appel,0.014314783908609139,fr,supernatural
ide,0.014228550270605468,fr,supernatural
route,0.014197006383632992,fr,supernatural
andy,0.014183575094481484,fr,supernatural
vivre,0.0141423166326018,fr,supernatural
mois,0.01405608299459813,fr,supernatural
corbett,0.01403224797351355,fr,supernatural
garon,0.01379738208058712,fr,supernatural
