mot,poids_tfidf,langue,serie
s,0.5462971192519873,en,swingtown
know,0.24741492688029842,en,swingtown
janet,0.23958930525708047,en,swingtown
t,0.23873370137572655,en,swingtown
think,0.20896949964576583,en,swingtown
go,0.20772932457368415,en,swingtown
m,0.18602626081225446,en,swingtown
want,0.17672494777164174,en,swingtown
right,0.1506812712579261,en,swingtown
come,0.13083847010461896,en,swingtown
bruce,0.12963823605007396,en,swingtown
good,0.12959829503253728,en,swingtown
laurie,0.12320533290392571,en,swingtown
get,0.1209170695279654,en,swingtown
time,0.10355461851882165,en,swingtown
look,0.09673365562237232,en,swingtown
tell,0.09425330547820893,en,swingtown
let,0.08123146722135112,en,swingtown
night,0.07937120461322857,en,swingtown
thing,0.07751094200510603,en,swingtown
sure,0.07441050432490179,en,swingtown
little,0.07379041678886093,en,swingtown
thank,0.07193015418073839,en,swingtown
party,0.07177207790693568,en,swingtown
need,0.0706899791086567,en,swingtown
swingtown,0.07005356110125414,en,swingtown
talk,0.0657292788203299,en,swingtown
guy,0.0637569549309615,en,swingtown
roger,0.06332371863590922,en,swingtown
day,0.062008753604084824,en,swingtown
mean,0.05828822838783973,en,swingtown
maybe,0.05766814085179888,en,swingtown
say,0.05704805331575803,en,swingtown
way,0.05580787824367634,en,swingtown
tonight,0.0541876681676066,en,swingtown
work,0.053327528099512946,en,swingtown
sorry,0.0514672654913904,en,swingtown
home,0.05084717795534955,en,swingtown
decker,0.05028398891934816,en,swingtown
new,0.05022709041930871,en,swingtown
bj,0.050060339803706576,en,swingtown
doug,0.04923261325597297,en,swingtown
feel,0.046506565203063614,en,swingtown
job,0.046506565203063614,en,swingtown
kind,0.04464630259494107,en,swingtown
love,0.044026215058900225,en,swingtown
mareno,0.04139528610528654,en,swingtown
mom,0.041305647746507926,en,swingtown
try,0.04030568984265513,en,swingtown
reem,0.040048271842965256,en,swingtown
week,0.03968560230661428,en,swingtown
help,0.03968560230661428,en,swingtown
find,0.03968560230661428,en,swingtown
leave,0.03968560230661428,en,swingtown
great,0.039065514770573434,en,swingtown
d,0.037205252162450894,en,swingtown
kid,0.03683876565134752,en,swingtown
friend,0.036585164626410045,en,swingtown
man,0.036585164626410045,en,swingtown
trina,0.036111451124283336,en,swingtown
bobbi,0.03602549008556802,en,swingtown
house,0.03534498955432835,en,swingtown
well,0.03534498955432835,en,swingtown
long,0.0347249020182875,en,swingtown
like,0.0347249020182875,en,swingtown
tom,0.03466323312185193,en,swingtown
melinda,0.034511255846994646,en,swingtown
play,0.03410481448224665,en,swingtown
guess,0.03410481448224665,en,swingtown
see,0.03410481448224665,en,swingtown
actually,0.0334847269462058,en,swingtown
woman,0.0334847269462058,en,swingtown
husband,0.032503545651078415,en,swingtown
big,0.03187847746548075,en,swingtown
life,0.03162446433808326,en,swingtown
today,0.03162446433808326,en,swingtown
stay,0.031004376802042412,en,swingtown
nice,0.030384289266001563,en,swingtown
wife,0.030384289266001563,en,swingtown
morning,0.029764201729960714,en,swingtown
people,0.029764201729960714,en,swingtown
girl,0.029764201729960714,en,swingtown
meet,0.029144114193919865,en,swingtown
old,0.029144114193919865,en,swingtown
start,0.029144114193919865,en,swingtown
dad,0.028984101578022135,en,swingtown
samantha,0.02887456978012932,en,swingtown
lady,0.028753136537492445,en,swingtown
make,0.028524026657879016,en,swingtown
take,0.02790393912183817,en,swingtown
believe,0.02790393912183817,en,swingtown
rog,0.027895547072586954,en,swingtown
weekend,0.02749571586976072,en,swingtown
happen,0.02728385158579732,en,swingtown
open,0.02728385158579732,en,swingtown
rex,0.027087711391445855,en,swingtown
ricky,0.026724456723812698,en,swingtown
school,0.026676347540630967,en,swingtown
bad,0.026663764049756473,en,swingtown
mind,0.026043676513715624,en,swingtown
remember,0.026043676513715624,en,swingtown
summer,0.02566851786921819,en,swingtown
fine,0.025627795609504133,en,swingtown
year,0.025423588977674775,en,swingtown
brad,0.025346995841186177,en,swingtown
okay,0.025121800121984554,en,swingtown
tomorrow,0.025002727423906475,en,swingtown
happy,0.02480350144163393,en,swingtown
head,0.02418341390559308,en,swingtown
dinner,0.024135743012951825,en,swingtown
stephen,0.023762869283106728,en,swingtown
ask,0.02356332636955223,en,swingtown
idea,0.02356332636955223,en,swingtown
lot,0.02356332636955223,en,swingtown
family,0.02356332636955223,en,swingtown
minute,0.02312752286711349,en,swingtown
bring,0.022943238833511383,en,swingtown
call,0.022943238833511383,en,swingtown
room,0.022323151297470534,en,swingtown
run,0.022323151297470534,en,swingtown
exactly,0.022323151297470534,en,swingtown
fun,0.022053120765886405,en,swingtown
wallpaper,0.021975076021521364,en,swingtown
check,0.02170306376142969,en,swingtown
place,0.02170306376142969,en,swingtown
change,0.02170306376142969,en,swingtown
have,0.02170306376142969,en,swingtown
logan,0.02166928708473295,en,swingtown
club,0.021469463180825602,en,swingtown
ytet,0.021226184530937463,en,swingtown
hear,0.02108297622538884,en,swingtown
away,0.02108297622538884,en,swingtown
course,0.020627250124722843,en,swingtown
wait,0.02046288868934799,en,swingtown
hope,0.02046288868934799,en,swingtown
pendulum,0.020264338173132012,en,swingtown
com,0.01951769380075055,en,swingtown
pretty,0.019377113753527516,en,swingtown
susan,0.019348365279604186,en,swingtown
invite,0.019326257594885907,en,swingtown
watch,0.019222713617266296,en,swingtown
hand,0.019222713617266296,en,swingtown
catch,0.019222713617266296,en,swingtown
hour,0.019222713617266296,en,swingtown
anane,0.019105516663978406,en,swingtown
neighbor,0.018961401773967025,en,swingtown
wish,0.018752045567929854,en,swingtown
pick,0.018602626081225447,en,swingtown
miss,0.018602626081225447,en,swingtown
suppose,0.018602626081225447,en,swingtown
phone,0.018567388093642258,en,swingtown
sync,0.018176035280290128,en,swingtown
ready,0.017982538545184598,en,swingtown
live,0.017982538545184598,en,swingtown
easy,0.017982538545184598,en,swingtown
book,0.017642496612709127,en,swingtown
teacher,0.017625458890872258,en,swingtown
lakeview,0.017596973504954438,en,swingtown
forget,0.01750190919673453,en,swingtown
bb,0.01745921584327163,en,swingtown
honey,0.01691533462731714,en,swingtown
spend,0.01687684101113687,en,swingtown
drink,0.01687684101113687,en,swingtown
win,0.0167423634731029,en,swingtown
haven,0.0167423634731029,en,swingtown
care,0.0167423634731029,en,swingtown
lose,0.0167423634731029,en,swingtown
laur,0.016526645100135937,en,swingtown
proudly,0.016257792300668636,en,swingtown
game,0.016251772825539208,en,swingtown
