mot,poids_tfidf,langue,serie
s,0.5315467897808008,en,the4400
know,0.26853706970728497,en,the4400
shawn,0.2507248071457775,en,the4400
go,0.24762526359285833,en,the4400
t,0.22855590735635473,en,the4400
maia,0.20434887773840854,en,the4400
think,0.16130648681216328,en,the4400
ntac,0.16036881457515725,en,the4400
m,0.15495003473332875,en,the4400
want,0.14886995013618268,en,the4400
right,0.13965770074656741,en,the4400
come,0.13486733106396748,en,the4400
kyle,0.12489763644136975,en,the4400
get,0.12187805942460996,en,the4400
tell,0.11846952715045231,en,the4400
look,0.10723058289512169,en,the4400
time,0.09110914646329497,en,the4400
promicin,0.08940916210827352,en,the4400
colly,0.08441164022433002,en,the4400
need,0.08438420440887583,en,the4400
people,0.08162052959199124,en,the4400
talk,0.08115991712251049,en,the4400
good,0.08079142714692587,en,the4400
isabelle,0.07892613647009102,en,the4400
let,0.0764616699338067,en,the4400
thing,0.07498771003146826,en,the4400
work,0.07176342274510292,en,the4400
say,0.0675257880258799,en,the4400
mean,0.06669668558081451,en,the4400
find,0.06347239829444917,en,the4400
happen,0.06273541834327996,en,the4400
way,0.06255117335548765,en,the4400
help,0.058221416142368476,en,the4400
try,0.056563211252237726,en,the4400
guy,0.05627463717608987,en,the4400
ability,0.05354285242614753,en,the4400
maybe,0.05241769902691086,en,the4400
sure,0.04993039169171474,en,the4400
burkhoff,0.049671756726818624,en,the4400
lily,0.049020837795199834,en,the4400
thank,0.046337614429764785,en,the4400
year,0.046061246948076326,en,the4400
stop,0.04550851198469941,en,the4400
take,0.0451400220091148,en,the4400
alana,0.04508379004130543,en,the4400
day,0.04486365452742634,en,the4400
see,0.04458728704573788,en,the4400
feel,0.04394242958846482,en,the4400
place,0.043850307094568663,en,the4400
little,0.04348181711898405,en,the4400
sorry,0.04320544963729559,en,the4400
kind,0.04108663227768408,en,the4400
leave,0.04081026479599562,en,the4400
tess,0.03973238687253377,en,the4400
collier,0.03921407035491849,en,the4400
tom,0.038831505780685845,en,the4400
kill,0.038783569930280266,en,the4400
man,0.0383229574607995,en,the4400
start,0.03703324254625336,en,the4400
