mot,poids_tfidf,langue,serie
s,0.5406919246387829,en,thelostroom
object,0.3250350150806373,en,thelostroom
know,0.2389892206083649,en,thelostroom
t,0.23220938456273751,en,thelostroom
ruber,0.18278183343893564,en,thelostroom
go,0.172885819163498,en,thelostroom
key,0.16914874810742253,en,thelostroom
right,0.16271606509505693,en,thelostroom
want,0.15593622904942958,en,thelostroom
room,0.140681597946768,en,thelostroom
come,0.13898663893536115,en,thelostroom
get,0.13559672091254746,en,thelostroom
m,0.13051184387832693,en,thelostroom
think,0.11525721277566534,en,thelostroom
sood,0.11315065879553157,en,thelostroom
find,0.10508745870722427,en,thelostroom
motel,0.09977240017894295,en,thelostroom
look,0.09661266365019006,en,thelostroom
occupant,0.08964983083284654,en,thelostroom
bring,0.08305299155893531,en,thelostroom
need,0.08135803254752846,en,thelostroom
tell,0.07627315551330795,en,thelostroom
wally,0.07302749942149896,en,thelostroom
man,0.07288323749049426,en,thelostroom
legion,0.07201664216286277,en,thelostroom
arlene,0.0719064952204977,en,thelostroom
iggy,0.07150821597366835,en,thelostroom
daughter,0.07118149931311132,en,thelostroom
kreutzfeld,0.06963117464340406,en,thelostroom
see,0.06779836045627373,en,thelostroom
thing,0.06610340144486689,en,thelostroom
help,0.06610340144486689,en,thelostroom
collector,0.06592230522497944,en,thelostroom
harold,0.06407156145184326,en,thelostroom
sorry,0.0627134834220532,en,thelostroom
comb,0.061587734683071986,en,thelostroom
try,0.05762860638783267,en,thelostroom
vault,0.05683785744865338,en,thelostroom
detective,0.05676745566352107,en,thelostroom
happen,0.055933647376425824,en,thelostroom
conroy,0.05473435225364158,en,thelostroom
kill,0.05423868836501898,en,thelostroom
let,0.05423868836501898,en,thelostroom
door,0.05254372935361214,en,thelostroom
time,0.05084877034220529,en,thelostroom
guy,0.046131476756569784,en,thelostroom
thank,0.04576389330798476,en,thelostroom
good,0.04406893429657792,en,thelostroom
sure,0.042373975285171075,en,thelostroom
order,0.04133514366377574,en,thelostroom
mean,0.04067901627376423,en,thelostroom
people,0.04067901627376423,en,thelostroom
prime,0.04019455657054568,en,thelostroom
anna,0.039888787593631445,en,thelostroom
win,0.03728909825095055,en,thelostroom
way,0.03728909825095055,en,thelostroom
hell,0.03728909825095055,en,thelostroom
wait,0.03559413923954371,en,thelostroom
leave,0.03559413923954371,en,thelostroom
reunification,0.03481558732170203,en,thelostroom
cabal,0.03400162783070323,en,thelostroom
open,0.033899180228136865,en,thelostroom
picture,0.03246289105091947,en,thelostroom
