mot,poids_tfidf,langue,serie
c,0.4068299736746448,fr,thelostroom
objet,0.33650630743958504,fr,thelostroom
n,0.24206383433641362,fr,thelostroom
ruber,0.21901655442389736,fr,thelostroom
j,0.1790051884168437,fr,thelostroom
joe,0.1667563947726379,fr,thelostroom
cl,0.16519398137723423,fr,thelostroom
savoir,0.16476613933823114,fr,thelostroom
glaneur,0.16327790994911345,fr,thelostroom
chambre,0.1496953189476531,fr,thelostroom
bien,0.1444246406544989,fr,thelostroom
vouloir,0.136288041181006,fr,thelostroom
miller,0.12052784393904657,fr,thelostroom
oui,0.1200148422340202,fr,thelostroom
anner,0.11930004161719845,fr,thelostroom
non,0.11594654249727376,fr,thelostroom
sood,0.11472295707918434,fr,thelostroom
faire,0.10780994302378086,fr,thelostroom
ici,0.09560504381354153,fr,thelostroom
crin,0.09422035769121674,fr,thelostroom
voir,0.09357089394516829,fr,thelostroom
devoir,0.09153674407679507,fr,thelostroom
bon,0.08950259420842185,fr,thelostroom
aller,0.08746844434004862,fr,thelostroom
fille,0.08746844434004862,fr,thelostroom
motel,0.08635792305726706,fr,thelostroom
iggy,0.08565487062837886,fr,thelostroom
croire,0.0854342944716754,fr,thelostroom
pouvoir,0.08340014460330218,fr,thelostroom
taire,0.08136599473492895,fr,thelostroom
conroy,0.08106824985375274,fr,thelostroom
arlene,0.0794620029924746,fr,thelostroom
tre,0.07933184486655573,fr,thelostroom
chose,0.07322939526143606,fr,thelostroom
stritzke,0.07300551814129913,fr,thelostroom
accord,0.07119524539306284,fr,thelostroom
homme,0.07119524539306284,fr,thelostroom
venir,0.06712694565631638,fr,thelostroom
porte,0.06712694565631638,fr,thelostroom
lgion,0.06486662794598863,fr,thelostroom
gallup,0.06313576141860414,fr,thelostroom
dire,0.06305864591956994,fr,thelostroom
pendule,0.06106849519029294,fr,thelostroom
trouver,0.06102449605119672,fr,thelostroom
inspecteur,0.060098519552217386,fr,thelostroom
prendre,0.05899034618282349,fr,thelostroom
falloir,0.054922046446077046,fr,thelostroom
jamais,0.054922046446077046,fr,thelostroom
dieu,0.054922046446077046,fr,thelostroom
avoir,0.05288789657770382,fr,thelostroom
ordre,0.0508289173468413,fr,thelostroom
kang,0.04802291469091573,fr,thelostroom
ramener,0.04511365776504613,fr,thelostroom
photo,0.04483578707293544,fr,thelostroom
jennifer,0.04338183331534489,fr,thelostroom
salut,0.0427171472358377,fr,thelostroom
l,0.0427171472358377,fr,thelostroom
nom,0.0427171472358377,fr,thelostroom
kreutzfeld,0.04171743893788521,fr,thelostroom
isaac,0.0414649277034381,fr,thelostroom
mme,0.040682997367464474,fr,thelostroom
fois,0.040682997367464474,fr,thelostroom
cabale,0.03940526053501801,fr,thelostroom
montague,0.038047146211363674,fr,thelostroom
prie,0.03751142892298964,fr,thelostroom
ouvrir,0.03691117453503775,fr,thelostroom
martin,0.036359571917611376,fr,thelostroom
runification,0.03607757795348808,fr,thelostroom
mettre,0.03458054776234481,fr,thelostroom
tuer,0.03458054776234481,fr,thelostroom
appeler,0.03458054776234481,fr,thelostroom
revenir,0.03254639789397158,fr,thelostroom
aider,0.03254639789397158,fr,thelostroom
fort,0.03254639789397158,fr,thelostroom
attendre,0.03254639789397158,fr,thelostroom
ignacio,0.03152420842801441,fr,thelostroom
harold,0.03145923748701175,fr,thelostroom
vrang,0.03128807920341391,fr,thelostroom
jour,0.03051224802559836,fr,thelostroom
dsol,0.03051224802559836,fr,thelostroom
passer,0.03051224802559836,fr,thelostroom
fait,0.03051224802559836,fr,thelostroom
perdre,0.03051224802559836,fr,thelostroom
peindre,0.029905950507121474,fr,thelostroom
bridgewater,0.028813748814549435,fr,thelostroom
pendul,0.028622087266954407,fr,thelostroom
s,0.028478098157225133,fr,thelostroom
occuper,0.028478098157225133,fr,thelostroom
vie,0.028478098157225133,fr,thelostroom
heure,0.028478098157225133,fr,thelostroom
papa,0.028478098157225133,fr,thelostroom
polarod,0.02713860978393831,fr,thelostroom
willowbrook,0.02705818346511606,fr,thelostroom
retrouver,0.026658070497527258,fr,thelostroom
sr,0.02644394828885191,fr,thelostroom
vraiment,0.02644394828885191,fr,thelostroom
pass,0.02644394828885191,fr,thelostroom
voil,0.02644394828885191,fr,thelostroom
cas,0.02644394828885191,fr,thelostroom
femme,0.02644394828885191,fr,thelostroom
connaître,0.02644394828885191,fr,thelostroom
carte,0.02644394828885191,fr,thelostroom
fouine,0.026342093450506844,fr,thelostroom
ciseau,0.02607593525116285,fr,thelostroom
berhug,0.025696461188513656,fr,thelostroom
mabel,0.02532298008180178,fr,thelostroom
disparaître,0.025007619281993094,fr,thelostroom
montre,0.025007619281993094,fr,thelostroom
plat,0.024607449690025162,fr,thelostroom
m,0.024409798420478687,fr,thelostroom
arrte,0.024409798420478687,fr,thelostroom
entrer,0.024409798420478687,fr,thelostroom
lou,0.023405008627526,fr,thelostroom
ouai,0.02292365100849367,fr,thelostroom
partir,0.022375648552105463,fr,thelostroom
part,0.022375648552105463,fr,thelostroom
aide,0.022375648552105463,fr,thelostroom
ami,0.022375648552105463,fr,thelostroom
trouv,0.022375648552105463,fr,thelostroom
mourir,0.022375648552105463,fr,thelostroom
mort,0.022375648552105463,fr,thelostroom
lee,0.0213983497190242,fr,thelostroom
zoraida,0.020858719468942605,fr,thelostroom
parchman,0.020858719468942605,fr,thelostroom
stritzk,0.020858719468942605,fr,thelostroom
exister,0.020839682734994244,fr,thelostroom
stylo,0.02060845520746785,fr,thelostroom
servir,0.020506208075020967,fr,thelostroom
t,0.020341498683732237,fr,thelostroom
arriver,0.020341498683732237,fr,thelostroom
trs,0.020341498683732237,fr,thelostroom
petit,0.020341498683732237,fr,thelostroom
chercher,0.020341498683732237,fr,thelostroom
fils,0.020341498683732237,fr,thelostroom
temps,0.020341498683732237,fr,thelostroom
donne,0.020341498683732237,fr,thelostroom
loin,0.020341498683732237,fr,thelostroom
chance,0.020341498683732237,fr,thelostroom
ticket,0.02026941796641911,fr,thelostroom
pittsburgh,0.019958962444919577,fr,thelostroom
llosa,0.01920916587636629,fr,thelostroom
lloser,0.01920916587636629,fr,thelostroom
lpher,0.019207011936489656,fr,thelostroom
intrieur,0.01875571446149482,fr,thelostroom
anna,0.018664716734344357,fr,thelostroom
mexiqu,0.018625668036544894,fr,thelostroom
gars,0.018605035842878124,fr,thelostroom
truc,0.018455587267518874,fr,thelostroom
prt,0.018455587267518874,fr,thelostroom
pardon,0.018455587267518874,fr,thelostroom
tenir,0.018307348815359014,fr,thelostroom
veux,0.018307348815359014,fr,thelostroom
besoin,0.018307348815359014,fr,thelostroom
tr,0.018307348815359014,fr,thelostroom
moyen,0.018307348815359014,fr,thelostroom
an,0.018307348815359014,fr,thelostroom
garder,0.018307348815359014,fr,thelostroom
mal,0.018307348815359014,fr,thelostroom
apr,0.018307348815359014,fr,thelostroom
question,0.018307348815359014,fr,thelostroom
hein,0.018307348815359014,fr,thelostroom
trop,0.018307348815359014,fr,thelostroom
suzie,0.01822843328905612,fr,thelostroom
clark,0.018075763881393706,fr,thelostroom
gupta,0.01803878897674404,fr,thelostroom
barbara,0.017898876825653057,fr,thelostroom
bloom,0.017549684455998547,fr,thelostroom
film,0.017358480952250618,fr,thelostroom
bus,0.01716034732097962,fr,thelostroom
helen,0.0169453792740675,fr,thelostroom
prix,0.016806794257220738,fr,thelostroom
Monsieur,0.016537809638113885,fr,thelostroom
rendre,0.016537809638113885,fr,thelostroom
all,0.016404966460016775,fr,thelostroom
endroit,0.016404966460016775,fr,thelostroom
bonjour,0.01627319894698579,fr,thelostroom
quelqu,0.01627319894698579,fr,thelostroom
regarder,0.01627319894698579,fr,thelostroom
sortir,0.01627319894698579,fr,thelostroom
frre,0.01627319894698579,fr,thelostroom
laisse,0.01627319894698579,fr,thelostroom
genre,0.01627319894698579,fr,thelostroom
vite,0.01627319894698579,fr,thelostroom
anthony,0.016205178351416074,fr,thelostroom
novocane,0.015762104214007203,fr,thelostroom
quipier,0.015526735596023598,fr,thelostroom
navr,0.015202063474814332,fr,thelostroom
prison,0.014945262357645147,fr,thelostroom
nmo,0.014739681791591408,fr,thelostroom
ville,0.014470583433349652,fr,thelostroom
ignorer,0.014354345652514679,fr,thelostroom
donner,0.014354345652514679,fr,thelostroom
asseoir,0.014354345652514679,fr,thelostroom
