mot,poids_tfidf,langue,serie
c,0.5712948559193592,fr,thementalist
taire,0.2566891758139968,fr,thementalist
j,0.23126241783242163,fr,thementalist
n,0.21511844451078663,fr,thementalist
bien,0.20280866485303992,fr,thementalist
lisbon,0.19141099168490028,fr,thementalist
vouloir,0.17960170320318958,fr,thementalist
savoir,0.17415311220713775,fr,thementalist
non,0.16184333254939107,fr,thementalist
cbi,0.1469208692932748,fr,thementalist
rigsby,0.127262443120231,fr,thementalist
oui,0.12370319557702833,fr,thementalist
faire,0.1224923975779057,fr,thementalist
voir,0.11966720224661957,fr,thementalist
bon,0.10029443426065755,fr,thementalist
aller,0.09686383992981011,fr,thementalist
tre,0.09545124226416704,fr,thementalist
ici,0.08939725226855391,fr,thementalist
devoir,0.08697565627030866,fr,thementalist
avoir,0.08152706527425684,fr,thementalist
chose,0.07123528228171452,fr,thementalist
dire,0.0690154859499897,fr,thementalist
aimer,0.06477769295306052,fr,thementalist
venir,0.06397049428697876,fr,thementalist
croire,0.061952497621774384,fr,thementalist
mme,0.059934500956570005,fr,thementalist
vraiment,0.05872370295744738,fr,thementalist
sr,0.056503906625722564,fr,thementalist
pouvoir,0.05589850762616125,fr,thementalist
prendre,0.05589850762616125,fr,thementalist
femme,0.05367871129443644,fr,thementalist
trs,0.04641392329970068,fr,thementalist
jamais,0.04560672463361893,fr,thementalist
accord,0.04540492496709849,fr,thementalist
affaire,0.045001325634057614,fr,thementalist
mort,0.04358872796841455,fr,thementalist
bosco,0.04300157729098276,fr,thementalist
partir,0.04177253096973061,fr,thementalist
trouver,0.04157073130321017,fr,thementalist
agent,0.04134707857983601,fr,thementalist
heure,0.040561732970607986,fr,thementalist
quelqu,0.03975453430452623,fr,thementalist
an,0.038947335638444484,fr,thementalist
appeler,0.038947335638444484,fr,thementalist
vie,0.03814013697236273,fr,thementalist
meurtre,0.037608857976541024,fr,thementalist
temps,0.037534737972801414,fr,thementalist
tuer,0.03733293830628098,fr,thementalist
mourir,0.03733293830628098,fr,thementalist
nom,0.037131138639760544,fr,thementalist
argent,0.037131138639760544,fr,thementalist
mal,0.03632393997367879,fr,thementalist
dsol,0.035314941641076604,fr,thementalist
arriver,0.035113141974556165,fr,thementalist
cho,0.0347381914923603,fr,thementalist
falloir,0.03470954264151529,fr,thementalist
selby,0.03414358230054978,fr,thementalist
nuit,0.03390234397543354,fr,thementalist
homme,0.03390234397543354,fr,thementalist
sylvan,0.033108928291442206,fr,thementalist
ami,0.03289334564283135,fr,thementalist
passer,0.03289334564283135,fr,thementalist
regarder,0.03269154597631091,fr,thementalist
apr,0.03248974630979047,fr,thementalist
aider,0.031480747977188285,fr,thementalist
penser,0.03107714864414741,fr,thementalist
besoin,0.03107714864414741,fr,thementalist
trop,0.030875348977626973,fr,thementalist
fille,0.03026994997806566,fr,thementalist
question,0.030068150311545222,fr,thementalist
arme,0.029059151978943033,fr,thementalist
jour,0.029059151978943033,fr,thementalist
l,0.028857352312422594,fr,thementalist
problme,0.028857352312422594,fr,thementalist
main,0.02845375297938172,fr,thementalist
mari,0.02827728163747254,fr,thementalist
petit,0.028251953312861282,fr,thementalist
sortir,0.028251953312861282,fr,thementalist
voiture,0.028170505589471977,fr,thementalist
zacharie,0.02793565824590436,fr,thementalist
mcteer,0.02793565824590436,fr,thementalist
trouv,0.02764655431329997,fr,thementalist
voil,0.027242954980259092,fr,thementalist
fois,0.027242954980259092,fr,thementalist
police,0.0269042466469946,fr,thementalist
bureau,0.026893485033504198,fr,thementalist
attendre,0.02683935564721822,fr,thementalist
fait,0.02683935564721822,fr,thementalist
connaître,0.02663755598069778,fr,thementalist
raison,0.026233956647656903,fr,thementalist
parler,0.026032156981136468,fr,thementalist
vrai,0.026032156981136468,fr,thementalist
appel,0.025426757981575152,fr,thementalist
beaucoup,0.025426757981575152,fr,thementalist
entendre,0.025426757981575152,fr,thementalist
pre,0.025224958315054717,fr,thementalist
mois,0.025224958315054717,fr,thementalist
s,0.02502315864853428,fr,thementalist
truc,0.02502234274395052,fr,thementalist
ignorer,0.02502234274395052,fr,thementalist
tr,0.024417759648972966,fr,thementalist
t,0.024417759648972966,fr,thementalist
lisell,0.02379704220947409,fr,thementalist
flic,0.023247860074638412,fr,thementalist
kara,0.023213762996343274,fr,thementalist
monde,0.02320696164985034,fr,thementalist
m,0.022601562650289026,fr,thementalist
mettre,0.022399762983768588,fr,thementalist
tier,0.022399762983768588,fr,thementalist
maison,0.02219796331724815,fr,thementalist
mr,0.021794363984207275,fr,thementalist
stutzer,0.021727734191258948,fr,thementalist
rosemary,0.021700417355364567,fr,thementalist
vrit,0.021501162403849146,fr,thementalist
travail,0.02118896498464596,fr,thementalist
xander,0.02113681480609633,fr,thementalist
cody,0.021089744892638262,fr,thementalist
scarlett,0.02091079558122633,fr,thementalist
po,0.020881902303403917,fr,thementalist
procureur,0.02080582389303629,fr,thementalist
parl,0.020785365651605086,fr,thementalist
travailler,0.020785365651605086,fr,thementalist
noah,0.020725448854860114,fr,thementalist
beckworth,0.020693080182151383,fr,thementalist
gulbrand,0.020693080182151383,fr,thementalist
grand,0.020583565985084647,fr,thementalist
essayer,0.020583565985084647,fr,thementalist
porte,0.020583565985084647,fr,thementalist
genre,0.02038176631856421,fr,thementalist
tueur,0.020376890907353135,fr,thementalist
mieux,0.020179966652043774,fr,thementalist
pass,0.019978166985523335,fr,thementalist
coup,0.019936500722822364,fr,thementalist
famille,0.019776367319002897,fr,thementalist
minelli,0.01968509706286179,fr,thementalist
renfrew,0.01965842617304381,fr,thementalist
mentaliste,0.01965842617304381,fr,thementalist
dsole,0.01932619968028699,fr,thementalist
vol,0.01927761721572229,fr,thementalist
revenir,0.019170968319441584,fr,thementalist
arrte,0.019170968319441584,fr,thementalist
finir,0.018767368986400707,fr,thementalist
avocat,0.01863913151784612,fr,thementalist
undine,0.018623772163936243,fr,thementalist
donner,0.018512464956906484,fr,thementalist
kirby,0.01827829230042972,fr,thementalist
fils,0.018161969986839395,fr,thementalist
corps,0.01810559759521623,fr,thementalist
hypnose,0.018053587542735047,fr,thementalist
comprendre,0.017960170320318956,fr,thementalist
patrice,0.01788499714361997,fr,thementalist
faux,0.017636968942043797,fr,thementalist
mentir,0.017573065426222858,fr,thementalist
perdre,0.017556570987278083,fr,thementalist
preuve,0.017495296552680853,fr,thementalist
frre,0.017354771320757644,fr,thementalist
victime,0.017282641311148386,fr,thementalist
nicole,0.017231086254900677,fr,thementalist
chef,0.017226806873624177,fr,thementalist
meier,0.017000765645198816,fr,thementalist
sentir,0.01695117198771677,fr,thementalist
liaison,0.016780875744332638,fr,thementalist
type,0.016673331346510525,fr,thementalist
battaglia,0.016554464145721103,fr,thementalist
laisse,0.016547572654675893,fr,thementalist
moment,0.016345772988155455,fr,thementalist
tte,0.016345772988155455,fr,thementalist
aide,0.016345772988155455,fr,thementalist
acuit,0.016327009427139418,fr,thementalist
soir,0.016274694467610096,fr,thementalist
jan,0.01621302149253034,fr,thementalist
air,0.01614397332163502,fr,thementalist
enfant,0.01614397332163502,fr,thementalist
hector,0.01610962259294978,fr,thementalist
crime,0.015970035641947242,fr,thementalist
meilleur,0.01594217365511458,fr,thementalist
sang,0.015740373988594143,fr,thementalist
semaine,0.015740373988594143,fr,thementalist
rester,0.015664393425074714,fr,thementalist
anglet,0.015519810136613535,fr,thementalist
sloop,0.015519810136613535,fr,thementalist
arlov,0.015519810136613535,fr,thementalist
tiegler,0.015519810136613535,fr,thementalist
plat,0.01546095974422959,fr,thementalist
dur,0.01546095974422959,fr,thementalist
tai,0.01546095974422959,fr,thementalist
part,0.015336774655553267,fr,thementalist
ouvrir,0.015257526063384463,fr,thementalist
prison,0.01525019851460137,fr,thementalist
cas,0.01513497498903283,fr,thementalist
mauvais,0.01513497498903283,fr,thementalist
enqute,0.015051112602022201,fr,thementalist
suspect,0.014940827197693457,fr,thementalist
chercher,0.014933175322512392,fr,thementalist
carmen,0.014819820735367428,fr,thementalist
sand,0.014765309768837845,fr,thementalist
dieu,0.014731375655991955,fr,thementalist
peur,0.014731375655991955,fr,thementalist
amant,0.014511968271664118,fr,thementalist
jojimoreau,0.014445696364653145,fr,thementalist
oeil,0.01432777632295108,fr,thementalist
veux,0.01432777632295108,fr,thementalist
milonga,0.014316434227535847,fr,thementalist
blakely,0.014316434227535847,fr,thementalist
slocombe,0.014292469282585023,fr,thementalist
carri,0.014292469282585023,fr,thementalist
revoir,0.014240357659158834,fr,thementalist
demander,0.014125976656430641,fr,thementalist
souvenir,0.014125976656430641,fr,thementalist
vite,0.014125976656430641,fr,thementalist
chance,0.014125976656430641,fr,thementalist
quipe,0.013979348638384589,fr,thementalist
jim,0.013950108003922056,fr,thementalist
boulot,0.013945510326267192,fr,thementalist
sacramento,0.013928257797805965,fr,thementalist
million,0.013866953220400602,fr,thementalist
minute,0.013833490297468581,fr,thementalist
