mot,poids_tfidf,langue,serie
s,0.5747831456598377,en,theoc
know,0.3039596014187833,en,theoc
go,0.2628871109659689,en,theoc
t,0.21718020692186368,en,theoc
think,0.1850868928021751,en,theoc
m,0.18190073345816268,en,theoc
right,0.15820729397268862,en,theoc
marissa,0.15806458058041406,en,theoc
get,0.14888053662021597,en,theoc
want,0.14395647217946952,en,theoc
come,0.13370283210873868,en,theoc
good,0.12130577575203588,en,theoc
kirsten,0.11989243684127757,en,theoc
tell,0.10612807124055862,en,theoc
look,0.10172537832883238,en,theoc
talk,0.09558478032037211,en,theoc
summer,0.09248575408422953,en,theoc
mean,0.08660560398724625,en,theoc
thank,0.08660560398724625,en,theoc
guy,0.0861917210441362,en,theoc
sandy,0.08538761894476171,en,theoc
seth,0.08352032362604746,en,theoc
need,0.07716298629499131,en,theoc
time,0.0721230615144626,en,theoc
ryan,0.07127840119141916,en,theoc
let,0.07090652794674877,en,theoc
cohen,0.06921612925920038,en,theoc
thing,0.06754657809306296,en,theoc
sorry,0.06227493263296971,en,theoc
say,0.06210114212329631,en,theoc
love,0.059610144817977516,en,theoc
taylor,0.0579362466128856,en,theoc
mom,0.05740083521047654,en,theoc
work,0.05619226479440058,en,theoc
little,0.05543917258581583,en,theoc
maybe,0.05393298816864633,en,theoc
bullit,0.04967933886557669,en,theoc
leave,0.04918271423757329,en,theoc
sure,0.04785032033007719,en,theoc
man,0.047792390160186056,en,theoc
dad,0.04762141911079657,en,theoc
great,0.04732894880105698,en,theoc
okay,0.04724766981339358,en,theoc
way,0.04530139285486727,en,theoc
feel,0.04396899894737117,en,theoc
try,0.04356348775813323,en,theoc
night,0.042984186059221885,en,theoc
help,0.04281039554954848,en,theoc
happen,0.042057303340963734,en,theoc
friend,0.04182558266139919,en,theoc
home,0.04043525858401196,en,theoc
wait,0.03991388705499175,en,theoc
year,0.039334585356080407,en,theoc
find,0.03852356297760452,en,theoc
kind,0.03823391212814885,en,theoc
day,0.036322216521741404,en,theoc
fine,0.03597161257668557,en,theoc
caleb,0.035969783639464396,en,theoc
ask,0.035800844992721195,en,theoc
life,0.03516361312391871,en,theoc
like,0.033541568366966944,en,theoc
guess,0.03348363819707581,en,theoc
volchok,0.03331787995775203,en,theoc
atwood,0.03331787995775203,en,theoc
new,0.03174573310034177,en,theoc
girl,0.031514012420777233,en,theoc
d,0.03145608225088609,en,theoc
house,0.030818850382083617,en,theoc
wanna,0.03072729391327047,en,theoc
kid,0.030380774245771503,en,theoc
actually,0.03023954868317227,en,theoc
stay,0.029602316814369787,en,theoc
meet,0.029080945285349578,en,theoc
school,0.02907535035239851,en,theoc
trey,0.02903106175915851,en,theoc
bad,0.028791294435893903,en,theoc
hear,0.0286175039262205,en,theoc
lot,0.028327853076764827,en,theoc
well,0.02798027205741802,en,theoc
see,0.02798027205741802,en,theoc
party,0.027235889411736564,en,theoc
believe,0.027111319509051,en,theoc
nice,0.026937528999377597,en,theoc
take,0.02670580831981306,en,theoc
family,0.02572099543166377,en,theoc
zach,0.02566209338566748,en,theoc
long,0.0256051350918815,en,theoc
start,0.02548927475209923,en,theoc
people,0.025199623902643558,en,theoc
tonight,0.024958568236066434,en,theoc
listen,0.024794112713405616,en,theoc
call,0.024736182543514482,en,theoc
stop,0.02462032220373221,en,theoc
date,0.023957870924714717,en,theoc
che,0.02384696693356774,en,theoc
chrismukkah,0.023837339535474008,en,theoc
win,0.022766556767215902,en,theoc
away,0.0225927662575425,en,theoc
dinner,0.022251543637039677,en,theoc
lindsay,0.021793505738306698,en,theoc
idea,0.021318302519937538,en,theoc
plan,0.02131434836118544,en,theoc
live,0.021144512010264134,en,theoc
happy,0.020854861160808463,en,theoc
cooper,0.020836194331428665,en,theoc
pretty,0.020788789086526073,en,theoc
place,0.02068107065113506,en,theoc
money,0.02062314048124392,en,theoc
big,0.020204834336904558,en,theoc
make,0.020101768952223712,en,theoc
tomorrow,0.01944569316239658,en,theoc
hope,0.019059025894183287,en,theoc
turn,0.01871144487483648,en,theoc
mind,0.018421794025380807,en,theoc
old,0.018132143175925135,en,theoc
care,0.018132143175925135,en,theoc
probably,0.018074213006034,en,theoc
sound,0.01784249232646946,en,theoc
theresa,0.017721927945945185,en,theoc
totally,0.01733902347532748,en,theoc
bring,0.017031469947993576,en,theoc
hang,0.016993083213986203,en,theoc
coop,0.01697120238138662,en,theoc
fun,0.016717531554346386,en,theoc
break,0.016584314889251137,en,theoc
miss,0.01645216824908223,en,theoc
excuse,0.01645216824908223,en,theoc
cool,0.016377136116861202,en,theoc
run,0.016220447569517692,en,theoc
watch,0.016046657059844288,en,theoc
morning,0.016046657059844288,en,theoc
figure,0.01600036013962962,en,theoc
course,0.015883569189705314,en,theoc
have,0.01581493638027975,en,theoc
lose,0.01581493638027975,en,theoc
marry,0.015797288681874848,en,theoc
problem,0.015641145870606346,en,theoc
wasn,0.015641145870606346,en,theoc
spend,0.015591591814894556,en,theoc
today,0.01558321570071521,en,theoc
ready,0.015467355360932942,en,theoc
room,0.015467355360932942,en,theoc
exactly,0.015293564851259538,en,theoc
second,0.015293564851259538,en,theoc
car,0.015249724572584522,en,theoc
sleep,0.015235634681368404,en,theoc
give,0.015003914001803864,en,theoc
honey,0.014951823197146738,en,theoc
soon,0.014890846115348733,en,theoc
change,0.014772193322239327,en,theoc
dude,0.014621946782147186,en,theoc
worry,0.014598868740537972,en,theoc
woman,0.014540472642674789,en,theoc
minute,0.014482077790613671,en,theoc
job,0.01442461230289252,en,theoc
valentine,0.014369789194088734,en,theoc
pancake,0.014314589326086716,en,theoc
father,0.014304085097556943,en,theoc
