mot,poids_tfidf,langue,serie
c,0.5843469002160309,fr,thesarahconnorchronicles
j,0.24371843191790704,fr,thesarahconnorchronicles
savoir,0.2367079186478488,fr,thesarahconnorchronicles
taire,0.2061915667664188,fr,thesarahconnorchronicles
vouloir,0.17856189681971868,fr,thesarahconnorchronicles
n,0.16619040281373357,fr,thesarahconnorchronicles
skynet,0.16355948884203414,fr,thesarahconnorchronicles
bien,0.14639601240415737,fr,thesarahconnorchronicles
faire,0.14598362927062453,fr,thesarahconnorchronicles
non,0.14144741480176332,fr,thesarahconnorchronicles
connor,0.13054277419695406,fr,thesarahconnorchronicles
john,0.12786509621089,fr,thesarahconnorchronicles
ici,0.10969391351973481,fr,thesarahconnorchronicles
chose,0.10639484845147211,fr,thesarahconnorchronicles
ellison,0.10159795637774313,fr,thesarahconnorchronicles
tre,0.10144625084907806,fr,thesarahconnorchronicles
voir,0.0997967183149467,fr,thesarahconnorchronicles
devoir,0.09196143877782278,fr,thesarahconnorchronicles
t,0.0866004580418959,fr,thesarahconnorchronicles
venir,0.08288900984010036,fr,thesarahconnorchronicles
aller,0.08041471103890334,fr,thesarahconnorchronicles
oui,0.07629087970357495,fr,thesarahconnorchronicles
jamais,0.07299181463531226,fr,thesarahconnorchronicles
croire,0.0701051327005824,fr,thesarahconnorchronicles
tuer,0.06433176883112267,fr,thesarahconnorchronicles
mme,0.06350700256405699,fr,thesarahconnorchronicles
mourir,0.06268223629699132,fr,thesarahconnorchronicles
prendre,0.06226985316345848,fr,thesarahconnorchronicles
cromartie,0.061315968568716746,fr,thesarahconnorchronicles
avoir,0.05979555436226146,fr,thesarahconnorchronicles
savannah,0.05976350375161361,fr,thesarahconnorchronicles
turc,0.05959638385847379,fr,thesarahconnorchronicles
bon,0.05484695675986741,fr,thesarahconnorchronicles
trouver,0.05196027482513754,fr,thesarahconnorchronicles
pouvoir,0.0515478916916047,fr,thesarahconnorchronicles
falloir,0.0515478916916047,fr,thesarahconnorchronicles
besoin,0.0515478916916047,fr,thesarahconnorchronicles
connaître,0.05031074229100619,fr,thesarahconnorchronicles
vraiment,0.04907359289040768,fr,thesarahconnorchronicles
ouai,0.046473109881800145,fr,thesarahconnorchronicles
machine,0.04574809527893405,fr,thesarahconnorchronicles
futur,0.04523250899839924,fr,thesarahconnorchronicles
temps,0.0449497615550793,fr,thesarahconnorchronicles
passer,0.04412499528801363,fr,thesarahconnorchronicles
appeler,0.04330022902094795,fr,thesarahconnorchronicles
arriver,0.042887845887415114,fr,thesarahconnorchronicles
m,0.042887845887415114,fr,thesarahconnorchronicles
mort,0.042063079620349435,fr,thesarahconnorchronicles
fille,0.0416506964868166,fr,thesarahconnorchronicles
partir,0.0416506964868166,fr,thesarahconnorchronicles
sarah,0.04158832486039179,fr,thesarahconnorchronicles
s,0.04082593021975092,fr,thesarahconnorchronicles
jour,0.04041354708621809,fr,thesarahconnorchronicles
truc,0.04032506178675961,fr,thesarahconnorchronicles
rees,0.039857796724631925,fr,thesarahconnorchronicles
henry,0.03973850904084181,fr,thesarahconnorchronicles
an,0.03958878081915241,fr,thesarahconnorchronicles
heure,0.03958878081915241,fr,thesarahconnorchronicles
dire,0.03958878081915241,fr,thesarahconnorchronicles
quelqu,0.03958878081915241,fr,thesarahconnorchronicles
vie,0.03917639768561958,fr,thesarahconnorchronicles
aimer,0.03917639768561958,fr,thesarahconnorchronicles
mr,0.03876401455208674,fr,thesarahconnorchronicles
derek,0.03858086143938866,fr,thesarahconnorchronicles
baum,0.03820977500903497,fr,thesarahconnorchronicles
weaver,0.037588434707168474,fr,thesarahconnorchronicles
cameron,0.03737312301250348,fr,thesarahconnorchronicles
monde,0.03670209888442255,fr,thesarahconnorchronicles
homme,0.03628971575088971,fr,thesarahconnorchronicles
accord,0.0350525663502912,fr,thesarahconnorchronicles
mtal,0.03465480172707495,fr,thesarahconnorchronicles
fois,0.034227800083225526,fr,thesarahconnorchronicles
penser,0.033815416949692687,fr,thesarahconnorchronicles
fils,0.03340303381615985,fr,thesarahconnorchronicles
trs,0.03340303381615985,fr,thesarahconnorchronicles
lazlo,0.03310132512279262,fr,thesarahconnorchronicles
sr,0.032578267549094174,fr,thesarahconnorchronicles
humain,0.0325311769172601,fr,thesarahconnorchronicles
sherman,0.03218327552866107,fr,thesarahconnorchronicles
pass,0.031753501282028494,fr,thesarahconnorchronicles
aider,0.031753501282028494,fr,thesarahconnorchronicles
bedell,0.0317151561562328,fr,thesarahconnorchronicles
l,0.03092873501496282,fr,thesarahconnorchronicles
plat,0.030347726911685073,fr,thesarahconnorchronicles
mal,0.02969158561436431,fr,thesarahconnorchronicles
nom,0.02969158561436431,fr,thesarahconnorchronicles
apr,0.02969158561436431,fr,thesarahconnorchronicles
greenway,0.029520175308695367,fr,thesarahconnorchronicles
moment,0.028454436213765796,fr,thesarahconnorchronicles
kyle,0.028131878132887565,fr,thesarahconnorchronicles
maison,0.02804205308023296,fr,thesarahconnorchronicles
enfant,0.02804205308023296,fr,thesarahconnorchronicles
fischer,0.027767867960003932,fr,thesarahconnorchronicles
veux,0.02762966994670012,fr,thesarahconnorchronicles
beaucoup,0.02762966994670012,fr,thesarahconnorchronicles
ordinateur,0.02722253217482239,fr,thesarahconnorchronicles
ami,0.027217286813167284,fr,thesarahconnorchronicles
andy,0.02672017577404672,fr,thesarahconnorchronicles
pre,0.026392520546101608,fr,thesarahconnorchronicles
arme,0.026392520546101608,fr,thesarahconnorchronicles
petit,0.026392520546101608,fr,thesarahconnorchronicles
type,0.025980211308410724,fr,thesarahconnorchronicles
sortir,0.02598013741256877,fr,thesarahconnorchronicles
regarder,0.02556775427903593,fr,thesarahconnorchronicles
dsol,0.02556775427903593,fr,thesarahconnorchronicles
attendre,0.02556775427903593,fr,thesarahconnorchronicles
guerre,0.02556441058305193,fr,thesarahconnorchronicles
souvenir,0.025155371145503095,fr,thesarahconnorchronicles
mettre,0.02433060487843742,fr,thesarahconnorchronicles
charley,0.02431073260716089,fr,thesarahconnorchronicles
puce,0.023937054153723138,fr,thesarahconnorchronicles
parler,0.023918221744904582,fr,thesarahconnorchronicles
air,0.023918221744904582,fr,thesarahconnorchronicles
entendre,0.023918221744904582,fr,thesarahconnorchronicles
scurit,0.023888055790720654,fr,thesarahconnorchronicles
stark,0.023879525371058787,fr,thesarahconnorchronicles
serrano,0.023770519986591188,fr,thesarahconnorchronicles
sarkissian,0.023257781181237388,fr,thesarahconnorchronicles
famille,0.023093455477838906,fr,thesarahconnorchronicles
problme,0.023093455477838906,fr,thesarahconnorchronicles
rester,0.022864725755379164,fr,thesarahconnorchronicles
frre,0.02268107234430607,fr,thesarahconnorchronicles
fait,0.02268107234430607,fr,thesarahconnorchronicles
chronicle,0.0225742517066494,fr,thesarahconnorchronicles
dsole,0.022449003468917726,fr,thesarahconnorchronicles
trouv,0.022268689210773233,fr,thesarahconnorchronicles
arriv,0.022268689210773233,fr,thesarahconnorchronicles
tai,0.021617558895994846,fr,thesarahconnorchronicles
histoire,0.021443922943707557,fr,thesarahconnorchronicles
apprendre,0.021443922943707557,fr,thesarahconnorchronicles
endosquelette,0.021143437437488536,fr,thesarahconnorchronicles
comprendre,0.021031539810174717,fr,thesarahconnorchronicles
vien,0.021031539810174717,fr,thesarahconnorchronicles
tte,0.02061915667664188,fr,thesarahconnorchronicles
femme,0.02061915667664188,fr,thesarahconnorchronicles
perdre,0.02061915667664188,fr,thesarahconnorchronicles
aide,0.02061915667664188,fr,thesarahconnorchronicles
revenir,0.02061915667664188,fr,thesarahconnorchronicles
genre,0.02061915667664188,fr,thesarahconnorchronicles
trop,0.02061915667664188,fr,thesarahconnorchronicles
donne,0.020206773543109045,fr,thesarahconnorchronicles
porte,0.019794390409576205,fr,thesarahconnorchronicles
demander,0.01938200727604337,fr,thesarahconnorchronicles
raison,0.01938200727604337,fr,thesarahconnorchronicles
chercher,0.01938200727604337,fr,thesarahconnorchronicles
jesse,0.01937046680420915,fr,thesarahconnorchronicles
sang,0.018969624142510532,fr,thesarahconnorchronicles
nouveau,0.018969624142510532,fr,thesarahconnorchronicles
arrter,0.018557241008977692,fr,thesarahconnorchronicles
question,0.018557241008977692,fr,thesarahconnorchronicles
attend,0.01829178060430333,fr,thesarahconnorchronicles
robot,0.018266215762399902,fr,thesarahconnorchronicles
abraham,0.018207418903527336,fr,thesarahconnorchronicles
vrai,0.018144857875444856,fr,thesarahconnorchronicles
agent,0.017882303715413182,fr,thesarahconnorchronicles
good,0.017746387137743506,fr,thesarahconnorchronicles
finir,0.01773247474191202,fr,thesarahconnorchronicles
dieu,0.01773247474191202,fr,thesarahconnorchronicles
travailler,0.01773247474191202,fr,thesarahconnorchronicles
mission,0.01760359716595316,fr,thesarahconnorchronicles
coltan,0.0175242309473608,fr,thesarahconnorchronicles
