mot,poids_tfidf,langue,serie
s,0.5521053946665647,en,thesopranos
fuck,0.391677744935915,en,thesopranos
know,0.24973228209478965,en,thesopranos
get,0.2002684001339859,en,thesopranos
fucking,0.19059126847693603,en,thesopranos
t,0.1880833950655928,en,thesopranos
go,0.18695738799656636,en,thesopranos
fuckin,0.1691615172748949,en,thesopranos
shit,0.14616451493538932,en,thesopranos
come,0.13198411430516901,en,thesopranos
tony,0.1308491378640052,en,thesopranos
think,0.13001360193437278,en,thesopranos
right,0.12764094418178137,en,thesopranos
m,0.12651493711275494,en,thesopranos
want,0.12140769076395651,en,thesopranos
tell,0.1084183949319731,en,thesopranos
good,0.09993312737609537,en,thesopranos
say,0.08352559579885316,en,thesopranos
look,0.08155508342805691,en,thesopranos
talk,0.0794237129045426,en,thesopranos
guy,0.07722402942558315,en,thesopranos
soprano,0.07667997185742285,en,thesopranos
thing,0.06900814751604815,en,thesopranos
let,0.0688875039015096,en,thesopranos
time,0.06824407129063736,en,thesopranos
kid,0.058944975814604644,en,thesopranos
man,0.05191696878975418,en,thesopranos
little,0.05151482340795902,en,thesopranos
mean,0.047010795131853314,en,thesopranos
paulie,0.04665653930679393,en,thesopranos
thank,0.04588478806282689,en,thesopranos
hear,0.043994704768389674,en,thesopranos
maybe,0.042627410470286155,en,thesopranos
way,0.041340545248541666,en,thesopranos
year,0.041300330710362154,en,thesopranos
need,0.040335181794053786,en,thesopranos
friend,0.037801665888744326,en,thesopranos
carm,0.03737801163132564,en,thesopranos
day,0.03711801873969257,en,thesopranos
d,0.036957160586974507,en,thesopranos
mother,0.036555015205179356,en,thesopranos
work,0.03635394251428178,en,thesopranos
people,0.035871368056127596,en,thesopranos
meadow,0.03581866570577108,en,thesopranos
house,0.03510729183071681,en,thesopranos
happen,0.03474536098710117,en,thesopranos
sorry,0.033780212070792806,en,thesopranos
love,0.03293570676902298,en,thesopranos
leave,0.03205098692907365,en,thesopranos
home,0.031206481627303828,en,thesopranos
ask,0.031085838012765283,en,thesopranos
christopher,0.030963771447178445,en,thesopranos
old,0.030563049016431584,en,thesopranos
artie,0.03038650726533429,en,thesopranos
try,0.03036197632553401,en,thesopranos
see,0.03016090363463643,en,thesopranos
feel,0.03000004548191837,en,thesopranos
take,0.02959790010012322,en,thesopranos
money,0.02907511110378952,en,thesopranos
life,0.028431678492917275,en,thesopranos
father,0.02839990580833784,en,thesopranos
