mot,poids_tfidf,langue,serie
c,0.5059223750108053,fr,thevampirediaries
j,0.2865172633989765,fr,thevampirediaries
stefan,0.281633135333291,fr,thevampirediaries
damon,0.22167011712778964,fr,thevampirediaries
elener,0.21020744465258942,fr,thevampirediaries
savoir,0.20176666146264258,fr,thevampirediaries
vouloir,0.18886047842665266,fr,thevampirediaries
taire,0.18412821131345636,fr,thevampirediaries
n,0.1699314099738674,fr,thevampirediaries
bien,0.1651991428606711,fr,thevampirediaries
mystic,0.15844069260125135,fr,thevampirediaries
vampire,0.14008977766282038,fr,thevampirediaries
faire,0.12992224256229865,fr,thevampirediaries
devoir,0.09679637276992448,fr,thevampirediaries
tre,0.09507554836512583,fr,thevampirediaries
verveine,0.09343938281612259,fr,thevampirediaries
non,0.09206410565672818,fr,thevampirediaries
aller,0.08647142634113253,fr,thevampirediaries
gilbert,0.08431586857255978,fr,thevampirediaries
isobel,0.08393124731247316,fr,thevampirediaries
voir,0.07872771651953858,fr,thevampirediaries
ici,0.07657668601354026,fr,thevampirediaries
salvatore,0.07241994908570339,fr,thevampirediaries
chose,0.06926318229314596,fr,thevampirediaries
t,0.06668194568594797,fr,thevampirediaries
katherine,0.06560614514634956,fr,thevampirediaries
vicki,0.06302086998187993,fr,thevampirediaries
jeremy,0.0625360303118843,fr,thevampirediaries
fall,0.06235206908818566,fr,thevampirediaries
vraiment,0.06194967857275167,fr,thevampirediaries
croire,0.061089266370352335,fr,thevampirediaries
bon,0.06065906026915267,fr,thevampirediaries
mme,0.05248514434635905,fr,thevampirediaries
venir,0.05205493824515939,fr,thevampirediaries
oui,0.051624732143959726,fr,thevampirediaries
sang,0.0494737016379614,fr,thevampirediaries
passer,0.04818308333436241,fr,thevampirediaries
caroline,0.04757642871817599,fr,thevampirediaries
bonnie,0.046573604440353446,fr,thevampirediaries
m,0.044741434524765096,fr,thevampirediaries
aimer,0.04431122842356543,fr,thevampirediaries
ville,0.04153414026630193,fr,thevampirediaries
alaric,0.040625818615705474,fr,thevampirediaries
jamais,0.040009167411568784,fr,thevampirediaries
frre,0.03957896131036912,fr,thevampirediaries
sortir,0.03914875520916945,fr,thevampirediaries
besoin,0.03871854910796979,fr,thevampirediaries
truc,0.038598371769554586,fr,thevampirediaries
accord,0.03828834300677013,fr,thevampirediaries
partir,0.037858136905570466,fr,thevampirediaries
mal,0.0374279308043708,fr,thevampirediaries
prendre,0.036997724703171135,fr,thevampirediaries
dsol,0.03656751860197147,fr,thevampirediaries
mr,0.036137312500771804,fr,thevampirediaries
pass,0.03570710639957214,fr,thevampirediaries
