mot,poids_tfidf,langue,serie
l,0.5004088525592653,en,trucalling
tru,0.4781864734501632,en,trucalling
s,0.36364211825676385,en,trucalling
instrumental,0.2165766559283973,en,trucalling
know,0.20640805081821934,en,trucalling
t,0.18156547709418402,en,trucalling
go,0.13576517656592138,en,trucalling
davls,0.12704577124526567,en,trucalling
m,0.1219637467192351,en,trucalling
think,0.1185900638678229,en,trucalling
right,0.11051367158716945,en,trucalling
get,0.10979804189141534,en,trucalling
harrison,0.10852010138825452,en,trucalling
music,0.09690711463238015,en,trucalling
want,0.09088497136077117,en,trucalling
tell,0.08567109786313414,en,trucalling
luc,0.08533544417287772,en,trucalling
look,0.08393314003058845,en,trucalling
come,0.08362644158955097,en,trucalling
time,0.06931384767446891,en,trucalling
good,0.0666557945188108,en,trucalling
help,0.06481560387258596,en,trucalling
thing,0.06185085227589039,en,trucalling
guy,0.058225490333323554,en,trucalling
day,0.056534745964574196,en,trucalling
need,0.05520571938674514,en,trucalling
talk,0.052649899044766205,en,trucalling
thank,0.05121863965325799,en,trucalling
lindsay,0.04962618683275904,en,trucalling
llndsay,0.049348357425847,en,trucalling
say,0.049276216193354,en,trucalling
let,0.04743602554712916,en,trucalling
ask,0.04365341144100033,en,trucalling
mean,0.04365341144100033,en,trucalling
sorry,0.04263108330420875,en,trucalling
work,0.04181322079477549,en,trucalling
way,0.04027972858958812,en,trucalling
sure,0.03987079733487149,en,trucalling
candace,0.03927854915299532,en,trucalling
today,0.03915516763911739,en,trucalling
find,0.03649711448345929,en,trucalling
maybe,0.03639488166978013,en,trucalling
happen,0.03383906132780119,en,trucalling
life,0.03302119881836793,en,trucalling
suspenseful,0.032615223850255046,en,trucalling
davy,0.031837531947965146,en,trucalling
man,0.03179440505421804,en,trucalling
tonight,0.031683938561910416,en,trucalling
people,0.03138547379950141,en,trucalling
meet,0.03128324098582225,en,trucalling
little,0.031078775358463935,en,trucalling
tense,0.03085992953136093,en,trucalling
okay,0.030409457628121327,en,trucalling
try,0.03036314566270983,en,trucalling
save,0.029647515966955727,en,trucalling
friend,0.029545283153276567,en,trucalling
leave,0.02944305033959741,en,trucalling
girl,0.02893188627120162,en,trucalling
carly,0.02804001242478311,en,trucalling
die,0.027807325320730887,en,trucalling
nice,0.02637606592922268,en,trucalling
win,0.02596713467450605,en,trucalling
lt,0.02589022361301818,en,trucalling
see,0.025660436233468576,en,trucalling
wait,0.025353737792431105,en,trucalling
great,0.024944806537714474,en,trucalling
d,0.024638108096677,en,trucalling
love,0.024331409655639527,en,trucalling
hear,0.023615779959885425,en,trucalling
year,0.023104615891489634,en,trucalling
fine,0.022671872342179083,en,trucalling
bad,0.022286753382056372,en,trucalling
jack,0.021968456281617817,en,trucalling
kill,0.021468890872623114,en,trucalling
take,0.021468890872623114,en,trucalling
actually,0.021264425245264798,en,trucalling
night,0.02116219243158564,en,trucalling
guess,0.02065102836318985,en,trucalling
harrlson,0.020474318506468435,en,trucalling
call,0.020446562735831536,en,trucalling
sister,0.0197913852345511,en,trucalling
believe,0.01973093304007743,en,trucalling
job,0.0193220017853608,en,trucalling
stop,0.018810837716965012,en,trucalling
miss,0.018606372089606697,en,trucalling
well,0.018606372089606697,en,trucalling
start,0.018197440834890066,en,trucalling
run,0.01809520802121091,en,trucalling
feel,0.01799297520753175,en,trucalling
place,0.017379578325456804,en,trucalling
minute,0.01731306615220948,en,trucalling
phone,0.017205913425558123,en,trucalling
kind,0.016970647070740173,en,trucalling
listen,0.016561715816023545,en,trucalling
stay,0.016561715816023545,en,trucalling
body,0.01638558046548397,en,trucalling
car,0.01633574654280408,en,trucalling
change,0.016152784561306914,en,trucalling
death,0.01576725667433363,en,trucalling
upbeat,0.01561841189900177,en,trucalling
understand,0.01543715486555281,en,trucalling
lot,0.015334922051873652,en,trucalling
yesterday,0.015288583302880744,en,trucalling
new,0.015232689238194494,en,trucalling
question,0.015130456424515337,en,trucalling
probably,0.014925990797157021,en,trucalling
remember,0.014925990797157021,en,trucalling
dead,0.014823757983477863,en,trucalling
hour,0.014721525169798706,en,trucalling
kid,0.01466028535892674,en,trucalling
school,0.014450852710942074,en,trucalling
meredith,0.01436000694525734,en,trucalling
away,0.014210361101402917,en,trucalling
woman,0.014108128287723759,en,trucalling
long,0.014005895474044601,en,trucalling
check,0.013903662660365444,en,trucalling
home,0.013903662660365444,en,trucalling
live,0.013903662660365444,en,trucalling
somber,0.013891816493259164,en,trucalling
lose,0.013801429846686286,en,trucalling
crazy,0.01371239308253172,en,trucalling
suppose,0.013699197033007128,en,trucalling
play,0.013494731405648813,en,trucalling
chance,0.013494731405648813,en,trucalling
wrong,0.01318803296461134,en,trucalling
pace,0.013124668848477529,en,trucalling
brother,0.01277910170989471,en,trucalling
mind,0.012676868896215552,en,trucalling
party,0.012565958879080064,en,trucalling
excuse,0.012370170455178079,en,trucalling
dad,0.01215416659588039,en,trucalling
late,0.011961239200461448,en,trucalling
fast,0.01185900638678229,en,trucalling
hell,0.01185900638678229,en,trucalling
give,0.01185900638678229,en,trucalling
wasn,0.011756773573103133,en,trucalling
doctor,0.011716910369551853,en,trucalling
police,0.01166240848103578,en,trucalling
relive,0.01165847067320133,en,trucalling
big,0.01164509806666471,en,trucalling
couid,0.011604736486950274,en,trucalling
dramatic,0.011601590451017066,en,trucalling
intensifie,0.011573143946864692,en,trucalling
money,0.011552307945744817,en,trucalling
like,0.011552307945744817,en,trucalling
gardez,0.011549615567751425,en,trucalling
heip,0.011353003481111614,en,trucalling
sound,0.011347842318386502,en,trucalling
hard,0.011347842318386502,en,trucalling
old,0.011347842318386502,en,trucalling
exclaim,0.01122244261514152,en,trucalling
hope,0.011143376691028186,en,trucalling
teii,0.011121205799994014,en,trucalling
avery,0.011085586307472391,en,trucalling
ii,0.011085586307472391,en,trucalling
lexi,0.010937789242605592,en,trucalling
continue,0.010877329193430426,en,trucalling
break,0.010820666345130925,en,trucalling
morning,0.010734445436311557,en,trucalling
exactly,0.010529979808953241,en,trucalling
heiio,0.01049965051613766,en,trucalling
geoffrey,0.010433492995268133,en,trucalling
bring,0.010427746995274084,en,trucalling
later,0.010408450484364033,en,trucalling
rhythmic,0.010318932078788525,en,trucalling
mark,0.010271818003256664,en,trucalling
pick,0.010223281367915768,en,trucalling
mom,0.010214991459740018,en,trucalling
bridget,0.01021203854934731,en,trucalling
idea,0.01012104855423661,en,trucalling
morgue,0.010097634290408936,en,trucalling
course,0.009996234623597139,en,trucalling
worry,0.009996234623597139,en,trucalling
father,0.009972649514568525,en,trucalling
second,0.009916582926878295,en,trucalling
care,0.009916582926878295,en,trucalling
heart,0.009893180658405417,en,trucalling
soon,0.009893180658405417,en,trucalling
have,0.009814350113199137,en,trucalling
deal,0.009790126693213694,en,trucalling
date,0.009764885983015012,en,trucalling
answer,0.00971211729951998,en,trucalling
caii,0.00967061373912523,en,trucalling
ago,0.009609884485840822,en,trucalling
reason,0.009609884485840822,en,trucalling
hand,0.009609884485840822,en,trucalling
mcat,0.009525817023949142,en,trucalling
figure,0.009480964797638524,en,trucalling
schenkman,0.009449685464523893,en,trucalling
shouid,0.009449685464523893,en,trucalling
make,0.009405418858482506,en,trucalling
hurt,0.0093779108324468,en,trucalling
month,0.009303186044803348,en,trucalling
turn,0.009303186044803348,en,trucalling
jensen,0.00928041153858054,en,trucalling
forget,0.009274856867255078,en,trucalling
hold,0.009274856867255078,en,trucalling
