mot,poids_tfidf,langue,serie
s,0.5455729512428281,en,uglybetty
know,0.32457223125581514,en,uglybetty
t,0.24372471675239377,en,uglybetty
go,0.22566373666430206,en,uglybetty
m,0.20819384319727519,en,uglybetty
betty,0.19486041093597006,en,uglybetty
think,0.18212035557919373,en,uglybetty
want,0.15545578134004745,en,uglybetty
get,0.14612974798546918,en,uglybetty
right,0.1391023848239208,en,uglybetty
look,0.13772318270810285,en,uglybetty
come,0.12708362352893612,en,uglybetty
good,0.12051599440599368,en,uglybetty
tell,0.09647847181602437,en,uglybetty
need,0.09490224082651819,en,uglybetty
mean,0.08426268164735144,en,uglybetty
thank,0.08235806920169814,en,uglybetty
time,0.08097886708588023,en,uglybetty
thing,0.0806504856297331,en,uglybetty
mode,0.07977318550864215,en,uglybetty
talk,0.07913993093145634,en,uglybetty
work,0.07854884431039152,en,uglybetty
meade,0.07820624453365892,en,uglybetty
let,0.07184986260499024,en,uglybetty
love,0.06961686870318981,en,uglybetty
little,0.06685846447155398,en,uglybetty
say,0.06410006023991817,en,uglybetty
sorry,0.06324626845393565,en,uglybetty
alexis,0.06108281577847327,en,uglybetty
wilhelmina,0.05901955745605858,en,uglybetty
daniel,0.05765433666519737,en,uglybetty
way,0.05680999191345206,en,uglybetty
maybe,0.05536511350640473,en,uglybetty
slater,0.05380117430242485,en,uglybetty
wait,0.05267238556599833,en,uglybetty
try,0.05083344941157445,en,uglybetty
guy,0.04971906467224098,en,uglybetty
help,0.04846910292731517,en,uglybetty
find,0.047878016306250354,en,uglybetty
great,0.04695854822903841,en,uglybetty
magazine,0.04433590485144884,en,uglybetty
leave,0.04380608625002604,en,uglybetty
hilda,0.04255620721831593,en,uglybetty
editor,0.04240092370497902,en,uglybetty
people,0.042164178969290436,en,uglybetty
papi,0.0421431304269268,en,uglybetty
new,0.04039091910609598,en,uglybetty
day,0.04032524281486655,en,uglybetty
feel,0.04025956652363713,en,uglybetty
big,0.03925886198487204,en,uglybetty
okay,0.03886116002911605,en,uglybetty
sure,0.03881468811658979,en,uglybetty
actually,0.038354954077983824,en,uglybetty
night,0.038289277786754394,en,uglybetty
year,0.03769819116568958,en,uglybetty
girl,0.037041428253395334,en,uglybetty
fashion,0.0364557561291976,en,uglybetty
woman,0.03618763646741282,en,uglybetty
gio,0.03603299297317261,en,uglybetty
father,0.03543660849284747,en,uglybetty
bradford,0.03499398060489144,en,uglybetty
like,0.03467708176913606,en,uglybetty
