mot,poids_tfidf,langue,serie
s,0.5686913846151785,en,veronicamars
know,0.31442249168859965,en,veronicamars
t,0.22548373523677745,en,veronicamars
think,0.19177803777094166,en,veronicamars
go,0.18611941702850207,en,veronicamars
get,0.17627833747643323,en,veronicamars
m,0.17467916204922204,en,veronicamars
want,0.15216769257386456,en,veronicamars
right,0.12473568332247263,en,veronicamars
come,0.11895404908563219,en,veronicamars
look,0.11058913146637367,en,veronicamars
mar,0.11058629861052487,en,veronicamars
tell,0.10702174012874871,en,veronicamars
time,0.10074805191430482,en,veronicamars
good,0.09693463358787814,en,veronicamars
logan,0.09610825207019745,en,veronicamars
guy,0.09300116993172657,en,veronicamars
echoll,0.08970065911149434,en,veronicamars
find,0.08918478344062393,en,veronicamars
need,0.08401821667578778,en,veronicamars
let,0.08008178485496024,en,veronicamars
dad,0.07887350202782104,en,veronicamars
say,0.07737548797814131,en,veronicamars
thing,0.07663740701173614,en,veronicamars
man,0.07048673229169311,en,veronicamars
mean,0.06507413853805526,en,veronicamars
neptune,0.06372015214895531,en,veronicamars
talk,0.0633519496164432,en,veronicamars
weevil,0.06107572944010611,en,veronicamars
night,0.06027661225642169,en,veronicamars
wallace,0.06024494409984062,en,veronicamars
thank,0.05855442333480964,en,veronicamars
work,0.05793935586280534,en,veronicamars
girl,0.057693328874003615,en,veronicamars
kane,0.05676020721667541,en,veronicamars
little,0.05560209946918899,en,veronicamars
day,0.05437196452518038,en,veronicamars
sure,0.054125937536378656,en,veronicamars
way,0.05314182958117177,en,veronicamars
friend,0.05314182958117177,en,veronicamars
leave,0.051050600176357146,en,veronicamars
help,0.05068155969315456,en,veronicamars
school,0.05027472753747165,en,veronicamars
hear,0.04957443824354682,en,veronicamars
year,0.04920539776034424,en,veronicamars
see,0.04920539776034424,en,veronicamars
sheriff,0.04898325210109017,en,veronicamars
try,0.048836357277141654,en,veronicamars
d,0.048713343782740795,en,veronicamars
ask,0.046991154861128745,en,veronicamars
hearst,0.046840917691321274,en,veronicamars
sorry,0.04613006040032272,en,veronicamars
maybe,0.045884033411521,en,veronicamars
love,0.042808696051499485,en,veronicamars
wait,0.04133253411868916,en,veronicamars
guess,0.04022541266908141,en,veronicamars
take,0.03961034519707711,en,veronicamars
people,0.03948733170267625,en,veronicamars
car,0.039060565254677215,en,veronicamars
kid,0.038178552490861925,en,veronicamars
room,0.0371500753090599,en,veronicamars
piz,0.036006602601092806,en,veronicamars
call,0.03505884590424527,en,veronicamars
kind,0.0343207649378401,en,veronicamars
bad,0.0337056974658358,en,veronicamars
woody,0.03357982641917036,en,veronicamars
remember,0.0330906299938315,en,veronicamars
life,0.0330906299938315,en,veronicamars
home,0.03296761649943064,en,veronicamars
mom,0.03277699855237375,en,veronicamars
happen,0.03198350854422375,en,veronicamars
long,0.03198350854422375,en,veronicamars
boy,0.03136844107221945,en,veronicamars
miss,0.03112241408341773,en,veronicamars
money,0.03112241408341773,en,veronicamars
big,0.031000389977242186,en,veronicamars
like,0.030015292633809983,en,veronicamars
run,0.030015292633809983,en,veronicamars
believe,0.029646252150607403,en,veronicamars
