mot,poids_tfidf,langue,serie
c,0.5989419388641362,fr,weeds
j,0.2524183640613533,fr,weeds
n,0.19917275314260197,fr,weeds
non,0.17909887309034545,fr,weeds
bien,0.17753282571038217,fr,weeds
faire,0.17297705151412537,fr,weeds
vouloir,0.1702720605850979,fr,weeds
savoir,0.1349648105641077,fr,weeds
botwin,0.13430888255974407,fr,weeds
aller,0.11489093051185117,fr,weeds
taire,0.11204357163919067,fr,weeds
devoir,0.10606411800660362,fr,weeds
tre,0.1059217500629706,fr,weeds
bon,0.09752204138862212,fr,weeds
ici,0.09296626719236532,fr,weeds
oui,0.09253916336146624,fr,weeds
ok,0.09189077059967118,fr,weeds
sila,0.09160302068661166,fr,weeds
nancy,0.08599638917851267,fr,weeds
t,0.08527839823618197,fr,weeds
putain,0.07957603251871352,fr,weeds
voir,0.07773289722363165,fr,weeds
vraiment,0.07702105750546652,fr,weeds
merde,0.07668194789252938,fr,weeds
ouai,0.07307319457432974,fr,weeds
petit,0.07218054742194367,fr,weeds
chose,0.07132633976014552,fr,weeds
prendre,0.07047213209834738,fr,weeds
mme,0.0689060847183841,fr,weeds
celia,0.06855521454372974,fr,weeds
judah,0.06715444127987204,fr,weeds
doug,0.06268425495622545,fr,weeds
besoin,0.06164531959309982,fr,weeds
andy,0.06149777022279836,fr,weeds
agrestic,0.059855045488581594,fr,weeds
hoder,0.05982707674707407,fr,weeds
croire,0.058940328664072346,fr,weeds
weed,0.05870696055698567,fr,weeds
aimer,0.05822848894590722,fr,weeds
maison,0.057231913340476046,fr,weeds
venir,0.053815082693283445,fr,weeds
conrad,0.05312964391507882,fr,weeds
falloir,0.0523914032569532,fr,weeds
beuh,0.05067540009833937,fr,weeds
argent,0.04925930849702665,fr,weeds
passer,0.048832204666127574,fr,weeds
heylia,0.04817601222251689,fr,weeds
heure,0.0478356290606964,fr,weeds
avoir,0.0478356290606964,fr,weeds
pouvoir,0.047693261117063374,fr,weeds
jamais,0.04712378934253127,fr,weeds
trs,0.04541537401893497,fr,weeds
majestic,0.04481929246823637,fr,weeds
turn,0.044691057582304836,fr,weeds
fois,0.044561166357136826,fr,weeds
temps,0.043279854864439596,fr,weeds
trop,0.04313748692080657,fr,weeds
mettre,0.04185617542810935,fr,weeds
vie,0.04085959982267817,fr,weeds
mr,0.04085959982267817,fr,weeds
celier,0.04076354211165133,fr,weeds
accord,0.040574863935412125,fr,weeds
femme,0.039435920386347925,fr,weeds
appeler,0.0375851371191186,fr,weeds
grand,0.0375851371191186,fr,weeds
bite,0.03732353028717327,fr,weeds
cul,0.03705688344445616,fr,weeds
dieu,0.03673092945732045,fr,weeds
regarder,0.036588561513687425,fr,weeds
herbe,0.03650150367264318,fr,weeds
siler,0.03530152265246427,fr,weeds
veux,0.03459541030282507,fr,weeds
m,0.034310674415559024,fr,weeds
salut,0.034168306471926,fr,weeds
voiture,0.03406980245900384,fr,weeds
mec,0.03364765016756619,fr,weeds
lupiter,0.03361071727363711,fr,weeds
homme,0.0330293629228618,fr,weeds
gros,0.0318904193737976,fr,weeds
enfant,0.0318904193737976,fr,weeds
fille,0.03160568348653155,fr,weeds
dire,0.03146331554289852,fr,weeds
drogue,0.03134117356505508,fr,weeds
esteban,0.031183238324783157,fr,weeds
partir,0.031178579655632473,fr,weeds
s,0.0307514758247334,fr,weeds
bubbie,0.03065746232341984,fr,weeds
beaucoup,0.030609107881100373,fr,weeds
arriver,0.02989726816293525,fr,weeds
vendre,0.029515315792596215,fr,weeds
truc,0.029278228267813487,fr,weeds
trouver,0.0290430605011371,fr,weeds
salope,0.028589173044509985,fr,weeds
apr,0.028473588726605,fr,weeds
ami,0.0279041169520729,fr,weeds
sortir,0.027477013121173822,fr,weeds
famille,0.027192277233907772,fr,weeds
nom,0.026907541346641722,fr,weeds
jour,0.026622805459375672,fr,weeds
an,0.026338069572109622,fr,weeds
mal,0.026338069572109622,fr,weeds
mourir,0.026053333684843572,fr,weeds
voil,0.025768597797577526,fr,weeds
dsole,0.02569021009773831,fr,weeds
super,0.025670423642878314,fr,weeds
bonjour,0.0256262298539445,fr,weeds
laisse,0.0256262298539445,fr,weeds
weeds,0.025544145127964206,fr,weeds
dean,0.024984146917649566,fr,weeds
sr,0.024914390135779375,fr,weeds
nanc,0.024871930782491464,fr,weeds
problme,0.02477202219214635,fr,weeds
penser,0.02477202219214635,fr,weeds
fils,0.024629654248513325,fr,weeds
mieux,0.024629654248513325,fr,weeds
air,0.0244872863048803,fr,weeds
monde,0.024344918361247275,fr,weeds
wilson,0.023745727420034817,fr,weeds
quelqu,0.02363307864308215,fr,weeds
sanjay,0.023433330873319263,fr,weeds
aguatecture,0.023358066532129403,fr,weeds
finir,0.0233483427558161,fr,weeds
affaire,0.023063606868550048,fr,weeds
prend,0.022921238924917025,fr,weeds
donne,0.022921238924917025,fr,weeds
l,0.022636503037650975,fr,weeds
tuer,0.022351767150384925,fr,weeds
dsol,0.022209399206751898,fr,weeds
travi,0.02219892724378787,fr,weeds
marvin,0.022041602607559836,fr,weeds
gars,0.021991803923895218,fr,weeds
business,0.021987112502529507,fr,weeds
tr,0.021924663319485848,fr,weeds
scottson,0.021898187373871315,fr,weeds
sai,0.021639927432219798,fr,weeds
arrte,0.021497559488586775,fr,weeds
doi,0.021384588293648088,fr,weeds
oh,0.02108968505566224,fr,weeds
pler,0.02103200655371657,fr,weeds
attend,0.02081050538643606,fr,weeds
aider,0.020643351826788624,fr,weeds
vien,0.020643351826788624,fr,weeds
part,0.020643351826788624,fr,weeds
entendre,0.020358615939522574,fr,weeds
cole,0.020290990532698713,fr,weeds
demain,0.02023642247922403,fr,weeds
clia,0.02016643036418227,fr,weeds
rester,0.01980586029881501,fr,weeds
donner,0.01980586029881501,fr,weeds
feu,0.019789144164990474,fr,weeds
payer,0.019676877195064148,fr,weeds
pass,0.019646776221357447,fr,weeds
cool,0.019446674199692593,fr,weeds
isabelle,0.01918776078027222,fr,weeds
euh,0.019175272572258185,fr,weeds
soir,0.01908825666479997,fr,weeds
dea,0.018808426463934845,fr,weeds
porte,0.0187925685595593,fr,weeds
moment,0.018650200615926274,fr,weeds
connaître,0.018650200615926274,fr,weeds
revenir,0.01850783267229325,fr,weeds
essayer,0.018365464728660224,fr,weeds
bubbi,0.018248489478226097,fr,weeds
vrai,0.018080728841394174,fr,weeds
hein,0.018080728841394174,fr,weeds
chercher,0.01793836089776115,fr,weeds
semaine,0.01793836089776115,fr,weeds
attendre,0.01793836089776115,fr,weeds
rentrer,0.017795992954128124,fr,weeds
foutre,0.01779137575693148,fr,weeds
pre,0.0176536250104951,fr,weeds
nouveau,0.0176536250104951,fr,weeds
tte,0.0176536250104951,fr,weeds
peter,0.017589690002023605,fr,weeds
milf,0.017537443884893138,fr,weeds
groff,0.01751854989909705,fr,weeds
genre,0.017511257066862074,fr,weeds
aime,0.01736888912322905,fr,weeds
question,0.01736888912322905,fr,weeds
plat,0.017222487216360875,fr,weeds
manger,0.017217267545681127,fr,weeds
forom,0.017162356607502555,fr,weeds
blanca,0.017099175034787382,fr,weeds
bordel,0.01703490122950192,fr,weeds
sentir,0.01679941734869695,fr,weeds
juif,0.01671403626686179,fr,weeds
encul,0.016670755680507694,fr,weeds
mari,0.016648404309148847,fr,weeds
guillermo,0.016632439795500418,fr,weeds
main,0.016372313517797873,fr,weeds
dealer,0.016220849810741393,fr,weeds
plein,0.016074321401936816,fr,weeds
tai,0.016074321401936816,fr,weeds
heylier,0.016058670740838964,fr,weeds
fait,0.0159452096868988,fr,weeds
cas,0.0159452096868988,fr,weeds
mexicain,0.015870557245983276,fr,weeds
pilar,0.015781441009942384,fr,weeds
ville,0.01562575541960976,fr,weeds
plante,0.015429500832027114,fr,weeds
com,0.015393431707300804,fr,weeds
demander,0.0153757379123667,fr,weeds
meilleur,0.015233369968733675,fr,weeds
ren,0.015104381063566843,fr,weeds
train,0.015069676314315767,fr,weeds
perdre,0.014948634081467625,fr,weeds
baiser,0.01482275553964204,fr,weeds
client,0.014662174991831717,fr,weeds
endroit,0.014495593407103737,fr,weeds
sac,0.014468292055194225,fr,weeds
ecoute,0.01444051263639173,fr,weeds
raison,0.014379162306935525,fr,weeds
travail,0.0142367943633025,fr,weeds
papa,0.0142367943633025,fr,weeds
tard,0.014208551953497722,fr,weeds
prcdemmer,0.014075813466406076,fr,weeds
coup,0.014065031226694714,fr,weeds
devrai,0.014034243293538397,fr,weeds
fumer,0.013947927256941954,fr,weeds
connerie,0.013781880503883123,fr,weeds
bel,0.013744877452434513,fr,weeds
devenir,0.0136673225887704,fr,weeds
peur,0.0136673225887704,fr,weeds
municipal,0.013628432119864281,fr,weeds
pittsburgh,0.013619834862705156,fr,weeds
ouvrir,0.013490948319482686,fr,weeds
ct,0.013490948319482686,fr,weeds
minute,0.013490948319482686,fr,weeds
parler,0.01338258670150435,fr,weeds
www,0.013340089261023444,fr,weeds
nance,0.013238070994674101,fr,weeds
nuit,0.0130978508142383,fr,weeds
mort,0.0130978508142383,fr,weeds
travailler,0.0130978508142383,fr,weeds
chance,0.012955482870605274,fr,weeds
occuper,0.012955482870605274,fr,weeds
pote,0.012939182368677441,fr,weeds
con,0.01291332732170447,fr,weeds
aujourd,0.01281311492697225,fr,weeds
arrter,0.01281311492697225,fr,weeds
isabel,0.012757882805803882,fr,weeds
monsieur,0.012732097008570918,fr,weeds
noir,0.01264511004211659,fr,weeds
fou,0.012629823958664643,fr,weeds
chambre,0.012629823958664643,fr,weeds
acheter,0.012599340371115092,fr,weeds
prison,0.01255203248489615,fr,weeds
amour,0.012498073878836164,fr,weeds
ferme,0.012442731167467032,fr,weeds
macanto,0.012408972845193747,fr,weeds
chier,0.012407529311461179,fr,weeds
aide,0.012386011096073174,fr,weeds
