mot,poids_tfidf,langue,serie
s,0.5304445328309466,en,whitechapel
ripper,0.2528665843258339,en,whitechapel
know,0.23329736397657375,en,whitechapel
get,0.17927060600305142,en,whitechapel
murder,0.17892075724556927,en,whitechapel
t,0.16208027392056704,en,whitechapel
think,0.14980146529022104,en,whitechapel
right,0.13506689493380586,en,whitechapel
look,0.13506689493380586,en,whitechapel
whitechapel,0.12776521772618873,en,whitechapel
want,0.12769960975559827,en,whitechapel
eddowe,0.12610745487038424,en,whitechapel
man,0.11787656285132148,en,whitechapel
find,0.10068623076883709,en,whitechapel
killer,0.10003363416209952,en,whitechapel
mccormack,0.09912815476737998,en,whitechapel
come,0.09823046904276789,en,whitechapel
m,0.0957747073166987,en,whitechapel
buchan,0.09292015834631909,en,whitechapel
time,0.0908631838645603,en,whitechapel
sir,0.09055507646532321,en,whitechapel
kent,0.08826303493762244,en,whitechapel
good,0.08349589868635271,en,whitechapel
go,0.08104013696028352,en,whitechapel
cut,0.07921557842881777,en,whitechapel
thank,0.07858437523421431,en,whitechapel
woman,0.07858437523421431,en,whitechapel
alice,0.07209303790623495,en,whitechapel
fitz,0.07133671826391566,en,whitechapel
ripperologist,0.06969011875973931,en,whitechapel
tell,0.06876132832993753,en,whitechapel
suspect,0.06488668161865915,en,whitechapel
leary,0.06444435797754253,en,whitechapel
victim,0.06319171311113199,en,whitechapel
cathy,0.0621915977268903,en,whitechapel
night,0.061394043151729936,en,whitechapel
lee,0.059476892860427975,en,whitechapel
need,0.05893828142566074,en,whitechapel
kill,0.05893828142566074,en,whitechapel
work,0.05893828142566074,en,whitechapel
police,0.05498189175422233,en,whitechapel
canonical,0.054542705852432684,en,whitechapel
let,0.05402675797352234,en,whitechapel
chandler,0.05290338492640128,en,whitechapel
chapman,0.05054574221717891,en,whitechapel
ripperfan,0.0504429819481537,en,whitechapel
jack,0.05025811015325156,en,whitechapel
mutilate,0.049753278181512234,en,whitechapel
dead,0.049115234521383944,en,whitechapel
parcel,0.04869301601252314,en,whitechapel
