mot,poids_tfidf,langue,serie
s,0.5435933236082001,en,womensmurderclub
know,0.2960161663212971,en,womensmurderclub
t,0.2201283855007464,en,womensmurderclub
go,0.2002145706754955,en,womensmurderclub
lindsay,0.16981916044654694,en,womensmurderclub
want,0.1603869410249937,en,womensmurderclub
get,0.15769588496752737,en,womensmurderclub
think,0.15554304012155432,en,womensmurderclub
m,0.14208775983422262,en,womensmurderclub
right,0.13562922529630342,en,womensmurderclub
tell,0.12970890196987747,en,womensmurderclub
come,0.12540321227793133,en,womensmurderclub
jacobi,0.12034425224862455,en,womensmurderclub
look,0.10979508714462657,en,womensmurderclub
linz,0.10502456012151255,en,womensmurderclub
talk,0.09903086291476122,en,womensmurderclub
guy,0.09548602207819383,en,womensmurderclub
good,0.09526338443430835,en,womensmurderclub
need,0.09257232837684201,en,womensmurderclub
say,0.09203411716534875,en,womensmurderclub
find,0.09149590595385547,en,womensmurderclub
let,0.07911704808951033,en,womensmurderclub
kill,0.07642599203204399,en,womensmurderclub
work,0.07481135839756418,en,womensmurderclub
thing,0.07158209112860457,en,womensmurderclub
time,0.07158209112860457,en,womensmurderclub
mean,0.06835282385964497,en,womensmurderclub
theresa,0.06707919245532344,en,womensmurderclub
leave,0.06404713416769883,en,womensmurderclub
d,0.062432500533219026,en,womensmurderclub
inspector,0.05981941106976793,en,womensmurderclub
thank,0.05758859962977962,en,womensmurderclub
try,0.05758859962977962,en,womensmurderclub
night,0.05705038841828636,en,womensmurderclub
way,0.056512177206793086,en,womensmurderclub
murder,0.05545802459533898,en,womensmurderclub
case,0.05543575478380655,en,womensmurderclub
year,0.05489754357231329,en,womensmurderclub
ask,0.05274469872634022,en,womensmurderclub
man,0.05113006509186041,en,womensmurderclub
boxer,0.050428855817370624,en,womensmurderclub
maybe,0.04897722024588734,en,womensmurderclub
day,0.047900797822900805,en,womensmurderclub
killer,0.047402453792691285,en,womensmurderclub
claire,0.04613353226803664,en,womensmurderclub
take,0.045747952976927735,en,womensmurderclub
hear,0.045747952976927735,en,womensmurderclub
baby,0.045392054731638196,en,womensmurderclub
people,0.0446715305539412,en,womensmurderclub
drug,0.04418324639399163,en,womensmurderclub
gun,0.04404550428820094,en,womensmurderclub
happen,0.043595108130954664,en,womensmurderclub
jill,0.043362795959021934,en,womensmurderclub
help,0.04251868570796813,en,womensmurderclub
little,0.041980474496474865,en,womensmurderclub
wait,0.041980474496474865,en,womensmurderclub
sure,0.041442263284981594,en,womensmurderclub
see,0.041442263284981594,en,womensmurderclub
alexis,0.040396723817615686,en,womensmurderclub
sorry,0.039827629650501795,en,womensmurderclub
friend,0.03875120722751526,en,womensmurderclub
javier,0.03868791866863049,en,womensmurderclub
bernhardt,0.03818367520006306,en,womensmurderclub
cop,0.03817626528001807,en,womensmurderclub
meet,0.03713657359303546,en,womensmurderclub
woman,0.03713657359303546,en,womensmurderclub
old,0.03659836238154219,en,womensmurderclub
car,0.0363848635254249,en,womensmurderclub
kid,0.0363848635254249,en,womensmurderclub
home,0.036060151170048925,en,womensmurderclub
lot,0.036060151170048925,en,womensmurderclub
tom,0.03577830473017528,en,womensmurderclub
kraft,0.03563809685339219,en,womensmurderclub
kate,0.03546318271565206,en,womensmurderclub
call,0.03444551753556912,en,womensmurderclub
life,0.03444551753556912,en,womensmurderclub
well,0.03444551753556912,en,womensmurderclub
wife,0.03444551753556912,en,womensmurderclub
wasn,0.03444551753556912,en,womensmurderclub
dead,0.03444551753556912,en,womensmurderclub
heather,0.034105285813872316,en,womensmurderclub
run,0.033907306324075855,en,womensmurderclub
love,0.03229267268959605,en,womensmurderclub
start,0.03229267268959605,en,womensmurderclub
laurent,0.032258973645844256,en,womensmurderclub
rape,0.03203746541350768,en,womensmurderclub
girl,0.031754461478102784,en,womensmurderclub
spaulde,0.031079680189112148,en,womensmurderclub
head,0.030678039055116246,en,womensmurderclub
stop,0.030678039055116246,en,womensmurderclub
job,0.030678039055116246,en,womensmurderclub
husband,0.030381916115788943,en,womensmurderclub
victim,0.03010709211519409,en,womensmurderclub
hour,0.029601616632129714,en,womensmurderclub
russo,0.029540634843352558,en,womensmurderclub
father,0.029532180186848944,en,womensmurderclub
like,0.02852519420914318,en,womensmurderclub
bring,0.02852519420914318,en,womensmurderclub
emily,0.028383407804516227,en,womensmurderclub
javi,0.027958632859900395,en,womensmurderclub
billy,0.027892502118138866,en,womensmurderclub
remember,0.026910560574663376,en,womensmurderclub
ago,0.02637234936317011,en,womensmurderclub
shoot,0.02637234936317011,en,womensmurderclub
minute,0.02604164238496195,en,womensmurderclub
fine,0.02604164238496195,en,womensmurderclub
denise,0.02601767757541316,en,womensmurderclub
okay,0.025821377762722385,en,womensmurderclub
feel,0.025295926940183573,en,womensmurderclub
long,0.025295926940183573,en,womensmurderclub
stay,0.025295926940183573,en,womensmurderclub
die,0.025295926940183573,en,womensmurderclub
bad,0.025295926940183573,en,womensmurderclub
body,0.024956573952255205,en,womensmurderclub
rodney,0.02483413963793848,en,womensmurderclub
uni,0.02483413963793848,en,womensmurderclub
nice,0.024757715728690306,en,womensmurderclub
give,0.024757715728690306,en,womensmurderclub
check,0.024757715728690306,en,womensmurderclub
date,0.024610150155707455,en,womensmurderclub
record,0.024610150155707455,en,womensmurderclub
kind,0.024219504517197038,en,womensmurderclub
reece,0.023897706391664154,en,womensmurderclub
house,0.02368129330570377,en,womensmurderclub
blood,0.023328971303195084,en,womensmurderclub
son,0.023328971303195084,en,womensmurderclub
great,0.023143082094210503,en,womensmurderclub
office,0.022969473478660293,en,womensmurderclub
place,0.022604870882717235,en,womensmurderclub
dad,0.022422581252977903,en,womensmurderclub
pernet,0.022110433709792116,en,womensmurderclub
turn,0.022066659671223968,en,womensmurderclub
end,0.022066659671223968,en,womensmurderclub
listen,0.022066659671223968,en,womensmurderclub
sign,0.022066659671223968,en,womensmurderclub
wedding,0.021943200753222127,en,womensmurderclub
break,0.02170136865413496,en,womensmurderclub
actually,0.0215284484597307,en,womensmurderclub
away,0.0215284484597307,en,womensmurderclub
police,0.02123091060490507,en,womensmurderclub
crime,0.02116039293840204,en,womensmurderclub
hold,0.021158834437781587,en,womensmurderclub
dog,0.021117191200304298,en,womensmurderclub
live,0.020990237248237432,en,womensmurderclub
hammond,0.020955955945508184,en,womensmurderclub
kiss,0.020657102210177906,en,womensmurderclub
homicide,0.020531316309061725,en,womensmurderclub
new,0.020452026036744165,en,womensmurderclub
question,0.020452026036744165,en,womensmurderclub
care,0.020452026036744165,en,womensmurderclub
thaddeus,0.020364626773366964,en,womensmurderclub
apartment,0.020357313154046205,en,womensmurderclub
harold,0.02034505405687634,en,womensmurderclub
big,0.02007376600507484,en,womensmurderclub
ragbear,0.02004426044084035,en,womensmurderclub
probably,0.019913814825250897,en,womensmurderclub
today,0.019913814825250897,en,womensmurderclub
tracy,0.019822992438410025,en,womensmurderclub
glenn,0.019735505548164983,en,womensmurderclub
mccarthy,0.01954292895825416,en,womensmurderclub
miss,0.01937560361375763,en,womensmurderclub
walk,0.01937560361375763,en,womensmurderclub
hand,0.01937560361375763,en,womensmurderclub
believe,0.01937560361375763,en,womensmurderclub
room,0.01937560361375763,en,womensmurderclub
maurice,0.019343959334315246,en,womensmurderclub
parent,0.019199322382036307,en,womensmurderclub
phone,0.018894328968693322,en,womensmurderclub
family,0.018837392402264362,en,womensmurderclub
guess,0.018837392402264362,en,womensmurderclub
sound,0.018837392402264362,en,womensmurderclub
pretty,0.018446163356014716,en,womensmurderclub
death,0.018446163356014716,en,womensmurderclub
speak,0.018299181190771095,en,womensmurderclub
morning,0.018299181190771095,en,womensmurderclub
make,0.018299181190771095,en,womensmurderclub
week,0.018299181190771095,en,womensmurderclub
hanson,0.01825757362217906,en,womensmurderclub
fuente,0.018165170150735783,en,womensmurderclub
lieutenant,0.018018424327795712,en,womensmurderclub
mad,0.017931276116372127,en,womensmurderclub
parris,0.017819048426696096,en,womensmurderclub
sherman,0.017391667883171577,en,womensmurderclub
street,0.01736109492330797,en,womensmurderclub
money,0.01722275876778456,en,womensmurderclub
hit,0.01722275876778456,en,womensmurderclub
idea,0.01722275876778456,en,womensmurderclub
arrest,0.017214251841814923,en,womensmurderclub
lose,0.016684547556291292,en,womensmurderclub
boy,0.016684547556291292,en,womensmurderclub
understand,0.016684547556291292,en,womensmurderclub
quiroga,0.016582825282344088,en,womensmurderclub
nivaldo,0.016582825282344088,en,womensmurderclub
rivero,0.016582825282344088,en,womensmurderclub
luvspace,0.016582825282344088,en,womensmurderclub
hate,0.01627602649060122,en,womensmurderclub
scene,0.01619599133091676,en,womensmurderclub
colin,0.01619513261177624,en,womensmurderclub
artie,0.01619513261177624,en,womensmurderclub
sleep,0.016146336344798024,en,womensmurderclub
month,0.016146336344798024,en,womensmurderclub
move,0.016146336344798024,en,womensmurderclub
watch,0.016146336344798024,en,womensmurderclub
pratt,0.01614148036911514,en,womensmurderclub
boyfriend,0.01612749969630838,en,womensmurderclub
dinner,0.015987288518747308,en,womensmurderclub
whitney,0.01594236222624061,en,womensmurderclub
name,0.015859874544789248,en,womensmurderclub
club,0.01581120666755931,en,womensmurderclub
pull,0.01573349227424785,en,womensmurderclub
doesn,0.01573349227424785,en,womensmurderclub
warrant,0.015730347233892557,en,womensmurderclub
testimony,0.01568115438456292,en,womensmurderclub
win,0.015608125133304757,en,womensmurderclub
drive,0.015608125133304757,en,womensmurderclub
undercover,0.015304968472852024,en,womensmurderclub
partner,0.01528250601106814,en,womensmurderclub
bruja,0.015273470080025223,en,womensmurderclub
game,0.015190958057894471,en,womensmurderclub
mom,0.015124915798728811,en,womensmurderclub
person,0.01506991392181149,en,womensmurderclub
save,0.01506991392181149,en,womensmurderclub
hope,0.01506991392181149,en,womensmurderclub
suspect,0.014813266810216025,en,womensmurderclub
number,0.014648423841541098,en,womensmurderclub
narcotic,0.014591394719385614,en,womensmurderclub
excuse,0.014531702710318223,en,womensmurderclub
mind,0.014531702710318223,en,womensmurderclub
have,0.014531702710318223,en,womensmurderclub
chance,0.014531702710318223,en,womensmurderclub
file,0.014460706545461392,en,womensmurderclub
pete,0.014111114289148312,en,womensmurderclub
figure,0.014105889625187723,en,womensmurderclub
story,0.014105889625187723,en,womensmurderclub
