mot,poids_tfidf,langue,serie
c,0.48032247520536725,fr,womensmurderclub
taire,0.2842838835808511,fr,womensmurderclub
n,0.26361884685689924,fr,womensmurderclub
j,0.23848569408452538,fr,womensmurderclub
vouloir,0.1954800771184634,fr,womensmurderclub
savoir,0.19268750458819967,fr,womensmurderclub
non,0.17481504039451157,fr,womensmurderclub
bien,0.1401871410192409,fr,womensmurderclub
tre,0.11784656077713081,fr,womensmurderclub
faire,0.11561250275291979,fr,womensmurderclub
ok,0.11228400754648558,fr,womensmurderclub
ouai,0.11214984681510115,fr,womensmurderclub
devoir,0.11114438670449778,fr,womensmurderclub
jacobi,0.10401073928100436,fr,womensmurderclub
voir,0.10388369812581198,fr,womensmurderclub
lindsay,0.10382891920797384,fr,womensmurderclub
chose,0.0977400385592317,fr,womensmurderclub
bon,0.0966230095471262,fr,womensmurderclub
aller,0.09271340800475694,fr,womensmurderclub
venir,0.08545271942607115,fr,womensmurderclub
avoir,0.07372391479896334,fr,womensmurderclub
galvan,0.07120226116672791,fr,womensmurderclub
mme,0.06981431325659408,fr,womensmurderclub
femme,0.06758025523238306,fr,womensmurderclub
joe,0.06673911559816392,fr,womensmurderclub
prendre,0.06646322622027756,fr,womensmurderclub
isela,0.0658623153561795,fr,womensmurderclub
heure,0.06534619720817206,fr,womensmurderclub
javier,0.0629786925793581,fr,womensmurderclub
linz,0.06065377803091637,fr,womensmurderclub
boxer,0.06051916187364054,fr,womensmurderclub
an,0.05976105214764453,fr,womensmurderclub
vraiment,0.05920253764159178,fr,womensmurderclub
quelqu,0.05752699412343352,fr,womensmurderclub
dire,0.05696847961738077,fr,womensmurderclub
pouvoir,0.05696847961738077,fr,womensmurderclub
beth,0.05476204100610899,fr,womensmurderclub
inspecteur,0.05250378870322169,fr,womensmurderclub
passer,0.05250036356895875,fr,womensmurderclub
sila,0.05223283545462377,fr,womensmurderclub
affaire,0.05026630554474774,fr,womensmurderclub
tom,0.04966631858468013,fr,womensmurderclub
besoin,0.048590762026589476,fr,womensmurderclub
jamais,0.048590762026589476,fr,womensmurderclub
type,0.04845356021102459,fr,womensmurderclub
reece,0.04703634526032268,fr,womensmurderclub
apr,0.04691521850843122,fr,womensmurderclub
penser,0.04691521850843122,fr,womensmurderclub
ici,0.04691521850843122,fr,womensmurderclub
oui,0.04691521850843122,fr,womensmurderclub
nivaldo,0.04581726285647269,fr,womensmurderclub
walton,0.04544174539756262,fr,womensmurderclub
petit,0.04523967499027296,fr,womensmurderclub
fois,0.04523967499027296,fr,womensmurderclub
pre,0.04523967499027296,fr,womensmurderclub
mccarthy,0.045044665172213776,fr,womensmurderclub
