mot,poids_tfidf,langue,serie
c,0.45237354310039657,fr,xfiles
mulder,0.4249356456155542,fr,xfiles
scully,0.28699221859664853,fr,xfiles
n,0.24633435607351248,fr,xfiles
j,0.2028534578501207,fr,xfiles
savoir,0.1729764842193941,fr,xfiles
taire,0.170910065293926,fr,xfiles
vouloir,0.15084858155917297,fr,xfiles
non,0.13009829151593055,fr,xfiles
doggett,0.12757914063371797,fr,xfiles
agent,0.11928904558731611,fr,xfiles
voir,0.1089174975298823,fr,xfiles
croire,0.1077120864900259,fr,xfiles
tre,0.10263213996491677,fr,xfiles
faire,0.10254603917635559,fr,xfiles
bien,0.10202943444498856,fr,xfiles
ici,0.10116842655937684,fr,xfiles
chose,0.0964328831885124,fr,xfiles
homme,0.08808110669807873,fr,xfiles
venir,0.08747840117815053,fr,xfiles
mme,0.08472317594419303,fr,xfiles
oui,0.08041813651613444,fr,xfiles
devoir,0.07361617421980188,fr,xfiles
aller,0.0719802592371396,fr,xfiles
avoir,0.06440338984375649,fr,xfiles
pouvoir,0.06250917249541071,fr,xfiles
dire,0.062078668552604854,fr,xfiles
skinner,0.06114182048363382,fr,xfiles
fbi,0.058743832375528014,fr,xfiles
extraterrestre,0.05604930887952113,fr,xfiles
eiie,0.053066001473908025,fr,xfiles
ia,0.052133320647850895,fr,xfiles
falloir,0.05114386840533604,fr,xfiles
heure,0.050885566039652524,fr,xfiles
prendre,0.050455062096846665,fr,xfiles
mort,0.05019675973116315,fr,xfiles
vie,0.04933575184555143,fr,xfiles
trouver,0.048991348691306745,fr,xfiles
bon,0.04692492976583862,fr,xfiles
mourir,0.045633417937421046,fr,xfiles
ii,0.045528726630290624,fr,xfiles
passer,0.04528901478317636,fr,xfiles
affaire,0.04528901478317636,fr,xfiles
visiontext,0.044744801871207024,fr,xfiles
an,0.04330869664626941,fr,xfiles
muider,0.04237923010670217,fr,xfiles
trouv,0.04055347141231191,fr,xfiles
arriver,0.040467370623750734,fr,xfiles
fait,0.040295169046628394,fr,xfiles
ie,0.0402413002162692,fr,xfiles
jamais,0.037970447755476755,fr,xfiles
fbl,0.03743376764304112,fr,xfiles
femme,0.03719554065842621,fr,xfiles
corps,0.03680233705287466,fr,xfiles
apr,0.03676503671562035,fr,xfiles
tuer,0.03624843198425332,fr,xfiles
appeler,0.03616233119569215,fr,xfiles
mettre,0.03573182725288629,fr,xfiles
quelqu,0.034612517001591056,fr,xfiles
ll,0.0339822372963525,fr,xfiles
vrit,0.0328139283071179,fr,xfiles
petit,0.03211559413331708,fr,xfiles
paranormal,0.03172360136441874,fr,xfiles
partir,0.03047967915065481,fr,xfiles
pass,0.030307477573532467,fr,xfiles
sortir,0.030307477573532467,fr,xfiles
dieu,0.02996307441928778,fr,xfiles
aider,0.02996307441928778,fr,xfiles
peur,0.029876973630726607,fr,xfiles
temps,0.029790872842165438,fr,xfiles
victime,0.029028867901138736,fr,xfiles
penser,0.02901596574511489,fr,xfiles
attendre,0.02849936101374786,fr,xfiles
nom,0.028413260225186688,fr,xfiles
besoin,0.028327159436625515,fr,xfiles
spender,0.02825282007113478,fr,xfiles
arme,0.028068857070942,fr,xfiles
connaître,0.027982756282380828,fr,xfiles
french,0.027604298272965802,fr,xfiles
jour,0.02755225233957497,fr,xfiles
pre,0.02738005076245263,fr,xfiles
sang,0.02720784918533028,fr,xfiles
regarder,0.02712174839676911,fr,xfiles
entendre,0.02712174839676911,fr,xfiles
gouvernement,0.027050408125079188,fr,xfiles
mal,0.026777345242524425,fr,xfiles
nc,0.026466658010345076,fr,xfiles
t,0.026174639722596222,fr,xfiles
trs,0.02600243814547388,fr,xfiles
dr,0.025783129677363546,fr,xfiles
iui,0.02568615542907224,fr,xfiles
enfant,0.025313631836984502,fr,xfiles
fox,0.025110089761457847,fr,xfiles
preuve,0.024824217917740928,fr,xfiles
l,0.024710926317056302,fr,xfiles
monde,0.024710926317056302,fr,xfiles
titrage,0.024055269841279845,fr,xfiles
rapport,0.023869440305520122,fr,xfiles
s,0.02367771685432224,fr,xfiles
fois,0.02359161606576107,fr,xfiles
voiture,0.02340612119460488,fr,xfiles
chercher,0.02324721291151638,fr,xfiles
raison,0.02316111212295521,fr,xfiles
porte,0.023075011334394036,fr,xfiles
aimer,0.02221400344878232,fr,xfiles
question,0.021869600294537633,fr,xfiles
m,0.021869600294537633,fr,xfiles
trop,0.021869600294537633,fr,xfiles
piu,0.021753417542749377,fr,xfiles
meurtre,0.021604331985103475,fr,xfiles
grand,0.02126689477460943,fr,xfiles
mentir,0.021082066842476283,fr,xfiles
queiqu,0.02099733871269742,fr,xfiles
ti,0.02079943441549369,fr,xfiles
vraiment,0.02031978610043654,fr,xfiles
scuiiy,0.020306714426128122,fr,xfiles
aide,0.020233685311875367,fr,xfiles
arriv,0.020147584523314197,fr,xfiles
cas,0.019975382946191854,fr,xfiles
enqute,0.019956910167594946,fr,xfiles
appel,0.01988928215763068,fr,xfiles
essayer,0.01988928215763068,fr,xfiles
main,0.01980318136906951,fr,xfiles
reye,0.019680656782949123,fr,xfiles
perdre,0.019630979791947167,fr,xfiles
histoire,0.019544879003385994,fr,xfiles
police,0.019496234898551422,fr,xfiles
tr,0.019458778214824824,fr,xfiles
comprendre,0.019200475849141307,fr,xfiles
mdecin,0.01861027533959136,fr,xfiles
agir,0.018597770329213104,fr,xfiles
tat,0.018511669540651934,fr,xfiles
retrouver,0.018487966491184674,fr,xfiles
coup,0.018314370561689983,fr,xfiles
dossier,0.018254967109305735,fr,xfiles
sr,0.018253367174968418,fr,xfiles
bureau,0.01810819527382117,fr,xfiles
fils,0.017736762443601388,fr,xfiles
expliquer,0.017706784808458564,fr,xfiles
soir,0.017446390914216525,fr,xfiles
ignorer,0.017185997019974485,fr,xfiles
beaucoup,0.016789653769428498,fr,xfiles
kersh,0.016775111917236275,fr,xfiles
fassl,0.016775111917236275,fr,xfiles
vivre,0.016703552980867325,fr,xfiles
arrter,0.016617452192306155,fr,xfiles
finir,0.01653135140374498,fr,xfiles
mieux,0.01653135140374498,fr,xfiles
minute,0.016491613301995722,fr,xfiles
revenir,0.01644525061518381,fr,xfiles
aiier,0.016416101175381618,fr,xfiles
type,0.016273095323831272,fr,xfiles
maison,0.01627304903806147,fr,xfiles
cause,0.01627304903806147,fr,xfiles
tte,0.016186948249500295,fr,xfiles
oeil,0.01610084746093912,fr,xfiles
demander,0.01610084746093912,fr,xfiles
travailler,0.016014746672377952,fr,xfiles
dsol,0.01592864588381678,fr,xfiles
eladio,0.015892211290013312,fr,xfiles
Monsieur,0.015837650633747192,fr,xfiles
vite,0.015756444306694435,fr,xfiles
problme,0.015756444306694435,fr,xfiles
etje,0.015678562404758383,fr,xfiles
donner,0.015536835689774917,fr,xfiles
mr,0.015412041152449749,fr,xfiles
disparaître,0.015172031367807199,fr,xfiles
air,0.015067637998205062,fr,xfiles
ailleurs,0.0150281590695491,fr,xfiles
terre,0.01501604790129084,fr,xfiles
voil,0.01498153720964389,fr,xfiles
ami,0.014895436421082719,fr,xfiles
hpital,0.014849935927401317,fr,xfiles
accord,0.014809335632521547,fr,xfiles
chance,0.014809335632521547,fr,xfiles
crime,0.014747784978713572,fr,xfiles
travail,0.014723234843960376,fr,xfiles
tard,0.014668856042301457,fr,xfiles
tai,0.01440846214805942,fr,xfiles
nouveau,0.014378831689715687,fr,xfiles
recherche,0.014321664183312072,fr,xfiles
laisser,0.014292730901154516,fr,xfiles
taient,0.014292730901154516,fr,xfiles
hier,0.01414806825381738,fr,xfiles
donne,0.014120529324032172,fr,xfiles
souvenir,0.014034428535471,fr,xfiles
vrai,0.014034428535471,fr,xfiles
vouier,0.013822341234357124,fr,xfiles
verite,0.013822341234357124,fr,xfiles
truc,0.013714078430080651,fr,xfiles
tenir,0.013690025381226314,fr,xfiles
parler,0.013690025381226314,fr,xfiles
poiice,0.01368495972195591,fr,xfiles
ovni,0.013662968224345049,fr,xfiles
fille,0.01360392459266514,fr,xfiles
devenir,0.013345622226981626,fr,xfiles
ieur,0.013343457365751816,fr,xfiles
trace,0.013225387463385967,fr,xfiles
shrif,0.013214830814675685,fr,xfiles
ca,0.01319084580608568,fr,xfiles
adjoint,0.013127208065057468,fr,xfiles
cherche,0.013106492676849229,fr,xfiles
photo,0.013103813024006594,fr,xfiles
fiiie,0.013009262338218471,fr,xfiles
part,0.01300121907273694,fr,xfiles
virginie,0.012942063168081297,fr,xfiles
parl,0.012915118284175768,fr,xfiles
vien,0.012915118284175768,fr,xfiles
eau,0.012862622337905177,fr,xfiles
tueur,0.012843556048452193,fr,xfiles
nuit,0.012829017495614596,fr,xfiles
rentrer,0.012829017495614596,fr,xfiles
soeur,0.012754546195314014,fr,xfiles
anne,0.012742916707053424,fr,xfiles
ier,0.012612900156738119,fr,xfiles
all,0.01249890692361781,fr,xfiles
duane,0.012376146660007172,fr,xfiles
rohrer,0.012360608781121468,fr,xfiles
maieeni,0.012360608781121468,fr,xfiles
partie,0.012312412764247565,fr,xfiles
secret,0.01217290888812438,fr,xfiles
prouver,0.01217290888812438,fr,xfiles
esprit,0.012075114847829348,fr,xfiles
moment,0.01205411039856405,fr,xfiles
point,0.01205411039856405,fr,xfiles
comprend,0.01205411039856405,fr,xfiles
fdral,0.011986419105938029,fr,xfiles
matin,0.011978119135133735,fr,xfiles
sauver,0.011968009610002878,fr,xfiles
tipet,0.011919158467509985,fr,xfiles
humain,0.011908280434034718,fr,xfiles
iis,0.01183486363806582,fr,xfiles
suspect,0.01175339578631875,fr,xfiles
vol,0.011725111518906761,fr,xfiles
enlvement,0.011667633827510772,fr,xfiles
impossible,0.011637610686676113,fr,xfiles
lieu,0.011537505667197018,fr,xfiles
danger,0.011467233010551954,fr,xfiles
donn,0.011365304090074675,fr,xfiles
entrer,0.011279203301513503,fr,xfiles
virus,0.01125707801028841,fr,xfiles
activit,0.011146750576587731,fr,xfiles
sujet,0.011112605693292227,fr,xfiles
montrer,0.01110700172439116,fr,xfiles
bett,0.011099485735493216,fr,xfiles
krycek,0.011036257840287025,fr,xfiles
